Date,Open,High,Low,Close
1979-12-26,515.5,515.5,515.5,515.5
1979-12-27,512.0,512.0,512.0,512.0
1979-12-31,512.0,512.0,512.0,512.0
1980-01-01,559.75,559.75,559.75,559.75
1980-01-02,634.25,634.25,634.25,634.25
1980-01-03,634.25,634.25,634.25,634.25
1980-01-06,634.0,634.0,634.0,634.0
1980-01-07,610.0,610.0,610.0,610.0
1980-01-08,607.2,607.2,607.2,607.2
1980-01-09,603.35,603.35,603.35,603.35
1980-01-10,623.0,623.0,623.0,623.0
1980-01-13,660.0,660.0,660.0,660.0
1980-01-14,684.0,684.0,684.0,684.0
1980-01-15,760.0,760.0,760.0,760.0
1980-01-16,750.0,750.0,750.0,750.0
1980-01-17,835.0,835.0,835.0,835.0
1980-01-20,835.0,835.0,835.0,835.0
1980-01-21,737.5,737.5,737.5,737.5
1980-01-22,695.0,695.0,695.0,695.0
1980-01-23,717.0,717.0,717.0,717.0
1980-01-24,668.0,668.0,668.0,668.0
1980-01-27,624.0,624.0,624.0,624.0
1980-01-28,674.25,674.25,674.25,674.25
1980-01-29,691.0,691.0,691.0,691.0
1980-01-30,653.0,653.0,653.0,653.0
1980-01-31,676.5,676.5,676.5,676.5
1980-02-03,669.75,669.75,669.75,669.75
1980-02-04,669.75,669.75,669.75,669.75
1980-02-05,709.0,709.0,709.0,709.0
1980-02-06,699.25,699.25,699.25,699.25
1980-02-07,692.0,692.0,692.0,692.0
1980-02-10,710.5,710.5,710.5,710.5
1980-02-11,694.5,694.5,694.5,694.5
1980-02-12,696.75,696.75,696.75,696.75
1980-02-13,682.0,682.0,682.0,682.0
1980-02-14,667.0,667.0,667.0,667.0
1980-02-17,667.0,667.0,667.0,667.0
1980-02-18,652.25,652.25,652.25,652.25
1980-02-19,652.25,652.25,652.25,652.25
1980-02-20,665.0,665.0,665.0,665.0
1980-02-21,630.0,630.0,630.0,630.0
1980-02-24,616.5,616.5,616.5,616.5
1980-02-25,642.25,642.25,642.25,642.25
1980-02-26,636.0,636.0,636.0,636.0
1980-02-27,646.0,646.0,646.0,646.0
1980-02-28,637.0,637.0,637.0,637.0
1980-03-02,663.75,663.75,663.75,663.75
1980-03-03,631.25,631.25,631.25,631.25
1980-03-04,643.5,643.5,643.5,643.5
1980-03-05,643.5,643.5,643.5,643.5
1980-03-06,609.0,609.0,609.0,609.0
1980-03-09,585.0,585.0,585.0,585.0
1980-03-10,570.25,570.25,570.25,570.25
1980-03-11,585.7,585.7,585.7,585.7
1980-03-12,556.5,556.5,556.5,556.5
1980-03-13,523.0,523.0,523.0,523.0
1980-03-16,484.0,484.0,484.0,484.0
1980-03-17,481.5,481.5,481.5,481.5
1980-03-18,527.0,527.0,527.0,527.0
1980-03-19,561.0,561.0,561.0,561.0
1980-03-20,561.0,561.0,561.0,561.0
1980-03-23,558.25,558.25,558.25,558.25
1980-03-24,547.25,547.25,547.25,547.25
1980-03-25,508.0,508.0,508.0,508.0
1980-03-26,485.25,485.25,485.25,485.25
1980-03-27,490.0,490.0,490.0,490.0
1980-03-30,495.0,495.0,495.0,495.0
1980-03-31,509.5,509.5,509.5,509.5
1980-04-01,500.5,500.5,500.5,500.5
1980-04-02,485.75,485.75,485.75,485.75
1980-04-03,485.75,485.75,485.75,485.75
1980-04-06,485.75,485.75,485.75,485.75
1980-04-07,528.0,528.0,528.0,528.0
1980-04-08,554.0,554.0,554.0,554.0
1980-04-09,526.0,526.0,526.0,526.0
1980-04-10,530.5,530.5,530.5,530.5
1980-04-13,529.75,529.75,529.75,529.75
1980-04-14,497.5,497.5,497.5,497.5
1980-04-15,520.0,520.0,520.0,520.0
1980-04-16,513.0,513.0,513.0,513.0
1980-04-17,515.6,515.6,515.6,515.6
1980-04-20,506.0,506.0,506.0,506.0
1980-04-21,506.0,506.0,506.0,506.0
1980-04-22,506.5,506.5,506.5,506.5
1980-04-23,515.7,515.7,515.7,515.7
1980-04-24,551.5,551.5,551.5,551.5
1980-04-27,524.25,524.25,524.25,524.25
1980-04-28,513.75,513.75,513.75,513.75
1980-04-29,518.0,518.0,518.0,518.0
1980-04-30,490.0,490.0,490.0,490.0
1980-05-01,512.5,512.5,512.5,512.5
1980-05-04,515.0,515.0,515.0,515.0
1980-05-05,512.5,512.5,512.5,512.5
1980-05-06,512.5,512.5,512.5,512.5
1980-05-07,515.75,515.75,515.75,515.75
1980-05-08,508.25,508.25,508.25,508.25
1980-05-11,513.25,513.25,513.25,513.25
1980-05-12,512.0,512.0,512.0,512.0
1980-05-13,525.0,525.0,525.0,525.0
1980-05-14,517.0,517.0,517.0,517.0
1980-05-15,516.5,516.5,516.5,516.5
1980-05-18,514.25,514.25,514.25,514.25
1980-05-19,507.75,507.75,507.75,507.75
1980-05-20,513.5,513.5,513.5,513.5
1980-05-21,513.5,513.5,513.5,513.5
1980-05-22,511.25,511.25,511.25,511.25
1980-05-25,511.25,511.25,511.25,511.25
1980-05-26,514.8,514.8,514.8,514.8
1980-05-27,526.5,526.5,526.5,526.5
1980-05-28,519.6,519.6,519.6,519.6
1980-05-29,535.5,535.5,535.5,535.5
1980-06-01,561.5,561.5,561.5,561.5
1980-06-02,552.5,552.5,552.5,552.5
1980-06-03,571.5,571.5,571.5,571.5
1980-06-04,581.75,581.75,581.75,581.75
1980-06-05,581.75,581.75,581.75,581.75
1980-06-08,623.75,623.75,623.75,623.75
1980-06-09,604.0,604.0,604.0,604.0
1980-06-10,596.0,596.0,596.0,596.0
1980-06-11,590.0,590.0,590.0,590.0
1980-06-12,608.4,608.4,608.4,608.4
1980-06-15,590.0,590.0,590.0,590.0
1980-06-16,591.75,591.75,591.75,591.75
1980-06-17,602.5,602.5,602.5,602.5
1980-06-18,599.0,599.0,599.0,599.0
1980-06-19,602.5,602.5,602.5,602.5
1980-06-22,602.5,602.5,602.5,602.5
1980-06-23,603.0,603.0,603.0,603.0
1980-06-24,622.5,622.5,622.5,622.5
1980-06-25,624.5,624.5,624.5,624.5
1980-06-26,637.5,637.5,637.5,637.5
1980-06-29,653.5,653.5,653.5,653.5
1980-06-30,660.0,660.0,660.0,660.0
1980-07-01,661.5,661.5,661.5,661.5
