Date,Open,High,Low,Close,Volume
1996-04-11,17877.429106841217,17877.429106841217,13499.283203125,13499.283203125,0
1996-04-12,13864.130859375,13864.130859375,13499.28531044408,13864.130859375,0
1996-04-15,13134.439032888391,13134.439032888391,12860.0751953125,12860.0751953125,0
1996-04-16,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-04-17,13864.128695101352,13864.128695101352,13499.283203125,13499.283203125,0
1996-04-18,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-19,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-22,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-23,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-24,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-25,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-26,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-04-29,13864.132477678571,13864.132477678571,12769.595703125,12769.595703125,0
1996-04-30,12769.595703125,12769.595703125,12769.595703125,12769.595703125,0
1996-05-01,12769.595703125,12769.595703125,12769.595703125,12769.595703125,0
1996-05-02,12769.595703125,12769.595703125,12769.595703125,12769.595703125,0
1996-05-03,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-05-06,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-05-07,13864.130859375,13864.130859375,13864.130859375,13864.130859375,0
1996-05-08,11675.05859375,11675.05859375,11675.05859375,11675.05859375,0
1996-05-09,11675.05859375,11675.05859375,11675.05859375,11675.05859375,0
1996-05-10,11675.05859375,11675.05859375,11675.05859375,11675.05859375,0
1996-05-13,11675.05859375,11675.05859375,11675.05859375,11675.05859375,0
1996-05-14,12039.905020070137,12588.6328125,12039.905020070137,12588.6328125,0
1996-05-15,12039.902516084558,12404.748046875,12039.902516084558,12404.748046875,0
1996-05-16,13499.28554095644,13499.28554095644,12039.9033203125,12039.9033203125,0
1996-05-17,12039.9033203125,12039.9033203125,12039.9033203125,12039.9033203125,0
1996-05-20,13499.283203125,13499.283203125,13499.283203125,13499.283203125,0
1996-05-21,13499.283203125,13499.283203125,13499.283203125,13499.283203125,0
1996-05-22,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-05-23,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-05-24,13499.283476421671,13499.283476421671,12953.474609375,12953.474609375,0
1996-05-28,13499.284639246323,13499.284639246323,12404.748046875,12404.748046875,0
1996-05-29,12404.748046875,12404.748046875,12404.748046875,12404.748046875,0
1996-05-30,12404.748046875,12404.748046875,12404.748046875,12404.748046875,0
1996-05-31,12404.748046875,12404.748046875,12404.748046875,12404.748046875,0
1996-06-03,13499.283203125,13499.283203125,13499.283203125,13499.283203125,0
1996-06-04,13499.28599717882,13499.28599717882,13134.4404296875,13134.4404296875,0
1996-06-05,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-06-06,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-06-07,12039.903727213543,13134.4404296875,12039.903727213543,13134.4404296875,0
1996-06-10,12039.9033203125,12039.9033203125,12039.9033203125,12039.9033203125,0
1996-06-11,13499.284639246323,13499.284639246323,12039.902516084558,12404.748046875,0
1996-06-12,12769.595703125,12769.595703125,12769.595703125,12769.595703125,0
1996-06-13,12769.595703125,12769.595703125,12769.595703125,12769.595703125,0
1996-06-14,12039.9033203125,12039.9033203125,12039.9033203125,12039.9033203125,0
1996-06-17,12039.9033203125,12039.9033203125,12039.9033203125,12039.9033203125,0
1996-06-18,12039.9033203125,12039.9033203125,12039.9033203125,12039.9033203125,0
1996-06-19,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-06-20,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-06-21,13134.4404296875,13134.4404296875,13134.4404296875,13134.4404296875,0
1996-06-24,11310.2119140625,11310.2119140625,11310.2119140625,11310.2119140625,0
1996-06-25,11310.2119140625,11310.2119140625,11310.2119140625,11310.2119140625,0
1996-06-26,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-06-27,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-06-28,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-07-01,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-07-02,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-07-03,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
1996-07-05,10945.3671875,10945.3671875,10945.3671875,10945.3671875,0
