,Ticker,Open,High,Low,Close,Volume,Change,ChangePercent,Type,MarketCap,SharesFloat,SharesOutstanding,SharesShort,SharesShortRatio,SharesShortPercentOfFloat,SharesInsidersPercent,SharesInstitutionsPercent,Beta,TotalAssets,NAV,Date
2262,INDB,58.32,59.45,58.32,59.16,62421.0,0.8499985,0.014577234,EQUITY,1949647360.0,32498783.0,32955500.0,722418.0,4.34,0.0299,0.01423,0.85067004,0.962795,,,2020-11-05
2263,INFI,1.16,1.16,1.08,1.1,196141.0,-0.01999998,-0.017857125,EQUITY,64757772.0,36346151.0,58870700.0,203733.0,0.62,0.0052,0.03632,0.55056,1.813416,,,2020-11-05
2264,INFN,6.7,7.17,6.555,7.15,3082354.0,0.6199999,0.09494638,EQUITY,1339802752.0,157229447.0,187384992.0,25805367.0,14.57,0.1966,0.02647,0.88623,1.062006,,,2020-11-05
2265,INFO,87.92,88.795,87.55,88.27,1202516.0,2.06,0.0238951,EQUITY,35163148288.0,395107960.0,398359008.0,5695598.0,2.5,0.0161,0.06949,0.97802,0.987598,,,2020-11-05
2266,INFU,13.17,13.49,12.79,13.13,30269.0,-0.010000229,-0.0007610524,EQUITY,265197120.0,15960918.0,20197800.0,269051.0,1.7,0.025799999,0.0402,0.68119,0.731116,,,2020-11-05
2267,INFY,14.93,15.05,14.86,15.01,6074553.0,0.32999992,0.022479558,EQUITY,63330492416.0,3594802639.0,4241600000.0,46467626.0,4.29,,0.0,0.18624,0.559193,,,2020-11-05
2268,ING,7.06,7.19,7.0368,7.12,6528964.0,-0.24000025,-0.03260873,EQUITY,28436142080.0,3899149045.0,3900100096.0,6177392.0,1.51,,0.0,0.0373,1.747386,,,2020-11-05
2269,INGN,28.2,29.69,26.9,27.19,461971.0,-2.75,-0.09185037,EQUITY,599974528.0,18244289.0,22066000.0,2128922.0,11.17,0.22379999,0.01307,1.04224,,,,2020-11-05
2270,INGR,70.35,72.3,70.35,71.31,741975.0,1.3999939,0.02002566,EQUITY,4776935424.0,64648382.0,66987000.0,2133164.0,4.63,0.0357,0.00607,0.89515,0.735625,,,2020-11-05
2271,INMB,8.35,8.51,8.08,8.45,127164.0,0.17000008,0.02053141,EQUITY,113634752.0,6688202.0,13447900.0,545153.0,3.41,0.0588,0.45068002,0.07863,,,,2020-11-05
2272,INMD,41.11,41.6336,40.54,41.13,354826.0,0.9600029,0.023898505,EQUITY,1349027072.0,16605666.0,32799100.0,1502534.0,2.03,0.106400006,0.41407,0.38712,,,,2020-11-05
2273,INN,5.64,5.94,5.6034,5.93,764175.0,0.26999998,0.047703177,EQUITY,626854336.0,103103065.0,105709000.0,1463481.0,1.83,0.021,0.02465,0.96915,2.059751,,,2020-11-05
2274,INO,11.25,11.25,10.65,10.8,4695567.0,-0.10999966,-0.010082462,EQUITY,1809216000.0,164136522.0,167520000.0,55038431.0,2.19,0.33540002,0.0221,0.33463,1.094137,,,2020-11-05
2275,INOD,2.7,3.0,2.65,2.96,48746.0,0.26,0.09629629,EQUITY,72399824.0,21900910.0,24459400.0,53459.0,0.29,0.0023999999,0.1046,0.19920999,1.344419,,,2020-11-05
2276,INOV,20.14,20.35,19.72,20.08,367847.0,0.3199997,0.016194316,EQUITY,3120431872.0,73490098.0,77068200.0,3994396.0,9.74,0.0539,0.04526,0.6872,0.744081,,,2020-11-05
2277,INPX,1.0,1.02,0.99,1.0,2128332.0,0.0,0.0,EQUITY,42259300.0,41757170.0,42259300.0,4975870.0,2.13,0.1177,0.00093000004,0.01207,2.189966,,,2020-11-05
2278,INS,36.05,36.5,34.9,36.23,31088.0,0.4300003,0.012011182,EQUITY,323511072.0,6469992.0,8929370.0,914623.0,16.33,0.1495,0.27461,0.51142,1.177606,,,2020-11-05
2279,INSE,4.26,4.55,4.26,4.4,21902.0,0.17000008,0.040189143,EQUITY,101329800.0,10307770.0,23029500.0,176294.0,2.31,0.0198,0.02384,0.75364995,1.267304,,,2020-11-05
2280,INSG,9.07,9.5,8.97,9.4,3286329.0,0.5199995,0.0585585,EQUITY,913301120.0,69254447.0,97159696.0,26035961.0,14.49,0.4455,0.01134,0.62608004,1.920518,,,2020-11-05
2281,INSI,20.85,21.0,20.78,20.82,12847.0,0.03999901,0.00192488,EQUITY,220261024.0,,10710000.0,1469.0,0.1,,0.0,0.42137,0.128523,,,2020-11-05
2282,INSM,34.05,34.89,33.18,34.27,605009.0,0.75,0.0223747,EQUITY,3491016448.0,94689873.0,101868000.0,11729698.0,12.6,0.1543,0.00991,1.07389,2.487589,,,2020-11-05
2283,INSP,163.1,168.22,161.71,167.64,466242.0,1.6300049,0.009818715,EQUITY,4515417088.0,25842412.0,26935200.0,1538365.0,4.38,0.059,0.037750002,1.03965,1.365706,,,2020-11-05
2284,INSU,11.8,12.0,11.33,11.66,627802.0,-0.3199997,-0.02671116,EQUITY,240817472.0,36668069.0,15490000.0,29074.0,0.1,0.0019,,,,,,2020-11-05
2285,INSW,13.79,15.01,13.79,14.88,323075.0,1.21,0.088515,EQUITY,408842880.0,23631175.0,27983800.0,1485145.0,7.68,0.0743,0.012410001,0.92335,0.105263,,,2020-11-05
