Ticker,Date,Net Flows*
XNTK,2013-01-11,0.0
XLY,2013-01-11,0.0
IVV,2013-01-11,-22.17
EWU,2013-01-11,0.0
IWR,2013-01-11,0.0
IYJ,2013-01-11,0.0
ILF,2013-01-11,22.68
IJK,2013-01-11,11.89
IXG,2013-01-11,0.0
SPY,2013-01-11,1919.14
XLF,2013-01-11,276.36
IOO,2013-01-11,0.0
IJJ,2013-01-11,13.7
EWA,2013-01-11,0.0
IGV,2013-01-11,9.77
IVW,2013-01-11,-11.72
IVE,2013-01-11,3.43
IYC,2013-01-11,0.0
XLK,2013-01-11,115.25
IGN,2013-01-11,0.0
IUSV,2013-01-11,0.0
IGM,2013-01-11,0.0
EWT,2013-01-11,0.0
IWO,2013-01-11,0.0
XLP,2013-01-11,-28.62
IGE,2013-01-11,0.0
EWI,2013-01-11,16.87
IJR,2013-01-11,52.49
IDU,2013-01-11,0.0
ICF,2013-01-11,0.0
IUSG,2013-01-11,0.0
XLB,2013-01-11,0.0
EZU,2013-01-11,40.48
IBB,2013-01-11,-7.33
EWZ,2013-01-11,-8.52
IEV,2013-01-11,0.0
IEF,2013-01-11,0.0
EPP,2013-01-11,0.0
DGT,2013-01-11,0.0
IWD,2013-01-11,7.53
SLYV,2013-01-11,0.0
EWG,2013-01-11,0.0
EWY,2013-01-11,0.0
IWN,2013-01-11,0.0
DIA,2013-01-11,154.7
EWC,2013-01-11,8.7
IYR,2013-01-11,53.22
IJS,2013-01-11,8.32
XLV,2013-01-11,-48.07
IWS,2013-01-11,0.0
IJH,2013-01-11,68.61
EWW,2013-01-11,0.0
EWM,2013-01-11,0.0
EWL,2013-01-11,0.0
IYG,2013-01-11,6.24
EWQ,2013-01-11,0.0
SPTM,2013-01-11,0.0
RWR,2013-01-11,0.0
EWJ,2013-01-11,0.0
EWO,2013-01-11,0.0
IWB,2013-01-11,12.26
EFA,2013-01-11,0.0
EWN,2013-01-11,0.0
EWP,2013-01-11,0.0
EWS,2013-01-11,0.0
IWV,2013-01-11,0.0
SHY,2013-01-11,-67.55
EWD,2013-01-11,0.0
IJT,2013-01-11,0.0
IWF,2013-01-11,-6.76
OEF,2013-01-11,-23.39
SLYG,2013-01-11,0.0
VTI,2013-01-11,0.3
XLI,2013-01-11,31.4
IWM,2013-01-11,-21.85
LQD,2013-01-11,36.23
IWP,2013-01-11,0.0
VXF,2013-01-11,0.03
IXC,2013-01-11,0.0
IXJ,2013-01-11,0.0
EWH,2013-01-11,0.0
IXN,2013-01-11,0.0
IXP,2013-01-11,0.0
QQQ,2013-01-11,-201.48
IYE,2013-01-11,0.0
MDY,2013-01-11,38.49
EWK,2013-01-11,0.0
IYF,2013-01-11,47.76
IYK,2013-01-11,0.0
IYM,2013-01-11,0.0
IYW,2013-01-11,0.0
IYY,2013-01-11,0.0
XLE,2013-01-11,18.39
IYZ,2013-01-11,0.0
SPYG,2013-01-11,0.0
SOXX,2013-01-11,0.0
IYH,2013-01-11,-4.38
SPYV,2013-01-11,0.0
XLU,2013-01-11,-7.07
XSVM,2013-01-11,0.0
XSD,2013-01-11,0.0
XMVM,2013-01-11,0.0
PKB,2013-01-11,0.0
JKG,2013-01-11,0.0
FVD,2013-01-11,0.0
FXI,2013-01-11,49.4
PHO,2013-01-11,0.0
XLG,2013-01-11,0.0
PID,2013-01-11,-0.81
PEY,2013-01-11,0.0
PBS,2013-01-11,0.0
IYT,2013-01-11,0.0
MDYV,2013-01-11,0.0
RSP,2013-01-11,5.51
KBE,2013-01-11,0.0
XBI,2013-01-11,19.1
MDYG,2013-01-11,0.0
JKI,2013-01-11,0.0
JKH,2013-01-11,0.0
EFG,2013-01-11,0.0
PEJ,2013-01-11,0.0
PPA,2013-01-11,0.0
EFV,2013-01-11,0.0
PJP,2013-01-11,0.0
PBE,2013-01-11,0.0
ADRE,2013-01-11,0.0
PXJ,2013-01-11,0.0
KCE,2013-01-11,1.8
VBK,2013-01-11,0.0
DBC,2013-01-11,0.0
DVY,2013-01-11,0.0
FXE,2013-01-11,19.67
PFM,2013-01-11,0.0
ONEQ,2013-01-11,0.0
XSMO,2013-01-11,0.0
EZA,2013-01-11,0.0
VGK,2013-01-11,-0.0
GLD,2013-01-11,-113.53
IAU,2013-01-11,0.0
PBJ,2013-01-11,0.0
VOX,2013-01-11,-14.35
VTV,2013-01-11,109.6
ITOT,2013-01-11,3.35
FEZ,2013-01-11,0.0
SPMD,2013-01-11,0.0
IWC,2013-01-11,0.0
PXE,2013-01-11,1.39
JKJ,2013-01-11,0.0
FDM,2013-01-11,0.0
JKD,2013-01-11,0.0
SUSA,2013-01-11,0.0
PRF,2013-01-11,0.0
JKK,2013-01-11,0.0
PSI,2013-01-11,0.0
SPHQ,2013-01-11,0.0
AGG,2013-01-11,0.0
VHT,2013-01-11,0.0
PSJ,2013-01-11,0.0
PWB,2013-01-11,0.0
PUI,2013-01-11,0.0
PWV,2013-01-11,0.0
TIP,2013-01-11,0.0
PXQ,2013-01-11,-1.29
RFG,2013-01-11,0.0
RFV,2013-01-11,0.0
RPG,2013-01-11,0.0
JKL,2013-01-11,0.0
SDY,2013-01-11,-29.98
XHB,2013-01-11,-34.68
SLY,2013-01-11,3.88
TLT,2013-01-11,-11.89
VFH,2013-01-11,0.0
SPLG,2013-01-11,0.0
VAW,2013-01-11,8.76
VB,2013-01-11,8.39
VBR,2013-01-11,0.0
PBW,2013-01-11,0.0
JKF,2013-01-11,0.0
RZG,2013-01-11,0.0
VNQ,2013-01-11,26.89
XMMO,2013-01-11,0.0
VCR,2013-01-11,0.0
PWC,2013-01-11,0.0
EEM,2013-01-11,100.1
VDC,2013-01-11,0.0
VDE,2013-01-11,0.0
JKE,2013-01-11,0.0
VV,2013-01-11,0.0
VGT,2013-01-11,0.0
VIS,2013-01-11,0.0
VO,2013-01-11,0.01
VPL,2013-01-11,0.0
VPU,2013-01-11,0.0
KIE,2013-01-11,4.61
VUG,2013-01-11,36.73
PGJ,2013-01-11,0.0
FVL,2013-01-11,0.0
SPEU,2013-01-11,0.0
VWO,2013-01-11,0.07
XME,2013-01-11,2.3
IEO,2013-01-11,0.0
IAK,2013-01-11,0.0
GSP,2013-01-11,0.27
KRE,2013-01-11,2.92
FXF,2013-01-11,0.0
XOP,2013-01-11,-95.03
IEZ,2013-01-11,0.0
FXC,2013-01-11,0.0
EQWL,2013-01-11,0.0
FXA,2013-01-11,-5.29
FXB,2013-01-11,23.89
DLN,2013-01-11,13.82
RZV,2013-01-11,0.0
FTCS,2013-01-11,0.0
FPX,2013-01-11,0.0
RYH,2013-01-11,0.0
IHF,2013-01-11,0.0
VOE,2013-01-11,42.68
FDL,2013-01-11,0.0
DNL,2013-01-11,0.0
DDM,2013-01-11,0.0
SSO,2013-01-11,-33.7
RYT,2013-01-11,0.0
QID,2013-01-11,0.0
DXD,2013-01-11,0.0
DWM,2013-01-11,0.0
IAT,2013-01-11,8.94
RCD,2013-01-11,0.0
PTH,2013-01-11,0.0
SDS,2013-01-11,19.01
DOL,2013-01-11,0.0
DIM,2013-01-11,0.0
FDN,2013-01-11,6.1
JXI,2013-01-11,0.0
GDX,2013-01-11,0.0
DFJ,2013-01-11,0.0
DOG,2013-01-11,0.0
RHS,2013-01-11,0.0
DXJ,2013-01-11,0.0
DJP,2013-01-11,-3.4
DTH,2013-01-11,0.0
PYZ,2013-01-11,8.49
XRT,2013-01-11,-119.84
RYE,2013-01-11,0.0
IHE,2013-01-11,0.0
VYM,2013-01-11,20.33
DEW,2013-01-11,0.0
DLS,2013-01-11,0.0
ITB,2013-01-11,26.63
RYU,2013-01-11,0.0
SLX,2013-01-11,0.0
FBT,2013-01-11,0.0
DBV,2013-01-11,0.0
MXI,2013-01-11,3.16
GSG,2013-01-11,0.0
DFE,2013-01-11,0.0
PEZ,2013-01-11,0.0
DES,2013-01-11,0.0
PFI,2013-01-11,0.0
QQEW,2013-01-11,0.0
PSQ,2013-01-11,0.0
DON,2013-01-11,0.0
EVX,2013-01-11,0.0
EXI,2013-01-11,0.0
DSI,2013-01-11,0.0
DTN,2013-01-11,-37.12
ITA,2013-01-11,0.0
DTD,2013-01-11,0.0
DHS,2013-01-11,0.0
RXI,2013-01-11,0.0
VOT,2013-01-11,0.0
IHI,2013-01-11,17.75
MVV,2013-01-11,0.0
RYF,2013-01-11,0.0
KXI,2013-01-11,0.0
MYY,2013-01-11,0.0
PSL,2013-01-11,0.0
DOO,2013-01-11,0.0
MZZ,2013-01-11,0.0
PRN,2013-01-11,0.0
XPH,2013-01-11,0.0
SH,2013-01-11,0.0
PSP,2013-01-11,0.0
RGI,2013-01-11,0.0
QTEC,2013-01-11,0.0
PTF,2013-01-11,0.0
PXI,2013-01-11,0.0
CVY,2013-01-11,2.28
PZD,2013-01-11,0.0
QLD,2013-01-11,0.0
RPV,2013-01-11,0.0
