Ticker,Date,Net Flows*
XNTK,2006-03-22,0.0
XLY,2006-03-22,0.0
IVV,2006-03-22,0.0
EWU,2006-03-22,0.0
IWR,2006-03-22,14.03
IYJ,2006-03-22,0.0
ILF,2006-03-22,0.0
IJK,2006-03-22,0.0
IXG,2006-03-22,0.0
SPY,2006-03-22,-162.99
XLF,2006-03-22,-29.52
IOO,2006-03-22,0.0
IJJ,2006-03-22,7.55
EWA,2006-03-22,0.0
IGV,2006-03-22,0.0
IVW,2006-03-22,-42.79
IVE,2006-03-22,0.0
IYC,2006-03-22,0.0
XLK,2006-03-22,22.04
IGN,2006-03-22,14.36
IUSV,2006-03-22,-23.93
IGM,2006-03-22,0.0
EWT,2006-03-22,0.0
IWO,2006-03-22,0.0
XLP,2006-03-22,0.0
IGE,2006-03-22,-13.8
EWI,2006-03-22,0.0
IJR,2006-03-22,34.73
IDU,2006-03-22,0.0
ICF,2006-03-22,8.56
IUSG,2006-03-22,0.0
XLB,2006-03-22,4.76
EZU,2006-03-22,0.0
IBB,2006-03-22,118.87
EWZ,2006-03-22,3.98
IEV,2006-03-22,0.0
IEF,2006-03-22,0.0
EPP,2006-03-22,0.0
DGT,2006-03-22,0.0
IWD,2006-03-22,-33.2
SLYV,2006-03-22,0.0
EWG,2006-03-22,0.0
EWY,2006-03-22,0.0
IWN,2006-03-22,0.0
DIA,2006-03-22,-168.39
EWC,2006-03-22,0.0
IYR,2006-03-22,7.28
IJS,2006-03-22,0.0
XLV,2006-03-22,-11.39
IWS,2006-03-22,0.0
IJH,2006-03-22,27.2
EWW,2006-03-22,15.65
EWM,2006-03-22,0.0
EWL,2006-03-22,-10.46
IYG,2006-03-22,0.0
EWQ,2006-03-22,0.0
SPTM,2006-03-22,0.0
RWR,2006-03-22,0.0
EWJ,2006-03-22,0.0
EWO,2006-03-22,0.0
IWB,2006-03-22,38.9
EFA,2006-03-22,0.0
EWN,2006-03-22,0.0
EWP,2006-03-22,0.0
EWS,2006-03-22,0.0
IWV,2006-03-22,0.0
SHY,2006-03-22,0.0
EWD,2006-03-22,28.71
IJT,2006-03-22,0.0
IWF,2006-03-22,42.26
OEF,2006-03-22,0.0
SLYG,2006-03-22,0.0
VTI,2006-03-22,0.0
XLI,2006-03-22,3.36
IWM,2006-03-22,-592.72
LQD,2006-03-22,0.0
IWP,2006-03-22,0.0
VXF,2006-03-22,0.0
IXC,2006-03-22,0.0
IXJ,2006-03-22,0.0
EWH,2006-03-22,-6.06
IXN,2006-03-22,0.0
IXP,2006-03-22,2.59
QQQ,2006-03-22,-139.81
IYE,2006-03-22,0.0
MDY,2006-03-22,-134.39
EWK,2006-03-22,0.0
IYF,2006-03-22,5.29
IYK,2006-03-22,0.0
IYM,2006-03-22,0.0
IYW,2006-03-22,2.58
IYY,2006-03-22,0.0
XLE,2006-03-22,-157.2
IYZ,2006-03-22,15.38
SPYG,2006-03-22,0.0
SOXX,2006-03-22,0.0
IYH,2006-03-22,0.0
SPYV,2006-03-22,0.0
XLU,2006-03-22,0.0
XSVM,2006-03-22,0.0
XSD,2006-03-22,0.0
XMVM,2006-03-22,0.0
PKB,2006-03-22,0.0
JKG,2006-03-22,-3.87
FVD,2006-03-22,0.0
FXI,2006-03-22,0.0
PHO,2006-03-22,5.28
XLG,2006-03-22,0.0
PID,2006-03-22,0.0
PEY,2006-03-22,0.0
PBS,2006-03-22,0.0
IYT,2006-03-22,16.4
MDYV,2006-03-22,0.0
RSP,2006-03-22,0.0
KBE,2006-03-22,-26.94
XBI,2006-03-22,0.0
MDYG,2006-03-22,0.0
JKI,2006-03-22,3.9
JKH,2006-03-22,4.13
EFG,2006-03-22,0.0
PEJ,2006-03-22,0.0
PPA,2006-03-22,0.0
EFV,2006-03-22,0.0
PJP,2006-03-22,0.0
PBE,2006-03-22,0.0
ADRE,2006-03-22,0.0
PXJ,2006-03-22,0.0
KCE,2006-03-22,29.41
VBK,2006-03-22,0.0
DBC,2006-03-22,0.0
DVY,2006-03-22,0.0
FXE,2006-03-22,0.0
PFM,2006-03-22,0.0
ONEQ,2006-03-22,0.0
XSMO,2006-03-22,0.0
EZA,2006-03-22,0.0
VGK,2006-03-22,0.41
GLD,2006-03-22,0.0
IAU,2006-03-22,0.0
PBJ,2006-03-22,0.0
VOX,2006-03-22,0.0
VTV,2006-03-22,11.97
ITOT,2006-03-22,0.0
FEZ,2006-03-22,0.0
SPMD,2006-03-22,0.0
IWC,2006-03-22,0.0
PXE,2006-03-22,0.0
JKJ,2006-03-22,0.0
FDM,2006-03-22,0.0
JKD,2006-03-22,0.0
SUSA,2006-03-22,2.75
PRF,2006-03-22,0.0
JKK,2006-03-22,0.0
PSI,2006-03-22,0.0
SPHQ,2006-03-22,0.0
AGG,2006-03-22,0.0
VHT,2006-03-22,5.58
PSJ,2006-03-22,0.0
PWB,2006-03-22,0.0
PUI,2006-03-22,-6.52
PWV,2006-03-22,0.0
TIP,2006-03-22,0.0
PXQ,2006-03-22,0.0
RFG,2006-03-22,0.0
RFV,2006-03-22,0.0
RPG,2006-03-22,0.0
JKL,2006-03-22,0.0
SDY,2006-03-22,2.79
XHB,2006-03-22,4.44
SLY,2006-03-22,0.0
TLT,2006-03-22,-17.7
VFH,2006-03-22,0.0
SPLG,2006-03-22,0.0
VAW,2006-03-22,6.4
VB,2006-03-22,12.97
VBR,2006-03-22,13.14
PBW,2006-03-22,0.0
JKF,2006-03-22,0.0
RZG,2006-03-22,0.0
VNQ,2006-03-22,0.0
XMMO,2006-03-22,0.0
VCR,2006-03-22,0.0
PWC,2006-03-22,4.73
EEM,2006-03-22,58.48
VDC,2006-03-22,0.0
VDE,2006-03-22,0.0
JKE,2006-03-22,6.17
VV,2006-03-22,0.0
VGT,2006-03-22,0.0
VIS,2006-03-22,12.45
VO,2006-03-22,6.82
VPL,2006-03-22,0.12
VPU,2006-03-22,0.0
KIE,2006-03-22,-18.27
VUG,2006-03-22,5.5
PGJ,2006-03-22,4.8
FVL,2006-03-22,0.0
SPEU,2006-03-22,0.0
VWO,2006-03-22,1.12
RZV,2006-03-22,0.0
RPV,2006-03-22,0.0
FDL,2006-03-22,0.0
,2006-03-22,
