Ticker,Date,Net Flows*
XNTK,2008-02-07,0.0
XLY,2008-02-07,0.0
IVV,2008-02-07,33.5
EWU,2008-02-07,0.0
IWR,2008-02-07,0.0
IYJ,2008-02-07,6.7
ILF,2008-02-07,-11.52
IJK,2008-02-07,0.0
IXG,2008-02-07,0.0
SPY,2008-02-07,152.58
XLF,2008-02-07,153.73
IOO,2008-02-07,0.0
IJJ,2008-02-07,0.0
EWA,2008-02-07,-15.8
IGV,2008-02-07,0.0
IVW,2008-02-07,12.32
IVE,2008-02-07,21.38
IYC,2008-02-07,0.0
XLK,2008-02-07,0.0
IGN,2008-02-07,0.0
IUSV,2008-02-07,9.63
IGM,2008-02-07,0.0
EWT,2008-02-07,0.0
IWO,2008-02-07,-22.09
XLP,2008-02-07,0.0
IGE,2008-02-07,0.0
EWI,2008-02-07,0.0
IJR,2008-02-07,0.0
IDU,2008-02-07,0.0
ICF,2008-02-07,0.0
IUSG,2008-02-07,0.0
XLB,2008-02-07,1.93
EZU,2008-02-07,0.0
IBB,2008-02-07,-23.25
EWZ,2008-02-07,0.0
IEV,2008-02-07,0.0
IEF,2008-02-07,0.0
EPP,2008-02-07,0.0
DGT,2008-02-07,0.0
IWD,2008-02-07,-26.25
SLYV,2008-02-07,0.0
EWG,2008-02-07,0.0
EWY,2008-02-07,0.0
IWN,2008-02-07,-29.76
DIA,2008-02-07,-170.84
EWC,2008-02-07,0.0
IYR,2008-02-07,-19.19
IJS,2008-02-07,-13.13
XLV,2008-02-07,0.0
IWS,2008-02-07,0.0
IJH,2008-02-07,-23.45
EWW,2008-02-07,0.0
EWM,2008-02-07,0.0
EWL,2008-02-07,0.0
IYG,2008-02-07,0.0
EWQ,2008-02-07,0.0
SPTM,2008-02-07,0.0
RWR,2008-02-07,0.0
EWJ,2008-02-07,0.0
EWO,2008-02-07,0.0
IWB,2008-02-07,10.86
EFA,2008-02-07,-126.5
EWN,2008-02-07,0.0
EWP,2008-02-07,4.15
EWS,2008-02-07,-5.97
IWV,2008-02-07,15.34
SHY,2008-02-07,0.0
EWD,2008-02-07,-2.05
IJT,2008-02-07,0.0
IWF,2008-02-07,38.28
OEF,2008-02-07,61.68
SLYG,2008-02-07,0.0
VTI,2008-02-07,0.28
XLI,2008-02-07,-23.62
IWM,2008-02-07,-308.0
LQD,2008-02-07,0.0
IWP,2008-02-07,0.0
VXF,2008-02-07,0.0
IXC,2008-02-07,0.0
IXJ,2008-02-07,0.0
EWH,2008-02-07,0.0
IXN,2008-02-07,0.0
IXP,2008-02-07,0.0
QQQ,2008-02-07,124.16
IYE,2008-02-07,11.65
MDY,2008-02-07,14.26
EWK,2008-02-07,0.0
IYF,2008-02-07,13.31
IYK,2008-02-07,0.0
IYM,2008-02-07,0.0
IYW,2008-02-07,0.0
IYY,2008-02-07,0.0
XLE,2008-02-07,-219.52
IYZ,2008-02-07,-2.51
SPYG,2008-02-07,0.0
SOXX,2008-02-07,0.0
IYH,2008-02-07,0.0
SPYV,2008-02-07,0.0
XLU,2008-02-07,3.94
XSVM,2008-02-07,0.0
XSD,2008-02-07,-3.85
XMVM,2008-02-07,0.0
PKB,2008-02-07,0.0
JKG,2008-02-07,0.0
FVD,2008-02-07,0.0
FXI,2008-02-07,0.0
PHO,2008-02-07,1.89
XLG,2008-02-07,0.0
PID,2008-02-07,-3.73
PEY,2008-02-07,0.0
PBS,2008-02-07,0.0
IYT,2008-02-07,54.53
MDYV,2008-02-07,0.0
RSP,2008-02-07,8.85
KBE,2008-02-07,6.54
XBI,2008-02-07,0.0
MDYG,2008-02-07,0.0
JKI,2008-02-07,0.0
JKH,2008-02-07,0.0
EFG,2008-02-07,0.0
PEJ,2008-02-07,0.0
PPA,2008-02-07,-2.04
EFV,2008-02-07,0.0
PJP,2008-02-07,0.0
PBE,2008-02-07,0.0
ADRE,2008-02-07,0.0
PXJ,2008-02-07,0.0
KCE,2008-02-07,0.0
VBK,2008-02-07,0.0
DBC,2008-02-07,25.66
DVY,2008-02-07,-24.87
FXE,2008-02-07,0.0
PFM,2008-02-07,0.0
ONEQ,2008-02-07,0.0
XSMO,2008-02-07,0.0
EZA,2008-02-07,0.0
VGK,2008-02-07,0.0
GLD,2008-02-07,0.0
IAU,2008-02-07,0.0
PBJ,2008-02-07,0.0
VOX,2008-02-07,0.0
VTV,2008-02-07,0.0
ITOT,2008-02-07,0.0
FEZ,2008-02-07,0.0
SPMD,2008-02-07,0.0
IWC,2008-02-07,0.0
PXE,2008-02-07,0.0
JKJ,2008-02-07,0.0
FDM,2008-02-07,-1.0
JKD,2008-02-07,0.0
SUSA,2008-02-07,0.0
PRF,2008-02-07,0.0
JKK,2008-02-07,0.0
PSI,2008-02-07,0.0
SPHQ,2008-02-07,0.0
AGG,2008-02-07,71.44
VHT,2008-02-07,5.72
PSJ,2008-02-07,0.0
PWB,2008-02-07,0.0
PUI,2008-02-07,0.0
PWV,2008-02-07,0.0
TIP,2008-02-07,0.0
PXQ,2008-02-07,0.0
RFG,2008-02-07,0.0
RFV,2008-02-07,0.0
RPG,2008-02-07,0.0
JKL,2008-02-07,0.0
SDY,2008-02-07,0.0
XHB,2008-02-07,79.43
SLY,2008-02-07,0.0
TLT,2008-02-07,9.44
VFH,2008-02-07,0.0
SPLG,2008-02-07,0.0
VAW,2008-02-07,0.0
VB,2008-02-07,-12.43
VBR,2008-02-07,-6.09
PBW,2008-02-07,0.0
JKF,2008-02-07,0.0
RZG,2008-02-07,0.0
VNQ,2008-02-07,5.96
XMMO,2008-02-07,0.0
VCR,2008-02-07,0.0
PWC,2008-02-07,0.0
EEM,2008-02-07,0.0
VDC,2008-02-07,0.0
VDE,2008-02-07,0.0
JKE,2008-02-07,0.0
VV,2008-02-07,0.0
VGT,2008-02-07,0.0
VIS,2008-02-07,0.0
VO,2008-02-07,6.9
VPL,2008-02-07,3.16
VPU,2008-02-07,0.0
KIE,2008-02-07,0.0
VUG,2008-02-07,5.74
PGJ,2008-02-07,0.0
FVL,2008-02-07,18.8
SPEU,2008-02-07,0.0
VWO,2008-02-07,1.33
XME,2008-02-07,0.0
IEO,2008-02-07,0.0
IAK,2008-02-07,0.0
GSP,2008-02-07,0.0
KRE,2008-02-07,18.41
