,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,159.31,164.25-171.76,60740000000.0,165.95,113.02-241.15,-8.93,18276418.0,100400000000.0,N/A(N/A),10589400.0,-17.83,1.37,-29.66%,593811169.0,26/10/2022,2022-08-01
0,GM,36.26,35.6-36.98,132100000000.0,36.06,30.33-67.21,5.31,12077546.0,53670000000.0,N/A(N/A),16044171.0,6.79,1.27,-36.21%,1458048958.0,25/10/2022,2022-08-01
0,CVX,163.78,159.15-161.86,206100000000.0,161.18,92.86-182.4,15.06,8003211.0,315310000000.0,5.68(3.47%),10517693.0,10.91,1.13,60.87%,1964813456.0,04/11/2022,2022-08-01
0,C,51.9,51.14-52.21,40490000000.0,51.49,43.45-74.64,7.87,12872714.0,100530000000.0,2.04(3.93%),23435929.0,6.61,1.61,-23.25%,1936700000.0,14/10/2022,2022-08-01
0,BAC,33.81,33.22-33.89,91300000000.0,33.62,29.68-50.11,3.23,32240246.0,271589999999.99997,0.88(2.60%),46369321.0,10.57,1.42,-11.86%,8035239025.0,17/10/2022,2022-08-01
0,T,18.78,18.61-18.87,163030000000.0,18.85,16.62-21.55,2.75,37043668.0,134090000000.0,1.11(5.91%),41232641.0,8.15,0.691,-11.29%,7158851941.0,26/10/2022,2022-08-01
0,CAT,198.25,193.4-197.19,52670000000.0,195.08,167.09-237.9,12.01,3162653.0,104130000000.0,4.80(2.42%),3004026.0,14.98,0.993,-4.11%,533374415.0,02/08/2022,2022-08-01
0,INTC,36.31,36.05-37.69,73390000000.0,36.05,35.24-56.28,4.68,52285059.0,151550000000.0,1.46(4.02%),37807168.0,7.8,0.671,-32.41%,4106000000.0,27/10/2022,2022-08-01
0,MSFT,280.74,275.84-281.28,198270000000.0,277.82,241.51-349.67,9.7,21388887.0,2069999999999.9998,2.48(0.88%),30031663.0,29.09,0.932,-1.53%,7457891872.0,26/10/2022,2022-08-01
0,AA,50.89,48.06-50.22,13390000000.0,49.88,36.61-98.09,5.22,5907269.0,8670000000.0,0.40(0.79%),6636013.0,9.99,2.39,26.75%,179925180.0,13/10/2022,2022-08-01
