,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,173.76,169 - 174.14,78810000000.0,173.19,89.07 - 391,- 6.05,30181905.0,96050000000.0,8.22 (8.65%),45697093.0,,1.43,- 49.63%,564325344.0,29/07/2020,2020-07-27
0,GM,26.25,25.31 - 25.92,135070000000.0,25.88,14.33 - 41.9,3.27,16590734.0,36780000000.0,1.52 (7.06%),15723046.0,8.03,1.42,- 35.61%,1431076476.0,29/07/2020,2020-07-27
0,CVX,90.13,88.8 - 91.09,134970000000.0,89.76,51.66 - 125.27,2.02,7599422.0,169970000000.0,5.16 (5.67%),9300633.0,44.66,1.3,- 27.15%,1866978650.0,31/07/2020,2020-07-27
0,C,51.67,50.61 - 51.46,49660000000.0,51.46,32.02 - 83.11,5.8,13985905.0,106780000000.0,2.04 (3.92%),28889410.0,8.92,1.8,- 28.4%,2081900000.0,13/10/2020,2020-07-27
0,BAC,24.35,23.88 - 24.27,50750000000.0,24.22,17.95 - 35.72,2.08,54671840.0,209150000000.0,0.72 (2.93%),72677028.0,11.7,1.58,- 20.86%,8664081625.0,14/10/2020,2020-07-27
0,T,29.57,29.21 - 29.51,175140000000.0,29.5,26.08 - 39.7,1.64,33453807.0,208700000000.0,2.08 (6.96%),37053802.0,18.06,0.67,- 13.41%,7125215136.0,21/10/2020,2020-07-27
0,CAT,137.58,137.06 - 140.34,50970000000.0,137.15,87.5 - 150.55,9.43,2505974.0,75710000000.0,4.12 (3.02%),3732724.0,14.6,1.1,3.51%,541239314.0,31/07/2020,2020-07-27
0,INTC,50.59,49.47 - 51.14,78960000000.0,51.03,43.63 - 69.29,5.44,107230191.0,210820000000.0,1.32 (2.19%),26279729.0,9.31,0.73,- 1.94%,4253000000.0,20/10/2020,2020-07-27
0,MSFT,201.3,200.86 - 203.97,143020000000.0,201.47,130.78 - 216.35,5.76,30093120.0,1540000000000.0,2.04 (1.01%),35557299.0,34.92,0.91,42.42%,7571000000.0,22/10/2020,2020-07-27
0,AA,12.75,12.53 - 13.31,9530000000.0,12.81,5.16 - 23.57,- 3.46,4687621.0,2460000000.0,N/A (N/A),9027322.0,,2.3,- 44.88%,185918829.0,14/10/2020,2020-07-27
0,F,6.88,6.77 - 6.94,149880000000.0,6.92,3.96 - 9.68,- 0.76,60310371.0,27560000000.0,0.6 (13.64%),89562737.0,,1.34,- 28.11%,3977039943.0,30/07/2020,2020-07-27
0,EBAY,55.12,55.53 - 57.38,10530000000.0,55.73,26.02 - 61.05,2.16,7809618.0,40210000000.0,0.64 (1.16%),11962556.0,25.5,1.39,33.69%,702678700.0,28/07/2020,2020-07-27
0,DELL,60.8,60.45 - 61.34,92140000000.0,60.85,25.54 - 62.87,5.94,1418961.0,45160000000.0,N/A (N/A),3149517.0,10.23,0.83,9.99%,740816465.0,28/08/2020,2020-07-27
0,DIS,117.61,115.68 - 117.42,78210000000.0,117.2,79.1 - 153.41,2.66,9401642.0,210090000000.0,1.76 (1.74%),16257951.0,44.22,1.11,- 18.69%,1806266743.0,04/08/2020,2020-07-27
0,DOW,42.61,42.43 - 44.48,39090000000.0,42.81,21.95 - 56.25,- 2.65,4733601.0,31580000000.0,2.80 (6.54%),5277169.0,,,- 13.24%,741121450.0,22/10/2020,2020-07-27
0,CSCO,46.4,46.15 - 47.26,50580000000.0,46.66,32.4 - 57.15,2.72,15563732.0,199250000000.0,1.44 (3.04%),23028056.0,17.07,0.94,- 17.92%,4222296202.0,12/08/2020,2020-07-27
0,DE,175.35,172.91 - 176.69,36850000000.0,174.69,106.21 - 181.99,8.61,887117.0,55060000000.0,3.04 (1.72%),1591134.0,20.38,0.98,2.91%,312858631.0,21/08/2020,2020-07-27
0,FDX,165.04,163.86 - 170.72,69220000000.0,165.0,88.69 - 176.25,4.9,2925739.0,44700000000.0,2.60 (1.57%),2728074.0,33.71,1.37,- 5.66%,261954496.0,15/09/2020,2020-07-27
0,GIS,64.23,63.54 - 64.36,17630000000.0,64.2,46.59 - 65.48,3.56,3150922.0,39080000000.0,1.96 (3.02%),4032001.0,18.06,0.58,19.74%,609869264.0,16/09/2020,2020-07-27
0,GLW,29.29,29.07 - 30.83,11080000000.0,29.18,17.44 - 34.25,0.34,9831137.0,23310000000.0,0.88 (2.95%),5960438.0,85.04,1.14,- 13.32%,760947974.0,28/07/2020,2020-07-27
0,GT,9.69,9.49 - 10.21,14200000000.0,9.67,4.09 - 17.2,- 3.72,3607597.0,2360000000.0,0.64 (8.86%),6091466.0,,2.05,- 31.57%,232997550.0,31/07/2020,2020-07-27
0,GS,201.47,199.59 - 204.18,54720000000.0,200.1,130.97 - 250.46,18.85,2599345.0,69820000000.0,5.00 (2.46%),3639171.0,10.69,1.46,- 9.3%,343886589.0,20/10/2020,2020-07-27
0,JPM,98.28,96.17 - 97.63,68209999999.99999,97.51,77.33 - 141.1,7.42,11942053.0,295260000000.0,3.60 (3.64%),23350807.0,13.24,1.17,- 15.44%,3047022877.0,13/10/2020,2020-07-27
0,KMB,147.34,146.1 - 148.22,18840000000.0,147.13,110.7 - 149.27,7.44,1652538.0,50260000000.0,4.28 (2.91%),1653035.0,19.81,0.5,7.41%,341047156.0,22/10/2020,2020-07-27
0,KHC,34.68,34.49 - 34.89,25180000000.0,34.67,19.99 - 35.25,1.56,4243410.0,42570000000.0,1.60 (4.59%),6188615.0,22.24,1.04,8.89%,1221833078.0,30/07/2020,2020-07-27
0,KO,48.49,48.18 - 48.51,34330000000.0,48.18,36.27 - 60.13,2.13,17150176.0,208240000000.0,1.64 (3.40%),18104359.0,22.81,0.56,- 10.49%,4295438919.0,21/10/2020,2020-07-27
0,MCD,198.72,198.71 - 202.52,20840000000.0,199.04,124.23 - 221.93,7.63,4531400.0,149630000000.0,5.00 (2.53%),3680463.0,26.03,0.67,- 7.82%,743500000.0,28/07/2020,2020-07-27
0,LLY,159.54,158.59 - 161.74,23090000000.0,159.6,101.36 - 170.67,6.03,2709534.0,153510000000.0,2.96 (1.83%),3442588.0,26.45,0.25,47.35%,956450448.0,30/07/2020,2020-07-27
0,ORCL,55.65,55.32 - 55.95,39070000000.0,55.66,39.71 - 58.79,3.09,10319606.0,169820000000.0,0.96 (1.72%),12942511.0,18.0,0.85,- 4.87%,3068682000.0,16/09/2020,2020-07-27
0,MRK,77.1,76.31 - 79.14,48080000000.0,76.41,65.25 - 92.64,3.97,10455942.0,199230000000.0,2.44 (3.13%),10077678.0,19.4,0.48,- 5.32%,2524101191.0,31/07/2020,2020-07-27
0,MSI,141.73,141.49 - 143.53,7890000000.0,141.81,120.77 - 187.49,5.2,1077065.0,24140000000.0,2.56 (1.78%),1736605.0,27.28,0.65,- 16.68%,170067338.0,06/08/2020,2020-07-27
0,MMM,159.84,159.33 - 163.38,32350000000.0,159.53,114.04 - 182.54,8.52,3190470.0,93900000000.0,5.88 (3.69%),3335613.0,18.75,0.99,- 8.13%,575196371.0,28/07/2020,2020-07-27
0,ODP,22.74,21.71 - 22.67,10600000000.0,22.47,12.3 - 29.9,24.78,540661.0,1160000000.0,10 (5.41%),861305.0,0.92,2.28,13.7%,52633839.0,11/08/2020,2020-07-27
0,CAKFF,29.142,29.89 - 29.91,,29.89,0 - 0,2.14,,6210000000.0,0.83 (3.21%),400.0,12.1,0.45,0%,203220932.0,30/07/2020,2020-07-27
0,PMMAF,77.71,77.07 - 77.07,120.62M,77.07,43.01 - 89.75,- 3.11,,11780000000.0,0.5 (0.29%),508.0,,0.37,18.53%,14939913.0,29/07/2020,2020-07-27
0,VRTX,278.49,277.68 - 285.57,4820000000.0,280.84,165.23 - 306.08,5.76,1485038.0,73690000000.0,N/A (N/A),1806057.0,48.33,0.9,66.93%,259276709.0,30/07/2020,2020-07-27
0,MNST,74.88,75.27 - 76.73,4320000000.0,75.29,50.06 - 76.73,2.07,2026268.0,40250000000.0,N/A (N/A),2241766.0,36.25,1.05,14.85%,526563592.0,05/08/2020,2020-07-27
0,TEVA,11.49,11.37 - 11.61,16950000000.0,11.42,6.07 - 13.76,- 0.76,5636855.0,12670000000.0,N/A (N/A),10244235.0,,1.6,52.39%,1095524777.0,05/08/2020,2020-07-27
0,FITB,19.54,19.05 - 19.47,4250000000.0,19.41,11.1 - 31.64,1.94,4916782.0,13830000000.0,1.08 (5.57%),8085074.0,10.07,1.72,- 34.95%,712202000.0,22/10/2020,2020-07-27
0,SHLDQ,0.16,0.15 - 0.17,,0.16,0.12 - 0.46,- 20,190263.0,16.19M,N/A (N/A),180892.0,,2.08,- 46.67%,107908943.0,11/09/2020,2020-07-27
0,CTAS,302.6,296.8 - 303.8,9070000000.0,302.63,154.33 - 310.3,,546917.0,30850000000.0,2.55 (0.84%),682015.0,,1.45,15.63%,103415368.0,29/09/2020,2020-07-27
0,ADSK,232.88,233.31 - 239.97,3420000000.0,234.96,125.38 - 251.17,1.37,730882.0,52540000000.0,N/A (N/A),1552013.0,169.86,1.57,38.63%,219196718.0,20/08/2020,2020-07-27
0,DISH,33.36,32.63 - 33.95,12840000000.0,33.63,17.09 - 42.62,2.08,1416351.0,17500000000.0,N/A (N/A),3180377.0,16.02,1.73,- 15.57%,524157534.0,30/07/2020,2020-07-27
