,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,202.4,196.05 - 211.2,63410000000.0,200.25,89.07 - 374.83,- 7.88,37907540.0,118580000000.0,4.11 (N/A),21979481.0,,1.61,- 45.54%,564529686.0,03/02/2021,2020-11-17
0,GM,42.13,41.14 - 42.54,115790000000.0,41.85,14.33 - 42.54,2.23,16077069.0,60090000000.0,0.76 (7.06%),15503248.0,18.9,1.42,14.2%,1431307600.0,10/02/2021,2020-11-17
0,CVX,87.67,84.83 - 87.53,104060000000.0,86.4,51.66 - 122.72,- 6.41,14327230.0,167560000000.0,5.16 (5.89%),11385781.0,,1.35,- 26.26%,1925045193.0,29/01/2021,2020-11-17
0,C,50.4,49.48 - 50.93,43410000000.0,49.84,32.02 - 83.11,5.12,18961508.0,105620000000.0,2.04 (4.05%),26260557.0,9.85,1.84,- 32.26%,2081959678.0,15/01/2021,2020-11-17
0,BAC,27.58,27.01 - 27.6,45710000000.0,27.25,17.95 - 35.72,2.02,46380661.0,238620000000.0,0.72 (2.61%),60974644.0,13.63,1.57,- 16.25%,8661522562.0,19/01/2021,2020-11-17
0,T,28.97,28.68 - 29.13,172890000000.0,28.78,26.08 - 39.55,1.52,28571176.0,206870000000.0,2.08 (7.18%),37740447.0,19.06,0.68,- 26.66%,7126000000.0,27/01/2021,2020-11-17
0,CAT,173.19,170.19 - 172.48,43660000000.0,172.17,87.5 - 176.35,6.01,2110820.0,93390000000.0,4.12 (2.38%),3441577.0,28.8,0.97,19.19%,543258283.0,29/01/2021,2020-11-17
0,INTC,46.19,45.41 - 46.12,78100000000.0,45.75,43.61 - 69.29,5.1,31046477.0,189290000000.0,1.32 (2.86%),33687229.0,9.06,0.69,- 20.31%,4098000000.0,28/01/2021,2020-11-17
0,MSFT,217.23,214.08 - 217.68,147110000000.0,216.1,132.52 - 232.86,6.2,24130492.0,1642370000000.0,2.24 (1.03%),31950584.0,35.05,0.83,44.85%,7560495969.0,03/02/2021,2020-11-17
0,AA,17.66,17.11 - 18.3,9330000000.0,17.37,5.16 - 21.92,- 2.53,5442449.0,3400000000.0,N/A (N/A),5234403.0,,2.39,- 15.46%,185929586.0,20/01/2021,2020-11-17
