,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,216.5,216.86-222.43,62160000000.0,217.47,141.58-278.57,-15.35,7664658.0,126900000000.0,N/A(N/A),11242211.0,-,1.62,25.95%,586151904.0,27/10/2021,2021-08-27
0,GM,48.62,48.66-50.07,139640000000.0,48.75,28.24-64.3,8.65,14853127.0,70580000000.0,N/A(N/A),16568069.0,5.62,1.32,64.93%,1451723812.0,27/10/2021,2021-08-27
0,CVX,97.22,98.05-99.46,116310000000.0,98.14,65.16-113.11,1.86,10227485.0,188010000000.0,5.36(5.44%),9765447.0,52.2,1.31,14.67%,1933911944.0,29/10/2021,2021-08-27
0,C,72.44,72.3-73.37,41430000000.0,72.58,40.49-80.29,9.63,13657566.0,146820000000.0,2.04(2.79%),19999422.0,7.52,1.91,42.46%,2026785183.0,14/10/2021,2021-08-27
0,BAC,42.04,41.94-42.65,46640000000.0,42.12,22.95-43.49,2.99,46386639.0,353760000000.0,0.84(1.99%),46410909.0,14.07,1.55,64.48%,8414903881.0,14/10/2021,2021-08-27
0,T,27.02,26.88-27.19,176020000000.0,27.04,26.35-33.88,-0.31,31975117.0,192920000000.0,2.08(7.58%),31999850.0,-,0.75,-9.9%,7139856703.0,21/10/2021,2021-08-27
0,CAT,211.24,212.21-214.03,45890000000.0,212.26,140.91-246.69,7.83,2500209.0,115650000000.0,4.44(2.07%),3753114.0,26.99,0.89,48.94%,547471467.0,28/10/2021,2021-08-27
0,INTC,53.13,52.92-53.94,77620000000.0,53.36,43.61-68.48,4.5,16408035.0,215550000000.0,1.39(2.58%),22007739.0,11.82,0.59,7.23%,4057000000.0,28/10/2021,2021-08-27
0,MSFT,299.09,296.83-300.87,168090000000.0,298.99,196.25-305.84,8.06,22408599.0,2250000000000.0,2.24(0.74%),22522210.0,37.13,0.78,35.24%,7514891248.0,27/10/2021,2021-08-27
0,AA,41.42,42.08-44.3,10460000000.0,42.19,10.98-45.79,2.27,7067062.0,7740000000.0,N/A(N/A),7652536.0,18.27,2.7,174.85%,186866156.0,20/10/2021,2021-08-27
0,F,12.9,12.87-13.37,136430000000.0,12.89,6.41-16.45,0.85,57277979.0,51530000000.0,N/A(N/A),68448316.0,15.24,1.14,89.15%,3994764392.0,27/10/2021,2021-08-27
0,EBAY,75.64,75.19-76.58,10780000000.0,75.3,45.37-76.58,3.25,5031880.0,49170000000.0,0.72(0.97%),7016379.0,23.25,1.09,29.12%,650055805.0,20/10/2021,2021-08-27
0,DELL,101.55,95.01-101.46,100200000000.0,98.66,58.88-104.62,4.85,5374515.0,78110000000.0,N/A(N/A),1924108.0,20.93,0.94,63.45%,769190159.0,23/11/2021,2021-08-27
0,DIS,176.56,176.28-180.54,63590000000.0,176.28,117.23-203.02,0.63,8668353.0,320830000000.0,N/A(N/A),8199080.0,281.66,1.2,33.58%,1817126595.0,11/11/2021,2021-08-27
0,DOW,63.65,64.12-65.86,46190000000.0,64.19,44.33-71.38,5.44,5331308.0,47140000000.0,2.80(4.38%),4086425.0,11.71,-,37.35%,740575483.0,28/10/2021,2021-08-27
0,CSCO,59.2,58.86-59.35,49820000000.0,59.26,35.28-60.27,2.5,14730873.0,249480000000.0,1.48(2.49%),15510078.0,23.69,0.9,40.12%,4214204641.0,17/11/2021,2021-08-27
