,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,217.74,204.8-211.55,56970000000.0,211.18,141.58-278.57,-20.54,24021902.0,131259999999.99998,N/A(N/A),12864013.0,-,1.64,23.96%,584810068.0,28/07/2021,2021-07-19
0,GM,55.46,52.63-54.43,122250000000.0,53.9,24.44-64.3,6.18,20916743.0,78600000000.0,N/A(N/A),15711068.0,8.97,1.34,109.68%,1450670870.0,04/08/2021,2021-07-19
0,CVX,98.62,94.52-96.95,96330000000.0,95.82,65.16-113.11,-4.2,17366665.0,196600000000.0,5.36(5.29%),9995308.0,-,1.32,13.11%,1928059179.0,30/07/2021,2021-07-19
0,C,66.9,64.36-66.07,41430000000.0,65.46,40.49-80.29,9.63,33284837.0,140910000000.0,2.04(2.98%),20498701.0,6.95,1.9,33.21%,2026800000.0,14/10/2021,2021-07-19
0,BAC,37.92,36.51-37.25,46640000000.0,36.75,22.95-43.49,2.99,83127900.0,329810000000.0,0.72(1.85%),44754807.0,12.69,1.55,63.31%,8569317603.0,14/10/2021,2021-07-19
0,T,28.34,27.5-28.2,172920000000.0,28.11,26.35-33.88,-0.35,57616522.0,201780000000.0,2.08(7.32%),44785197.0,-,0.76,-6.31%,7140000000.0,22/07/2021,2021-07-19
0,CAT,206.84,199.23-203.75,43000000000.0,202.27,130.21-246.69,6.11,5384202.0,115930000000.0,4.44(2.10%),3625868.0,34.04,0.9,51.9%,547787152.0,30/07/2021,2021-07-19
0,INTC,54.97,53.97-54.81,77710000000.0,54.41,43.61-68.48,4.45,26975355.0,228230000000.0,1.39(2.49%),24795466.0,12.36,0.6,-8.38%,4038000000.0,22/07/2021,2021-07-19
0,MSFT,280.75,274.45-280.37,159970000000.0,278.93,196.25-284.1,7.35,32893468.0,2130000000000.0,2.24(0.80%),24649473.0,38.21,0.77,38.38%,7531574551.0,27/07/2021,2021-07-19
0,AA,32.95,31-32.45,10460000000.0,31.99,10.98-44.42,2.27,12129045.0,5900000000.0,N/A(N/A),7389103.0,14.54,2.7,152.3%,186724745.0,20/10/2021,2021-07-19
