,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,121.08,121.02-127.15,61060000000.0,122.0,113.02-233.94,-8.93,7869845.0,74740000000.0,N/A(N/A),7487433.0,-18.88,1.38,-46.42%,593811169.0,26/10/2022,2022-10-03
0,GM,32.09,31.61-33.29,132100000000.0,32.46,30.33-67.21,5.31,14657873.0,47940000000.0,0.36(1.12%),14604357.0,7.33,1.27,-39.6%,1458048958.0,25/10/2022,2022-10-03
0,CVX,143.67,148.3-152.34,206100000000.0,148.97,103.58-182.4,15.06,9458077.0,297240000000.0,5.68(3.95%),9126499.0,10.39,1.15,37.71%,1957434814.0,04/11/2022,2022-10-03
0,C,41.67,41.06-42.92,40490000000.0,41.55,41.06-73.72,7.87,21449286.0,82500000000.0,2.04(4.90%),18418177.0,6.15,1.6,-41.46%,1936709623.0,14/10/2022,2022-10-03
0,BAC,30.2,30.2-31.28,49770000000.0,30.59,29.67-50.11,3.23,34179834.0,249650000000.0,0.88(2.91%),38758264.0,10.44,1.4,-29.9%,8035239025.0,17/10/2022,2022-10-03
0,T,15.34,15.66-16.17,140240000000.0,15.73,15.34-21.53,2.75,58800621.0,113370000000.0,1.11(7.24%),38920939.0,6.39,0.605,-25.21%,7125909948.0,20/10/2022,2022-10-03
0,CAT,164.08,166.05-173.37,54030000000.0,167.43,160.6-237.9,12.59,3432723.0,90520000000.0,4.80(2.93%),2703083.0,13.75,1.01,-15.57%,527909143.0,27/10/2022,2022-10-03
0,INTC,25.77,26.07-27.25,73390000000.0,26.33,25.75-56.28,4.68,44015768.0,110740000000.0,1.46(5.67%),40265275.0,6.81,0.619,-52.15%,4106000000.0,27/10/2022,2022-10-03
0,MSFT,232.9,234.66-241.61,198270000000.0,235.41,232.9-349.67,9.7,28528356.0,1800000000000.0,2.72(1.17%),24789985.0,26.53,0.943,-19.44%,7457891872.0,26/10/2022,2022-10-03
0,AA,33.66,34-37.94,13390000000.0,34.35,33.55-98.09,5.22,9723649.0,6730000000.0,0.40(1.19%),6411420.0,9.49,2.33,-32.37%,179925180.0,19/10/2022,2022-10-03
0,F,11.2,11.13-11.59,134590000000.0,11.38,10.61-25.87,2.91,65970083.0,46150000000.0,0.60(5.36%),67655151.0,5.3,1.33,-20.9%,4020237518.0,26/10/2022,2022-10-03
0,EBAY,36.81,36.18-37.62,10070000000.0,36.94,36.18-81.19,0.603,8908026.0,20450000000.0,0.88(2.39%),5264080.0,-10.97,1.22,-47.35%,549367835.0,26/10/2022,2022-10-03
0,DELL,34.17,34.2-36.13,105130000000.0,34.52,33.81-61.54,7.19,4063544.0,26330000000.0,1.32(3.86%),3231697.0,5.68,0.909,-36.24%,732959983.0,23/11/2022,2022-10-03
0,DIS,94.33,94.5-97.78,81110000000.0,95.73,90.23-179.63,1.73,9298069.0,176980000000.0,N/A(N/A),10891661.0,61.87,1.2,-46.41%,1823057777.0,10/11/2022,2022-10-03
0,DOW,43.93,44.45-45.74,60130000000.0,44.94,43.04-71.86,8.99,6777052.0,32560000000.000004,2.80(6.37%),5935679.0,5.6,1.41,-25.01%,718167477.0,20/10/2022,2022-10-03
0,CSCO,40.0,40.47-41.53,38460000000.0,40.67,39.97-64.29,2.83,22152758.0,169650000000.0,1.52(3.80%),18711515.0,14.42,0.942,-27.46%,4108844167.0,16/11/2022,2022-10-03
0,DE,333.89,339.18-347.78,48040000000.0,339.61,283.81-446.76,20.11,1529593.0,103870000000.0,4.52(1.35%),1421276.0,18.17,1.06,-2.43%,301819630.0,23/11/2022,2022-10-03
0,FDX,148.47,147.98-152.66,94750000000.0,150.12,141.92-266.79,13.71,2691363.0,39410000000.0,4.60(3.10%),2875430.0,11.01,1.21,-33.28%,260219792.0,20/12/2022,2022-10-03
0,GIS,76.61,76.53-78.71,18820000000.0,77.06,60.5-81.24,4.79,4068587.0,46600000000.0,2.16(2.82%),3783079.0,16.42,0.319,26.38%,593535650.0,21/12/2022,2022-10-03
0,GLW,29.02,29.13-30,14470000000.0,29.38,28.98-43.47,2.36,4151601.0,25260000000.0,1.08(3.72%),4460153.0,12.72,1.0,-21.53%,845318144.0,25/10/2022,2022-10-03
0,GT,10.09,10.07-10.76,20110000000.0,10.23,10.07-24.89,3.34,4982248.0,3010000000.0,N/A(N/A),4180851.0,4.18,1.88,-45.75%,282802845.0,04/11/2022,2022-10-03
0,GS,293.05,291.1-301.23,52580000000.0,297.17,277.84-426.16,44.72,1923216.0,97370000000.0,10.00(3.41%),2119758.0,7.39,1.36,-22.88%,325422234.0,18/10/2022,2022-10-03
0,JPM,104.5,104.46-108.36,66569999999.99999,105.62,104.4-172.96,12.49,12021145.0,317020000000.0,4.00(3.83%),11651850.0,9.32,1.09,-37.47%,2941334295.0,14/10/2022,2022-10-03
0,KMB,112.54,111.9-114.43,20130000000.0,113.14,111.9-145.79,5.3,1621639.0,38560000000.0,4.64(4.12%),1387908.0,24.35,0.346,-14.86%,337622288.0,25/10/2022,2022-10-03
0,KHC,33.35,33.36-34.08,25630000000.0,33.57,32.76-44.87,1.24,6696234.0,41620000000.0,1.60(4.80%),7608707.0,36.44,0.736,-9.08%,1225439747.0,03/11/2022,2022-10-03
0,KO,56.02,56.06-56.85,41320000000.0,56.36,52.28-67.2,2.21,15651789.0,245210000000.0,1.76(3.14%),12729280.0,27.23,0.545,5.66%,4324629174.0,25/10/2022,2022-10-03
0,MCD,230.74,231.71-236.85,23590000000.0,233.52,217.68-271.15,8.18,3285814.0,173240000000.0,5.52(2.39%),2450605.0,31.6,0.561,-5.02%,735717271.0,25/10/2022,2022-10-03
0,LLY,323.35,317.05-329.35,29070000000.0,325.99,224.22-341.7,6.3,3340122.0,305850000000.0,3.92(1.21%),2729725.0,49.33,0.347,40.84%,950174817.0,01/11/2022,2022-10-03
0,ORCL,61.07,60.81-63.24,44160000000.0,61.06,60.78-106.34,2.17,8217989.0,170160000000.0,1.28(2.10%),7443994.0,30.73,0.864,-31.95%,2696166315.0,15/12/2022,2022-10-03
0,MRK,86.12,86.02-87.9,57170000000.0,86.72,71.5-95.72,6.56,8934009.0,222070000000.0,2.76(3.20%),8155046.0,13.26,0.336,5.8%,2533279845.0,27/10/2022,2022-10-03
0,MSI,223.97,225.93-230.52,8460000000.000001,227.37,195.18-273.65,7.15,876939.0,38260000000.0,3.16(1.41%),692484.0,35.17,0.929,-4.41%,166885127.0,03/11/2022,2022-10-03
0,MMM,110.5,110.91-114.02,35090000000.0,111.69,110.39-186.3,7.22,2811295.0,62810000000.0,5.96(5.39%),9567811.0,15.4,0.995,-37.46%,553834603.0,25/10/2022,2022-10-03
0,ODP,35.15,34.95-35.83,8430000000.0,35.31,28.85-48,-1.8,366443.0,1700000000.0,N/A(N/A),442619.0,10.25,1.9,-15.46%,48633351.0,02/11/2022,2022-10-03
0,CAKFF,30.15,10.12-10.12,-,10.12,10.12-10.12,-4.29,0.0,4000000000.0,0.83(3.21%),534.0,-78.59,0.128,0%,203220932.0,-,2022-10-03
0,PMMAF,47.98,44-47.42,8080000000.0,46.8,44-131.35,2.39,140.0,6970000000.0,0.50(0.29%),443.0,24.01,0.715,-57.67%,149605600.0,-,2022-10-03
0,VRTX,289.54,289.64-299.59,7950000000.0,293.71,176.36-305.95,12.49,1780411.0,76280000000.0,N/A(N/A),1380201.0,23.47,0.45,60.54%,256459482.0,02/11/2022,2022-10-03
0,MNST,86.96,87.12-89.54,5820000000.0,87.52,71.78-99.81,2.32,2331124.0,46930000000.0,N/A(N/A),2613100.0,38.15,0.944,-3.25%,526885495.0,09/11/2022,2022-10-03
0,TEVA,8.07,8.15-8.32,15430000000.0,8.19,6.78-11.34,-0.953,8429970.0,9180000000.0,N/A(N/A),13268480.0,-11.54,1.31,-16.8%,1110564656.0,03/11/2022,2022-10-03
0,FITB,31.96,31.79-33.13,4059999999.9999995,32.5,31.19-50.64,3.34,4744872.0,22530000000.0,1.32(4.13%),4231932.0,9.93,1.26,-26.8%,686189548.0,20/10/2022,2022-10-03
0,SHLDQ,0.08,0.04-0.11,-,0.04,0.01-0.25,-20.0,13248.0,4.32M,N/A(N/A),55213.0,-0.006,-0.676,-38.46%,107908943.0,01/12/2022,2022-10-03
0,CTAS,388.19,390.75-402.39,9840000000.0,392.67,343.86-461.44,12.17,473323.0,40700000000.0,4.60(1.18%),422492.0,32.68,1.43,0.22%,101532642.0,22/12/2022,2022-10-03
0,ADSK,186.8,187.62-193.44,4590000000.0,187.83,163.2-335.48,2.56,1620140.0,41540000000.0,N/A(N/A),1390819.0,76.9,1.53,-34.24%,215859048.0,29/11/2022,2022-10-03
0,DISH,13.83,13.89-14.89,17440000000.0,14.14,13.81-46.31,3.9,3445495.0,7840000000.0,N/A(N/A),3530089.0,5.46,1.81,-69.38%,530304901.0,03/11/2022,2022-10-03
0,GILD,61.69,61.44-62.57,27520000000.0,62.4,57.17-74.12,3.3,8063428.0,78110000000.0,2.92(4.73%),6792170.0,19.85,0.35,-10.02%,1253367394.0,27/10/2022,2022-10-03
0,LIFE,3.0,2.85-3.01,-,3.01,2.6-9.95,-1.6,36905.0,81.87M,N/A(N/A),132923.0,-2.27,1.5,-64.95%,28625046.0,17/11/2022,2022-10-03
0,GOOGL,95.65,96.52-99.29,278140000000.0,96.76,95.61-151.55,5.45,27744906.0,1290000000000.0,N/A(N/A),29746736.0,20.06,1.08,-29.95%,13044000000.0,25/10/2022,2022-10-03
0,FISV,93.57,93.21-95.99,17010000000.000002,94.33,87.03-111.84,3.1,3825532.0,61030000000.0,N/A(N/A),3664100.0,34.02,0.877,-14.77%,639584348.0,01/11/2022,2022-10-03
0,LBTYA,15.59,15.7-16.64,7430000000.0,15.8,15.59-30.42,8.97,2929061.0,8000000000.0,N/A(N/A),1542100.0,2.82,1.15,-46.07%,484793664.0,09/11/2022,2022-10-03
0,PDLI,2.47,2.39-2.78,9.33M,2.73,2.39-2.78,-0.72,0.0,282.14M,N/A(N/A),1305090.0,-,1.14,0%,114226566.0,-,2022-10-03
0,ADBE,275.2,277-286.9,17190000000.0,278.27,274.78-699.54,10.19,3637375.0,132610000000.00002,N/A(N/A),3481640.0,27.14,1.13,-52.34%,464900000.0,15/12/2022,2022-10-03
0,BB,4.7,4.67-4.84,544M,4.76,4.67-12.39,-0.03,7174157.0,2780000000.0,N/A(N/A),5679195.0,-9.96,1.21,-51.55%,577416687.0,20/12/2022,2022-10-03
0,QCOM,112.98,113.67-118.32,42140000000.0,114.99,112.94-193.58,11.43,7465092.0,131639999999.99998,3.00(2.66%),7515738.0,11.51,1.24,-12.22%,1123000000.0,02/11/2022,2022-10-03
0,SINA,43.31,43.13-43.33,280M,43.27,43.13-43.33,0.9,0.0,2580000000.0,40.00(16.67%),970647.0,10.07,4.44,0%,59754024.0,-,2022-10-03
0,BIDU,117.49,116-120.02,19310000000.0,117.2,101.62-182.6,-35.86,2090077.0,40600000000.0,N/A(N/A),2301214.0,-27.26,0.698,-22.49%,345541599.0,27/10/2022,2022-10-03
0,SOHU,16.07,16.11-16.77,797.28M,16.12,12.87-22.71,22.59,43286.0,562.71M,N/A(N/A),102135.0,24.52,1.52,-21.76%,33735836.0,07/11/2022,2022-10-03
0,DISCA,11.5,11.56-12.03,19320000000.0,11.64,11.22-31.55,-2.8,17691597.0,29010000000.0,N/A(N/A),23774866.0,-4.71,1.36,-55.32%,2427592861.0,27/10/2022,2022-10-03
0,RBBN,2.22,2.22-2.36,819.98M,2.29,2.22-6.46,-1.72,573322.0,387M,N/A(N/A),578698.0,-2.04,0.953,-63.49%,167531506.0,02/11/2022,2022-10-03
0,AMAT,81.93,83.01-87.61,25160000000.0,83.04,81.55-167.06,7.53,9583312.0,74200000000.0,1.04(1.27%),6845690.0,12.58,1.51,-36.55%,860309377.0,17/11/2022,2022-10-03
0,STLD,70.95,72.06-75.94,20430000000.0,72.06,50.54-100.37,22.58,1311072.0,13770000000.0,1.36(1.92%),1714832.0,3.24,1.39,21.72%,182610729.0,17/10/2022,2022-10-03
0,CDNS,163.43,164.39-171.26,3280000000.0,164.39,132.32-194.97,2.84,1796162.0,46630000000.0,N/A(N/A),1633381.0,60.79,1.09,6.81%,273870000.0,24/10/2022,2022-10-03
0,BBBY,6.09,5.84-6.1,6830000000.0,6.05,4.38-30.06,-13.34,6184579.0,478.54M,N/A(N/A),44660066.0,-0.456,1.57,-63.27%,79756695.0,05/01/2023,2022-10-03
0,MCHP,61.03,61.44-64.31,6940000000.0,62.21,54.33-90,2.78,5169522.0,35170000000.0,1.204(1.97%),4414670.0,22.81,1.62,-20.07%,552484192.0,03/11/2022,2022-10-03
