,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,220.96,226.92-233.94,63300000000.0,227.37,191.35-278.57,-14.74,21739016.0,136970000000.0,N/A(N/A),8761206.0,-,1.52,18.09%,587699224.0,26/01/2022,2021-11-15
0,GM,63.4,62.63-63.73,130940000000.0,63.65,40.04-64.3,7.48,14326506.0,91420000000.0,N/A(N/A),17865064.0,8.47,1.19,53.92%,1451860294.0,01/02/2022,2021-11-15
0,CVX,114.23,114.27-116.95,134860000000.00002,114.95,83.06-116.95,5.16,10954292.0,225210000000.0,5.36(4.70%),10628554.0,22.16,1.27,37.58%,1927685919.0,28/01/2022,2021-11-15
0,C,69.16,68.54-69.67,39150000000.0,69.43,49.48-80.29,10.38,12823996.0,136380000000.0,2.04(2.96%),18306845.0,6.66,1.81,42.13%,1984267239.0,14/01/2022,2021-11-15
0,BAC,46.91,46.9-47.39,46630000000.0,47.26,26.63-48.69,3.34,35020692.0,385060000000.0,0.84(1.77%),44181259.0,14.06,1.5,73.74%,8184084032.0,18/01/2022,2021-11-15
0,T,24.94,24.74-25.05,173600000000.0,24.97,24.54-33.88,0.12,40124914.0,177100000000.0,2.08(8.35%),39069318.0,210.39,0.65,-13.73%,7141000000.0,26/01/2022,2021-11-15
0,CAT,209.27,206.76-210.69,48410000000.0,210.0,170.19-246.69,9.21,2074968.0,112380000000.0,4.44(2.13%),3358265.0,22.73,0.89,21.87%,540941600.0,27/01/2022,2021-11-15
0,INTC,50.31,50.12-50.63,78470000000.0,50.41,44.73-68.48,5.15,24634260.0,204690000000.0,1.39(2.75%),24416151.0,9.77,0.52,10.67%,4067000000.0,26/01/2022,2021-11-15
0,MSFT,336.72,334.03-337.88,176250000000.0,337.54,208.18-338.79,8.95,16559860.0,2520000000000.0,2.48(0.75%),23408147.0,37.64,0.87,55.52%,7507980444.0,27/01/2022,2021-11-15
0,AA,51.92,49.44-51,11200000000.0,50.99,16.76-57.57,4.3,6345205.0,9480000000.0,0.40(0.78%),8206975.0,12.09,2.41,213.34%,187103147.0,19/01/2022,2021-11-15
0,F,19.5,19.14-19.95,134620000000.0,19.46,8.43-20.51,0.7,84030406.0,79370000000.0,0.40(2.05%),78382927.0,27.67,1.11,128.34%,3996241503.0,27/01/2022,2021-11-15
0,EBAY,73.91,74-76.24,10680000000.0,74.47,47.97-81.19,2.81,5072085.0,46460000000.0,0.72(0.98%),6183931.0,26.33,1.12,51.86%,626003781.0,02/02/2022,2021-11-15
0,DELL,56.0,56.28-57.54,100200000000.0,56.47,53.01-115,4.85,7054345.0,43380000000.0,N/A(N/A),3296958.0,11.54,0.88,-15.29%,765116151.0,23/11/2021,2021-11-15
0,DIS,159.63,157.66-160.72,67420000000.0,160.09,140.86-203.02,1.11,20889189.0,287910000000.0,N/A(N/A),9615878.0,144.29,1.17,15.37%,1817126595.0,08/02/2022,2021-11-15
0,DOW,60.06,59.78-60.82,51310000000.0,60.5,51.33-71.38,7.71,3440139.0,44420000000.0,2.80(4.69%),5472682.0,7.79,-,15.57%,739614412.0,27/01/2022,2021-11-15
0,CSCO,56.82,56.83-57.7,49820000000.0,56.93,40.77-60.27,2.5,18994456.0,241540000000.0,1.48(2.61%),16218845.0,22.73,0.91,37.25%,4217627072.0,17/11/2021,2021-11-15
0,DE,358.86,359.64-363.75,42400000000.0,362.11,250.54-400.34,17.26,969659.0,111980000000.0,4.20(1.18%),1671406.0,20.79,1.07,42.52%,310061478.0,24/11/2021,2021-11-15
0,FDX,253.88,250.25-255.25,86640000000.0,254.5,216.34-319.9,17.87,1982902.0,67000000000.0,3.00(1.20%),2918820.0,14.21,1.28,-6.63%,265650056.0,16/12/2021,2021-11-15
0,GIS,63.24,63-63.83,18300000000.0,63.23,53.96-64.65,3.77,1750889.0,38590000000.0,2.04(3.24%),3499657.0,16.79,0.51,3.72%,605692452.0,22/12/2021,2021-11-15
0,GLW,39.12,38.6-39.24,13760000000.0,39.24,34.8-46.82,0.94,3066918.0,33030000000.0,0.96(2.51%),4328549.0,41.67,1.1,9.18%,853408459.0,01/02/2022,2021-11-15
0,GT,23.55,22.69-23.69,16079999999.999998,23.55,9.95-24.89,1.05,4671231.0,6400000000.0,N/A(N/A),3790805.0,22.38,2.01,135.74%,281292551.0,08/02/2022,2021-11-15
0,GS,404.91,403.91-407.34,64440000000.0,406.0,218.33-426.16,60.62,1294548.0,134990000000.00002,8.00(1.99%),2286386.0,6.68,1.5,84.82%,333577724.0,19/01/2022,2021-11-15
0,JPM,166.86,166-167.79,62880000000.0,167.21,113.56-172.96,15.81,6429637.0,492290000000.0,4.00(2.39%),9923035.0,10.56,1.12,46.27%,2955266061.0,14/01/2022,2021-11-15
0,KMB,133.91,133.62-134.8,19310000000.0,133.89,125.27-144.44,5.88,1277300.0,45380000000.0,4.56(3.40%),1716747.0,22.79,0.5,-4.58%,336716722.0,26/01/2022,2021-11-15
0,KHC,37.22,37.24-37.74,26270000000.0,37.28,31.33-44.95,1.79,5887159.0,46090000000.0,1.60(4.29%),5033316.0,20.78,1.07,17.75%,1225261485.0,17/02/2022,2021-11-15
0,KO,56.61,56.27-56.68,37800000000.0,56.53,48.11-57.56,2.03,10012050.0,244570000000.0,1.68(2.96%),13977545.0,27.85,0.67,5.91%,4319420236.0,09/02/2022,2021-11-15
0,MCD,250.67,250.67-253.76,22530000000.0,250.67,202.73-257.53,9.69,1706130.0,189050000000.0,5.52(2.21%),2487983.0,25.87,0.58,17.53%,747245427.0,24/01/2022,2021-11-15
0,LLY,259.65,257.16-259.61,27760000000.0,259.39,138.61-275.87,6.55,1898961.0,234140000000.0,3.40(1.30%),2600319.0,39.66,0.34,82.36%,906592393.0,03/02/2022,2021-11-15
0,ORCL,93.54,92.92-94.25,40840000000.0,93.82,55.56-98.95,4.71,5692915.0,257019999999.99997,1.28(1.36%),9558206.0,19.87,0.8,64.36%,2733686038.0,16/12/2021,2021-11-15
