,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,BA,129.39,120.28-128.53,61060000000.0,126.89,120.28-258.4,-8.29,15798054.0,72550000000.0,N/A(N/A),9754579.0,-,1.5,-43.47%,591635833.0,27/07/2022,2022-05-12
0,GM,37.27,34.58-36.2,130509999999.99998,35.46,34.58-67.21,6.02,42305955.0,51640000000.0,N/A(N/A),17873724.0,6.19,1.2,-33.12%,1458240927.0,26/07/2022,2022-05-12
0,CVX,163.16,158.86-164.85,176840000000.0,163.22,92.86-174.76,10.63,8909056.0,321920000000.0,5.68(3.48%),15893775.0,15.34,1.05,52.91%,1964813456.0,29/07/2022,2022-05-12
0,C,47.66,45.4-47.4,40490000000.0,47.26,45.4-80.29,8.48,35902364.0,89850000000.0,2.04(4.28%),27726902.0,5.62,1.58,-36.34%,1941920542.0,15/07/2022,2022-05-12
0,BAC,35.57,34.26-35.43,47750000000.0,35.01,34.26-50.11,3.51,60926924.0,280540000000.0,0.84(2.36%),53430563.0,10.14,1.37,-14.43%,8056881363.0,18/07/2022,2022-05-12
0,T,19.43,19.39-19.74,163030000000.0,19.4,16.62-25.57,2.37,52461816.0,140600000000.0,1.11(5.71%),50454453.0,8.2,0.52,-20.21%,7158851941.0,21/07/2022,2022-05-12
0,CAT,205.21,199.29-205.34,52670000000.0,203.61,179.67-246.69,11.85,3265587.0,107870000000.0,4.44(2.16%),3548369.0,17.31,0.92,-14.25%,533374415.0,28/07/2022,2022-05-12
0,INTC,42.83,42.01-42.9,77700000000.0,42.73,42.01-58.41,6.01,42043196.0,174140000000.0,1.46(3.41%),37235764.0,7.12,0.6,-22.18%,4088661122.0,28/07/2022,2022-05-12
0,MSFT,260.55,250.02-259.88,192560000000.0,257.69,238.9-349.67,9.58,50702909.0,1900000000000.0,2.48(0.95%),33167839.0,27.18,0.95,5.82%,7479033135.0,21/07/2022,2022-05-12
0,AA,56.66,53.34-56.36,-,54.85,31-98.09,3.74,7351798.0,10040000000.0,0.40(0.71%),7790323.0,15.14,2.37,37.12%,184448686.0,20/07/2022,2022-05-12
0,F,12.83,12.15-12.8,134590000000.0,12.21,11.35-25.87,2.85,112721645.0,49760000000.0,0.40(3.12%),72404543.0,4.51,1.17,10.79%,4019765355.0,27/07/2022,2022-05-12
0,EBAY,46.58,45.19-47.82,10270000000.0,45.98,45.19-81.19,-2.89,8898129.0,25700000000.0,0.88(1.89%),7521198.0,-,1.17,-22.92%,559842135.0,20/07/2022,2022-05-12
0,DELL,44.41,43.17-44.9,101200000000.0,44.17,43.17-115,6.26,5807067.0,32570000000.0,1.32(2.97%),4267921.0,7.09,0.87,-54.6%,748145864.0,27/05/2022,2022-05-12
0,DIS,105.21,99.47-105,72990000000.0,102.9,99.47-187.58,1.72,35901407.0,189580000000.0,N/A(N/A),12196107.0,61.15,1.21,-42.09%,1821483742.0,09/08/2022,2022-05-12
0,DOW,66.79,65.67-67.39,58350000000.0,66.53,52.07-71.86,9.18,6026942.0,48540000000.0,2.80(4.19%),5566857.0,7.28,-,-2.6%,728101842.0,21/07/2022,2022-05-12
0,CSCO,48.65,47.47-48.78,51550000000.0,48.63,47.47-64.29,2.8,25753289.0,199570000000.0,1.52(3.12%),21406607.0,17.4,0.96,-7.91%,4154168000.0,18/05/2022,2022-05-12
0,DE,364.03,354.3-367.57,44450000000.0,362.84,320.5-446.76,18.04,1878476.0,110940000000.0,4.20(1.15%),2117537.0,20.18,1.02,-5%,306784327.0,20/05/2022,2022-05-12
0,FDX,207.2,202.31-208.34,91680000000.0,205.32,192.82-319.9,18.15,2276333.0,53750000000.0,3.00(1.45%),2488867.0,11.42,1.28,-32.21%,259178229.0,23/06/2022,2022-05-12
0,GIS,71.8,71.5-72.86,18630000000.0,72.14,56.67-73.99,3.75,3212973.0,43350000000.0,2.04(2.84%),3790057.0,19.16,0.42,13.77%,602212031.0,29/06/2022,2022-05-12
0,GLW,34.88,34.49-35.24,14470000000.0,34.71,33.21-44.57,1.25,4995611.0,29580000000.0,1.08(3.10%),4948051.0,27.94,0.9,-22.73%,844612498.0,27/07/2022,2022-05-12
0,GT,11.26,10.89-11.54,-,11.05,10.89-24.89,3.01,6463217.0,3140000000.0,N/A(N/A),7119998.0,3.74,1.9,-40.71%,282465382.0,29/07/2022,2022-05-12
0,GS,301.55,293.9-302.89,60030000000.0,300.0,293.9-426.16,51.52,3383964.0,97750000000.0,8.00(2.65%),2894708.0,5.85,1.38,-16.22%,328223565.0,19/07/2022,2022-05-12
0,JPM,118.14,115.37-118.32,63020000000.0,117.0,115.37-172.96,13.48,16239383.0,344690000000.0,4.00(3.39%),15718464.0,8.77,1.09,-25.48%,2937050466.0,14/07/2022,2022-05-12
0,KMB,138.91,138.05-140.61,19790000000.0,138.92,117.32-145.79,5.18,1322213.0,46870000000.0,4.64(3.34%),2068684.0,26.82,0.37,3.5%,336925493.0,26/07/2022,2022-05-12
0,KHC,43.5,42.62-43.66,25690000000.0,43.45,32.78-44.95,0.8,6505685.0,52500000000.0,1.60(3.68%),7421738.0,54.52,0.81,0.55%,1223951939.0,04/08/2022,2022-05-12
0,KO,64.31,63.21-64.53,40130000000.0,64.16,52.28-67.2,2.37,21295228.0,278740000000.0,1.76(2.74%),18240236.0,27.12,0.57,18.39%,4335028727.0,27/07/2022,2022-05-12
0,MCD,244.43,241.12-246.38,23760000000.0,245.32,217.68-271.15,9.47,2849539.0,179880000000.0,5.52(2.26%),3289054.0,25.82,0.57,4.52%,739546930.0,28/07/2022,2022-05-12
0,LLY,286.69,283.33-291.99,29320000000.0,283.33,191.75-314,6.74,2352790.0,261709999999.99997,3.92(1.37%),2894703.0,42.54,0.41,47.21%,900159559.0,04/08/2022,2022-05-12
0,ORCL,71.03,68.97-70.93,41830000000.0,70.88,68.97-106.34,2.61,11651118.0,187650000000.0,1.28(1.80%),8266187.0,27.23,0.86,-8.57%,2668157000.0,22/06/2022,2022-05-12
0,MRK,89.19,88.36-90.85,53980000000.0,89.85,70.89-91.4,5.48,14008379.0,228910000000.0,2.76(3.09%),11139844.0,16.26,0.37,20.76%,2528805025.0,28/07/2022,2022-05-12
0,MSI,201.95,199.24-204.4,8170000000.0,201.05,193.93-273.65,7.17,1570339.0,33509999999.999996,3.16(1.56%),923147.0,28.18,0.93,0.12%,167448183.0,12/05/2022,2022-05-12
0,MMM,146.41,146.01-149.62,35330000000.0,146.59,139.74-206.81,9.6,2802683.0,84680000000.0,5.96(4.07%),3446281.0,15.25,0.89,-28.13%,569058849.0,26/07/2022,2022-05-12
0,ODP,41.58,40.39-42.34,10830000000.0,41.38,34.71-51.4,3.43,396126.0,2029999999.9999998,N/A(N/A),375422.0,12.11,1.81,-3.05%,49196849.0,10/08/2022,2022-05-12
0,CAKFF,30.15,10.12-10.12,-,10.12,10.12-30.15,2.14,0.0,4760000000.0,0.83(3.21%),534.0,12.1,0.45,-66.17%,203220932.0,-,2022-05-12
0,PMMAF,69.33,62.79-66,8150000000.0,62.79,62.79-131.35,-3.11,110.0,9950000000.0,0.50(0.29%),278.0,27.42,0.37,-36.01%,149605600.0,-,2022-05-12
0,VRTX,234.96,233.62-241.05,7570000000.0,236.55,176.36-292.75,9.49,1362264.0,61360000000.0,N/A(N/A),1637234.0,24.76,0.6,10.31%,255755961.0,27/07/2022,2022-05-12
0,MNST,84.91,83.71-86.53,5540000000.0,83.71,71.78-99.86,2.57,3023379.0,45240000000.0,N/A(N/A),3220021.0,33.01,1.0,-7.24%,529671407.0,09/08/2022,2022-05-12
0,TEVA,7.38,7.23-7.59,15560000000.0,7.27,7.23-11.54,-0.56,10365382.0,8320000000.0,N/A(N/A),8786731.0,-,1.22,-28%,1110352397.0,04/08/2022,2022-05-12
0,FITB,35.86,34.96-35.97,4059999999.9999995,35.61,34.35-50.64,3.49,6469144.0,24400000000.0,1.20(3.35%),6712964.0,10.27,1.31,-13.86%,686087463.0,21/07/2022,2022-05-12
0,SHLDQ,0.08,0.06-0.06,-,0.06,0-0.69,-20.0,230.0,6.47M,N/A(N/A),63892.0,-,-0.65,-72%,107908943.0,02/06/2022,2022-05-12
0,CTAS,370.94,362.21-373.08,9510000000.0,370.0,338.21-461.44,11.33,615791.0,37380000000.0,3.80(1.02%),498340.0,32.75,1.47,4.58%,102324911.0,19/07/2022,2022-05-12
0,ADSK,180.68,175.41-186.64,4390000000.0,177.48,175.41-344.39,2.24,2538627.0,40120000000.0,N/A(N/A),1956567.0,80.74,1.43,-34.87%,217527140.0,26/05/2022,2022-05-12
0,DISH,17.46,17.04-20.01,-,17.39,17.04-46.31,3.48,12857585.0,10540000000.0,N/A(N/A),3414503.0,5.02,2.03,-62.23%,529994822.0,04/08/2022,2022-05-12
0,GILD,60.56,60.63-62.5,27470000000.0,60.7,57.19-74.12,3.58,9239934.0,78080000000.0,2.92(4.82%),10285966.0,16.92,0.37,-9.91%,1254313448.0,27/07/2022,2022-05-12
0,LIFE,3.16,2.95-3.26,-,3.26,2.95-13.1,-1.81,128299.0,85.57M,N/A(N/A),120848.0,-,1.6,-17.92%,28056249.0,17/08/2022,2022-05-12
0,GOOGL,2272.05,"2,196.49-2,285.9",270329999999.99997,2227.55,"2,196.49-3,030.93",110.57,2661213.0,1480000000000.0,N/A(N/A),1773683.0,20.55,1.11,0.09%,658499877.0,25/07/2022,2022-05-12
0,FISV,92.58,91.32-93.63,16610000000.0,91.66,89.91-119.86,2.56,3289505.0,60300000000.0,N/A(N/A),3487933.0,36.19,0.8,-19.38%,646394065.0,02/08/2022,2022-05-12
0,LBTYA,21.94,21.41-21.98,13930000000.0,21.79,21.41-30.58,23.46,1520126.0,11050000000.0,N/A(N/A),1280770.0,0.94,1.16,-21.7%,504817325.0,08/08/2022,2022-05-12
0,PDLI,2.47,2.39-2.78,9.33M,2.73,2.39-2.78,-0.72,0.0,282.14M,N/A(N/A),1305090.0,-,1.14,0%,114226566.0,-,2022-05-12
0,ADBE,379.33,370.27-390.13,16140000000.0,373.4,370.27-699.54,10.07,3924489.0,182780000000.0,N/A(N/A),3638644.0,37.67,1.09,-21.82%,472500000.0,16/06/2022,2022-05-12
0,BB,4.89,4.7-5.28,718M,4.75,4.7-20.17,0.0,15200107.0,2940000000.0,N/A(N/A),7576109.0,1106.34,1.49,-41.08%,577151637.0,23/06/2022,2022-05-12
0,QCOM,132.3,127.82-133.06,39270000000.0,131.0,122.17-193.58,9.77,10713133.0,146410000000.0,3.00(2.27%),10973770.0,13.54,1.22,3.06%,1120000000.0,20/07/2022,2022-05-12
0,SINA,43.31,43.13-43.33,507.74M,43.27,43.13-43.33,-1.43,0.0,2580000000.0,40.00(9.76%),970647.0,-,0.94,0%,59754024.0,-,2022-05-12
0,BIDU,106.09,101.62-110.96,19590000000.0,105.02,101.62-209.04,4.22,3493255.0,36660000000.0,N/A(N/A),4303456.0,25.15,0.94,-44.08%,345541599.0,12/05/2022,2022-05-12
0,SOHU,13.77,13.41-14.22,835.57M,13.69,12.87-24.97,1.75,223529.0,530.12M,N/A(N/A),405860.0,7.86,1.78,-22.29%,38220845.0,16/05/2022,2022-05-12
0,DISCA,16.62,16.51-17.74,12560000000.0,16.51,16.51-39.7,2.01,20180426.0,41300000000.0,N/A(N/A),17030142.0,8.25,1.26,-54.82%,2426844405.0,09/08/2022,2022-05-12
0,RBBN,2.97,2.86-3,825.39M,2.94,2.74-8.31,-1.37,373597.0,441.41M,N/A(N/A),526224.0,-,1.06,-57.33%,150139066.0,03/08/2022,2022-05-12
0,AMAT,103.92,102.99-106.88,24170000000.0,103.03,102.99-167.06,7.19,9258709.0,93600000000.0,1.04(1.00%),7961320.0,14.45,1.44,-15.89%,883394639.0,19/05/2022,2022-05-12
0,CDNS,135.68,132.32-136.94,3150000000.0,133.41,118.2-192.7,2.68,1545668.0,37320000000.0,N/A(N/A),1850401.0,50.67,1.16,7.83%,275759000.0,25/07/2022,2022-05-12
0,BBBY,9.22,8.8-10.55,7870000000.0,9.12,8.8-44.5,-5.94,7493490.0,744.53M,N/A(N/A),6986615.0,-,1.9,-63.13%,79373789.0,13/07/2022,2022-05-12
0,MCHP,64.56,63.52-65.54,6440000000.0,64.14,63.52-90,2.27,6004552.0,36030000000.0,1.104(1.71%),5251034.0,28.42,1.53,-11.26%,555990729.0,09/08/2022,2022-05-12
0,WYNN,58.85,56.36-59.9,3760000000.0,58.0,56.36-136.81,-5.73,5402254.0,6720000000.0,N/A(N/A),3274637.0,-,2.24,-52.92%,115063322.0,03/08/2022,2022-05-12
0,ISRG,210.87,207.24-214.06,5910000000.0,208.08,206.6-369.69,4.49,2024330.0,75590000000.0,N/A(N/A),2138326.0,47.0,1.28,-24.4%,358956511.0,21/07/2022,2022-05-12
0,NDAQ,143.23,141.22-145.27,5770000000.0,142.6,141.22-214.96,6.97,785367.0,23670000000.0,2.40(1.68%),858636.0,20.56,0.96,-10.33%,164677774.0,27/07/2022,2022-05-12
0,RYAAY,81.94,79.11-81.76,4260000000.0,79.67,74.12-127.25,-2.0,381276.0,15650000000.0,N/A(N/A),649078.0,-,1.38,-30.42%,1134528528.0,16/05/2022,2022-05-12
