,Stock Symbol,Prev. Close,Todays Range,Revenue,Open,52 wk Range,EPS,Volume,Market Cap,Dividend (Yield),Average Vol. (3m),P/E Ratio,Beta,1-Year Change,Shares Outstanding,Next Earnings Date,Date
0,SEB,3695.01,"3,639.04-3,729",9880000000.0,3710.51,"3,549.49-4,400",366.99,297.0,4250000000.0,9.00(0.25%),166.0,10.63,0.354,-7.93%,1160779.0,02/11/2022,2022-09-15
0,SVT,11.39,11.12-11.37,43.86M,11.12,10.3-14.9,0.759,837.0,27.77M,N/A(N/A),1376.0,14.42,0.804,-3.78%,2442062.0,14/11/2022,2022-09-15
0,SIF,3.14,3.16-3.16,89.59M,3.16,3.08-10,-0.898,1289.0,19.09M,N/A(N/A),761.0,-3.64,1.46,-61.66%,6039617.0,-,2022-09-15
0,XPL,0.5605,0.55-0.59,-,0.5604,0.41-0.98,-0.055,17173.0,36.55M,N/A(N/A),9407.0,-9.6,1.41,-11.03%,64768873.0,02/11/2022,2022-09-15
0,SSY,1.17,1.12-1.18,41.81M,1.17,0.95-2.82,0.72,6270.0,8M,N/A(N/A),12905.0,1.92,1.14,-53.01%,6954151.0,27/09/2022,2022-09-15
0,SRCI,4.09,3.95-4.08,134.09M,4.07,0-0,0.89,0.0,996.17M,N/A(N/A),439896.0,4.61,1.67,0%,243563280.0,-,2022-09-15
0,SYN,1.4,1.36-1.44,-,1.4,0.255-5.081,-1.27,11625.0,21.86M,N/A(N/A),13648.0,-1.16,1.33,-71.29%,15844061.0,02/11/2022,2022-09-15
0,TGC,22.73,22.5-23.29,261.49M,23.29,15.8-35.96,3.51,32995.0,460.69M,1.24(5.69%),9848.0,6.93,1.35,3.27%,19865978.0,12/12/2022,2022-09-15
0,TMP,74.0,73.84-74.99,158.92M,73.84,68.53-86.42,5.86,22246.0,1090000000.0,2.28(3.02%),12057.0,12.54,0.659,-2.08%,14490602.0,21/10/2022,2022-09-15
0,TRT,4.33,4.2-4.37,41.54M,4.37,4.02-13.72,0.16,2079.0,17.04M,N/A(N/A),1773.0,48.35,1.51,-5.04%,4029180.0,-,2022-09-15
0,UAMY,0.4181,0.4-0.4301,11.39M,0.4301,0.3416-1.1,0.01,50400.0,42.5M,N/A(N/A),23752.0,44.59,1.11,-50.69%,106240361.0,17/11/2022,2022-09-15
0,UUU,3.871,3.89-3.95,19.9M,3.92,2.3-6.01,-0.086,816.0,9.25M,N/A(N/A),3060.0,-39.14,1.62,-32.68%,2312887.0,17/11/2022,2022-09-15
0,URG,1.34,1.34-1.4,20K,1.34,0.951-2.15,-0.075,166296.0,280.98M,N/A(N/A),230857.0,-16.22,1.39,-27.17%,222806028.0,04/11/2022,2022-09-15
0,VGZ,0.545,0.513-0.545,-,0.545,0.513-1.12,-0.112,9683.0,61.41M,N/A(N/A),14698.0,-4.82,1.34,-31.86%,118125701.0,26/10/2022,2022-09-15
0,EAD,6.71,6.7-6.78,21.82M,6.7,6.41-9.22,-0.49,14243.0,406.06M,0.6818(10.12%),44694.0,-13.28,0.766,-25.77%,60246124.0,-,2022-09-15
0,ERC,9.89,9.8-9.93,-,9.91,8.99-14.05,-1.13,6108.0,268.62M,0.9293(9.71%),11223.0,-8.66,0.623,-27.76%,28069175.0,-,2022-09-15
0,ERH,12.75,12.71-12.84,-,12.77,11-15,-,1586.0,116.54M,0.9096(7.25%),2945.0,-,0.85,-15.29%,9286180.0,-,2022-09-15
0,WTT,1.53,1.5-1.55,41.29M,1.55,1.11-2.4,0.406,7192.0,32.8M,N/A(N/A),2482.0,-15.84,0.978,-28.5%,21440098.0,10/11/2022,2022-09-15
0,ELLO,24.8,24.46-25,56.79M,25.0,20.5-34.6,-1.27,91.0,314.29M,N/A(N/A),466.0,-20.1,1.14,-7.74%,12849295.0,25/11/2022,2022-09-15
