Date,Short Volume,Total Volume,Percent,Ticker
2020-09-25,44519787,100077488,44%,AAPL
2020-09-24,47226856,108774770,43%,AAPL
2020-09-23,42345799,94205000,45%,AAPL
2020-09-22,53569829,125045718,43%,AAPL
2020-09-21,56171108,131629712,43%,AAPL
2020-10-02,31320,47732,66%,AAT
2020-10-01,27769,56043,50%,AAT
2020-09-30,61804,86197,72%,AAT
2020-09-29,35246,66256,53%,AAT
2020-09-28,35424,56953,62%,AAT
2020-09-25,28720,55792,51%,AAT
2020-09-24,53319,77125,69%,AAT
2020-09-23,67881,114871,59%,AAT
2020-09-22,73954,168803,44%,AAT
2020-09-21,95923,207497,46%,AAT
2020-10-02,113317,205303,55%,AAU
2020-10-01,277725,489986,57%,AAU
2020-09-30,85715,175120,49%,AAU
2020-09-29,164704,289139,57%,AAU
2020-09-28,115723,345394,34%,AAU
2020-09-25,157928,254998,62%,AAU
2020-09-24,230676,460638,50%,AAU
2020-09-23,283218,693649,41%,AAU
2020-09-22,160016,339818,47%,AAU
2020-09-21,468564,926924,51%,AAU
2020-10-02,100980,149466,68%,AAWW
2020-10-01,143489,234327,61%,AAWW
2020-09-30,87418,174943,50%,AAWW
2020-09-29,108027,209303,52%,AAWW
2020-09-28,89189,169791,53%,AAWW
2020-09-25,105636,166643,63%,AAWW
2020-09-24,142088,217863,65%,AAWW
2020-09-23,169733,298093,57%,AAWW
2020-09-22,94351,162959,58%,AAWW
2020-09-21,113481,247975,46%,AAWW
2020-10-02,71629,155655,46%,AAXN
2020-10-01,130537,304996,43%,AAXN
2020-09-30,294547,387838,76%,AAXN
2020-09-29,66961,115263,58%,AAXN
2020-09-28,65920,154943,43%,AAXN
2020-09-25,150242,210419,71%,AAXN
2020-09-24,100745,169851,59%,AAXN
2020-09-23,138724,254492,55%,AAXN
2020-09-22,93190,198096,47%,AAXN
2020-09-21,123368,228738,54%,AAXN
2020-10-02,50093,126615,40%,AB
2020-10-01,121304,258300,47%,AB
2020-09-30,95258,175214,54%,AB
2020-09-29,100194,166275,60%,AB
2020-09-28,157164,303913,52%,AB
2020-09-25,82023,174395,47%,AB
2020-09-24,101805,240437,42%,AB
2020-09-23,69172,128555,54%,AB
2020-09-22,96362,186335,52%,AB
2020-09-21,115120,251612,46%,AB
2020-10-02,912517,2082784,44%,ABB
2020-10-01,629139,946894,66%,ABB
2020-09-30,356131,663105,54%,ABB
2020-09-29,878737,1530843,57%,ABB
2020-09-28,254453,457954,56%,ABB
2020-09-25,232128,397889,58%,ABB
2020-09-24,298891,573593,52%,ABB
2020-09-23,314273,499260,63%,ABB
2020-09-22,214047,364022,59%,ABB
2020-09-21,592467,785150,75%,ABB
2020-10-02,743741,2528393,29%,ABBV
2020-10-01,1112213,2777139,40%,ABBV
2020-09-30,972711,3973770,24%,ABBV
2020-09-29,830983,2770910,30%,ABBV
2020-09-28,932978,2793385,33%,ABBV
2020-09-25,1569390,4731760,33%,ABBV
2020-09-24,1985242,4899941,41%,ABBV
2020-09-23,1359971,2698554,50%,ABBV
2020-09-22,1414628,2528969,56%,ABBV
2020-09-21,1857862,3225654,58%,ABBV
2020-10-02,145884,257532,57%,ABC
2020-10-01,142014,277407,51%,ABC
2020-09-30,167928,286226,59%,ABC
2020-09-29,144333,240338,60%,ABC
2020-09-28,123871,181273,68%,ABC
2020-09-25,171769,321373,53%,ABC
2020-09-24,229178,372530,62%,ABC
2020-09-23,104889,173003,61%,ABC
2020-09-22,141450,229041,62%,ABC
2020-09-21,116455,207928,56%,ABC
2020-10-02,51594,80461,64%,ABCB
2020-10-01,78030,103746,75%,ABCB
2020-09-30,55482,76827,72%,ABCB
2020-09-29,69551,100678,69%,ABCB
2020-09-28,49190,117706,42%,ABCB
2020-09-25,166749,205617,81%,ABCB
2020-09-24,65196,120387,54%,ABCB
2020-09-23,149413,297875,50%,ABCB
2020-09-22,123865,365936,34%,ABCB
2020-09-21,103705,164550,63%,ABCB
2020-10-02,1003566,4777580,21%,ABEO
2020-10-01,1595797,3343665,48%,ABEO
2020-09-30,2602667,4885924,53%,ABEO
2020-09-29,2494241,4798849,52%,ABEO
2020-09-28,4672730,10096715,46%,ABEO
2020-09-25,325211,401515,81%,ABEO
2020-09-24,435154,712471,61%,ABEO
2020-09-23,436487,596303,73%,ABEO
2020-09-22,244507,427819,57%,ABEO
2020-09-21,498352,794479,63%,ABEO
2020-10-02,7133625,8988786,79%,ABEV
2020-10-01,7915843,10046799,79%,ABEV
2020-09-30,8468316,13788667,61%,ABEV
2020-09-29,11180893,19788602,57%,ABEV
2020-09-28,16107280,19708941,82%,ABEV
2020-09-25,4974645,6892614,72%,ABEV
2020-09-24,6216104,9503567,65%,ABEV
2020-09-23,4909412,7442144,66%,ABEV
2020-09-22,2170563,3381307,64%,ABEV
2020-09-21,3061564,5410720,57%,ABEV
2020-10-02,55919,92112,61%,ABG
2020-10-01,42470,59493,71%,ABG
2020-09-30,42750,71277,60%,ABG
2020-09-29,23519,51043,46%,ABG
2020-09-28,20700,47866,43%,ABG
2020-09-25,32309,66255,49%,ABG
2020-09-24,18362,48771,38%,ABG
2020-09-23,21701,57007,38%,ABG
2020-09-22,33856,47827,71%,ABG
2020-09-21,44585,62142,72%,ABG
2020-10-02,24908,124718,20%,ABM
2020-10-01,23133,107935,21%,ABM
2020-09-30,36119,111772,32%,ABM
2020-09-29,30458,100464,30%,ABM
2020-09-28,50669,159978,32%,ABM
2020-09-25,43858,272775,16%,ABM
2020-09-24,33587,124507,27%,ABM
2020-09-23,45472,166603,27%,ABM
2020-09-22,44514,111249,40%,ABM
2020-09-21,62281,133782,47%,ABM
2020-10-02,144214,216241,67%,ABMD
2020-10-01,156208,537126,29%,ABMD
2020-09-30,65536,91130,72%,ABMD
2020-09-29,29768,47162,63%,ABMD
2020-09-28,56600,82241,69%,ABMD
2020-09-25,57613,83184,69%,ABMD
2020-09-24,45034,69065,65%,ABMD
2020-09-23,80215,112676,71%,ABMD
2020-09-22,52237,65262,80%,ABMD
2020-09-21,82215,122253,67%,ABMD
2020-10-02,249098,554097,45%,ABR
2020-10-01,186808,315230,59%,ABR
2020-09-30,232039,404717,57%,ABR
2020-09-29,192414,422132,46%,ABR
2020-09-28,280584,634853,44%,ABR
2020-09-25,150532,314500,48%,ABR
2020-09-24,313717,594693,53%,ABR
2020-09-23,347821,612538,57%,ABR
2020-09-22,274873,488362,56%,ABR
2020-09-21,595661,1156248,52%,ABR
2020-10-02,1035124,2026132,51%,ABT
2020-10-01,1634456,2967369,55%,ABT
2020-09-30,1977207,4460578,44%,ABT
2020-09-29,947753,2252453,42%,ABT
2020-09-28,892004,2081195,43%,ABT
2020-09-25,854290,1955557,44%,ABT
2020-09-24,1406392,3932930,36%,ABT
2020-09-23,637962,1429585,45%,ABT
2020-09-22,749753,1482497,51%,ABT
2020-09-21,837002,1722505,49%,ABT
2020-10-02,7190,13332,54%,ABTX
2020-10-01,8335,10865,77%,ABTX
2020-09-30,8899,11983,74%,ABTX
2020-09-29,11383,33768,34%,ABTX
2020-09-28,8385,15634,54%,ABTX
2020-09-25,6020,14295,42%,ABTX
2020-09-24,8303,21244,39%,ABTX
2020-09-23,26087,47511,55%,ABTX
2020-09-22,17895,25637,70%,ABTX
2020-09-21,17261,23296,74%,ABTX
2020-10-02,406961,768346,53%,ABUS
2020-10-01,180668,371166,49%,ABUS
2020-09-30,230289,471307,49%,ABUS
2020-09-29,241683,842447,29%,ABUS
2020-09-28,273480,488224,56%,ABUS
2020-09-25,204997,625465,33%,ABUS
2020-09-24,619200,955164,65%,ABUS
2020-09-23,529973,845817,63%,ABUS
2020-09-22,305036,748269,41%,ABUS
2020-09-21,498665,1120863,44%,ABUS
2020-10-02,2852,4206,68%,AC
2020-10-01,1824,3281,56%,AC
2020-09-30,562,1370,41%,AC
2020-09-29,815,1266,64%,AC
2020-09-28,1451,3052,48%,AC
2020-09-25,1426,1648,87%,AC
2020-09-24,3474,4406,79%,AC
2020-09-23,1238,1721,72%,AC
2020-09-22,1770,2249,79%,AC
2020-09-21,1213,2716,45%,AC
2020-10-02,33049,47730,69%,ACA
2020-10-01,63698,92126,69%,ACA
2020-09-30,57872,87547,66%,ACA
2020-09-29,53176,68260,78%,ACA
2020-09-28,43181,67937,64%,ACA
2020-09-25,39509,67796,58%,ACA
2020-09-24,45660,156724,29%,ACA
2020-09-23,60857,138326,44%,ACA
2020-09-22,60806,87150,70%,ACA
2020-09-21,116764,167729,70%,ACA
2020-10-02,175567,367199,48%,ACAD
2020-10-01,108691,285224,38%,ACAD
2020-09-30,139822,306544,46%,ACAD
2020-09-29,54484,280318,19%,ACAD
2020-09-28,122085,330859,37%,ACAD
2020-09-25,203255,361634,56%,ACAD
2020-09-24,352543,1223802,29%,ACAD
2020-09-23,94578,345910,27%,ACAD
2020-09-22,123320,305237,40%,ACAD
2020-09-21,189551,405351,47%,ACAD
2020-10-02,1946,6550,30%,ACAM
2020-10-01,101,10858,1%,ACAM
2020-09-30,604,52275,1%,ACAM
2020-09-29,91,152576,0%,ACAM
2020-09-28,11868,13819,86%,ACAM
2020-09-25,150,7585,2%,ACAM
2020-09-24,2900,45894,6%,ACAM
2020-09-23,1,50026,0%,ACAM
2020-09-22,0,100,0%,ACAM
2020-09-21,1200,116785,1%,ACAM
2020-10-02,1739490,3073897,57%,ACB
2020-10-01,1637103,3622470,45%,ACB
2020-09-30,2914222,6337251,46%,ACB
2020-09-29,4459637,9629695,46%,ACB
2020-09-28,4480178,7014034,64%,ACB
2020-09-25,4097443,6688126,61%,ACB
2020-09-24,4794622,10091311,48%,ACB
2020-09-23,12249281,21405425,57%,ACB
2020-09-22,12560876,21440664,59%,ACB
2020-09-21,1406834,3295211,43%,ACB
2020-10-02,17788,48061,37%,ACBI
2020-10-01,12836,27097,47%,ACBI
2020-09-30,9716,16198,60%,ACBI
2020-09-29,12484,22162,56%,ACBI
2020-09-28,18199,33929,54%,ACBI
2020-09-25,13607,23385,58%,ACBI
2020-09-24,11947,19253,62%,ACBI
2020-09-23,15035,26384,57%,ACBI
2020-09-22,15100,25556,59%,ACBI
2020-09-21,26941,40141,67%,ACBI
2020-10-02,130067,243140,53%,ACC
2020-10-01,177008,287658,62%,ACC
2020-09-30,337203,916079,37%,ACC
2020-09-29,201249,288075,70%,ACC
2020-09-28,176225,402937,44%,ACC
2020-09-25,192150,479865,40%,ACC
2020-09-24,127855,232226,55%,ACC
2020-09-23,151313,329829,46%,ACC
2020-09-22,188832,419156,45%,ACC
2020-09-21,378896,574896,66%,ACC
2020-10-02,34102,47532,72%,ACCD
2020-10-01,32180,117565,27%,ACCD
2020-09-30,81393,137736,59%,ACCD
2020-09-29,79873,123062,65%,ACCD
2020-09-28,66210,150666,44%,ACCD
2020-09-25,44321,86818,51%,ACCD
2020-09-24,82343,102174,81%,ACCD
2020-09-23,40036,84922,47%,ACCD
2020-09-22,72241,203974,35%,ACCD
2020-09-21,49519,130847,38%,ACCD
2020-10-02,51355,99949,51%,ACCO
2020-10-01,70664,142245,50%,ACCO
2020-09-30,40955,115459,35%,ACCO
2020-09-29,54012,299183,18%,ACCO
2020-09-28,79850,152122,52%,ACCO
2020-09-25,146044,281636,52%,ACCO
2020-09-24,77061,196119,39%,ACCO
2020-09-23,132991,298802,45%,ACCO
2020-09-22,89442,215039,42%,ACCO
2020-09-21,133583,511770,26%,ACCO
2020-10-02,50881,258634,20%,ACEL
2020-10-01,48614,187586,26%,ACEL
2020-09-30,29748,78054,38%,ACEL
2020-09-29,45578,150703,30%,ACEL
2020-09-28,75645,124452,61%,ACEL
2020-09-25,64925,189246,34%,ACEL
2020-09-24,179889,684689,26%,ACEL
2020-09-23,216786,319877,68%,ACEL
2020-09-22,139489,244878,57%,ACEL
2020-09-21,65697,122889,53%,ACEL
2020-10-02,26031,43877,59%,ACET
2020-10-01,10253,24445,42%,ACET
2020-09-30,17637,34757,51%,ACET
2020-09-29,43620,97128,45%,ACET
2020-09-28,15247,193852,8%,ACET
2020-09-25,31548,55697,57%,ACET
2020-09-24,61494,114843,54%,ACET
2020-09-23,608279,1006204,60%,ACET
2020-09-22,259107,642457,40%,ACET
2020-09-21,230557,340947,68%,ACET
2020-10-02,1526,3609,42%,ACEV
2020-10-01,1,250403,0%,ACEV
2020-09-30,0,700,0%,ACEV
2020-09-29,180,1150,16%,ACEV
2020-09-28,6,6,100%,ACEV
2020-09-25,840,840,100%,ACEV
2020-09-24,6,50386,0%,ACEV
2020-09-23,4,1012,0%,ACEV
2020-09-22,1158,2487,47%,ACEV
2020-09-21,75,1080,7%,ACEV
2020-10-02,94108,254056,37%,ACGL
2020-10-01,137225,389718,35%,ACGL
2020-09-30,153077,964826,16%,ACGL
2020-09-29,150327,363650,41%,ACGL
2020-09-28,135008,363902,37%,ACGL
2020-09-25,183143,543743,34%,ACGL
2020-09-24,193860,720441,27%,ACGL
2020-09-23,136293,536198,25%,ACGL
2020-09-22,143068,359117,40%,ACGL
2020-09-21,344251,957921,36%,ACGL
2020-10-02,21318,60406,35%,ACH
2020-10-01,5558,8499,65%,ACH
2020-09-30,4795,12388,39%,ACH
2020-09-29,7737,16238,48%,ACH
2020-09-28,14876,33104,45%,ACH
2020-09-25,13821,25886,53%,ACH
2020-09-24,9178,21519,43%,ACH
2020-09-23,13463,37974,35%,ACH
2020-09-22,10512,19399,54%,ACH
2020-09-21,18595,28271,66%,ACH
2020-10-02,101935,207049,49%,ACHC
2020-10-01,87570,244904,36%,ACHC
2020-09-30,115137,240019,48%,ACHC
2020-09-29,100156,243463,41%,ACHC
2020-09-28,75864,123407,61%,ACHC
2020-09-25,43199,65499,66%,ACHC
2020-09-24,55176,85898,64%,ACHC
2020-09-23,230823,261291,88%,ACHC
2020-09-22,109849,167014,66%,ACHC
2020-09-21,289710,430056,67%,ACHC
2020-10-02,637635,1164546,55%,ACI
2020-10-01,499672,1074010,47%,ACI
2020-09-30,487101,1304580,37%,ACI
2020-09-29,246985,721505,34%,ACI
2020-09-28,539741,1286754,42%,ACI
2020-09-25,406507,1159679,35%,ACI
2020-09-24,748151,1782630,42%,ACI
2020-09-23,1042439,1868397,56%,ACI
2020-09-22,1977884,2947340,67%,ACI
2020-09-21,2054053,5743627,36%,ACI
2020-10-02,200706,369171,54%,ACIA
2020-10-01,77003,159238,48%,ACIA
2020-09-30,78379,135329,58%,ACIA
2020-09-29,66798,114655,58%,ACIA
2020-09-28,193787,236459,82%,ACIA
2020-09-25,188397,308302,61%,ACIA
2020-09-24,119558,214102,56%,ACIA
2020-09-23,226896,509352,45%,ACIA
2020-09-22,66157,171275,39%,ACIA
2020-09-21,208084,481682,43%,ACIA
2020-10-02,82991,151017,55%,ACIU
2020-10-01,68090,122593,56%,ACIU
2020-09-30,110211,207177,53%,ACIU
2020-09-29,156870,266924,59%,ACIU
2020-09-28,95570,186292,51%,ACIU
2020-09-25,150688,291509,52%,ACIU
2020-09-24,586266,1320902,44%,ACIU
2020-09-23,1265552,3739589,34%,ACIU
2020-09-22,34903,56491,62%,ACIU
2020-09-21,119663,197457,61%,ACIU
2020-10-02,140770,207862,68%,ACIW
2020-10-01,217701,324000,67%,ACIW
2020-09-30,167117,298120,56%,ACIW
2020-09-29,93780,214965,44%,ACIW
2020-09-28,70117,142508,49%,ACIW
2020-09-25,124152,329575,38%,ACIW
2020-09-24,104008,1404023,7%,ACIW
2020-09-23,124420,266990,47%,ACIW
2020-09-22,137376,340378,40%,ACIW
2020-09-21,132982,384025,35%,ACIW
2020-10-02,42110,126117,33%,ACLS
2020-10-01,55080,146811,38%,ACLS
2020-09-30,30171,262144,12%,ACLS
2020-09-29,15118,57788,26%,ACLS
2020-09-28,17141,101257,17%,ACLS
2020-09-25,33105,134305,25%,ACLS
2020-09-24,21399,90623,24%,ACLS
2020-09-23,49547,167905,30%,ACLS
2020-09-22,33203,121105,27%,ACLS
2020-09-21,56996,151017,38%,ACLS
2020-10-02,395422,1152986,34%,ACM
2020-10-01,233508,455719,51%,ACM
2020-09-30,265958,583133,46%,ACM
2020-09-29,238512,507017,47%,ACM
2020-09-28,133533,366712,36%,ACM
2020-09-25,102974,277755,37%,ACM
2020-09-24,160551,281377,57%,ACM
2020-09-23,237167,565430,42%,ACM
2020-09-22,110898,272267,41%,ACM
2020-09-21,204135,441874,46%,ACM
2020-10-02,58533,120092,49%,ACMR
2020-10-01,75623,152153,50%,ACMR
2020-09-30,34665,74859,46%,ACMR
2020-09-29,15913,62919,25%,ACMR
2020-09-28,35330,118394,30%,ACMR
2020-09-25,18706,66691,28%,ACMR
2020-09-24,27890,76294,37%,ACMR
2020-09-23,25772,102357,25%,ACMR
2020-09-22,27520,88381,31%,ACMR
2020-09-21,32625,109436,30%,ACMR
2020-10-02,368852,561937,66%,ACN
2020-10-01,333703,585776,57%,ACN
2020-09-30,358076,720369,50%,ACN
2020-09-29,323307,870320,37%,ACN
2020-09-28,522307,944060,55%,ACN
2020-09-25,436494,1697613,26%,ACN
2020-09-24,1104672,2004014,55%,ACN
2020-09-23,603482,1003383,60%,ACN
2020-09-22,399238,603355,66%,ACN
2020-09-21,370945,651038,57%,ACN
2020-10-02,1213,3668,33%,ACNB
2020-10-01,2677,4096,65%,ACNB
2020-09-30,2089,3352,62%,ACNB
2020-09-29,2421,8828,27%,ACNB
2020-09-28,2537,3809,67%,ACNB
2020-09-25,4898,7145,69%,ACNB
2020-09-24,3568,7442,48%,ACNB
2020-09-23,5756,7439,77%,ACNB
2020-09-22,4511,6101,74%,ACNB
2020-09-21,2227,4394,51%,ACNB
2020-10-02,33450,63428,53%,ACP
2020-10-01,38930,65378,60%,ACP
2020-09-30,55263,96047,58%,ACP
2020-09-29,35464,61784,57%,ACP
2020-09-28,33157,80868,41%,ACP
2020-09-25,29736,77773,38%,ACP
2020-09-24,43317,112032,39%,ACP
2020-09-23,25845,70714,37%,ACP
2020-09-22,16981,41815,41%,ACP
2020-09-21,55446,106699,52%,ACP
2020-10-02,41698,110503,38%,ACRE
2020-10-01,36667,75109,49%,ACRE
2020-09-30,136533,205496,66%,ACRE
2020-09-29,161866,240812,67%,ACRE
2020-09-28,186619,243392,77%,ACRE
2020-09-25,50760,99767,51%,ACRE
2020-09-24,78553,148606,53%,ACRE
2020-09-23,171343,259743,66%,ACRE
2020-09-22,48273,79432,61%,ACRE
2020-09-21,105221,174811,60%,ACRE
2020-10-02,280039,954948,29%,ACRS
2020-10-01,35524,111531,32%,ACRS
2020-09-30,37511,94820,40%,ACRS
2020-09-29,110900,191145,58%,ACRS
2020-09-28,47509,117886,40%,ACRS
2020-09-25,30842,138859,22%,ACRS
2020-09-24,41791,114479,37%,ACRS
2020-09-23,53061,116784,45%,ACRS
2020-09-22,19034,74832,25%,ACRS
2020-09-21,23323,45198,52%,ACRS
2020-10-02,709118,1043228,68%,ACRX
2020-10-01,379782,705310,54%,ACRX
2020-09-30,362346,608727,60%,ACRX
2020-09-29,342615,669790,51%,ACRX
2020-09-28,648547,1248320,52%,ACRX
2020-09-25,449071,799205,56%,ACRX
2020-09-24,485876,911868,53%,ACRX
2020-09-23,937727,1880150,50%,ACRX
2020-09-22,2309102,3892767,59%,ACRX
2020-09-21,7730280,12542377,62%,ACRX
2020-10-02,23251,47656,49%,ACTG
2020-10-01,26498,100642,26%,ACTG
2020-09-30,9424,14502,65%,ACTG
2020-09-29,22531,43908,51%,ACTG
2020-09-28,98554,160147,62%,ACTG
2020-09-25,20020,47666,42%,ACTG
2020-09-24,78940,117357,67%,ACTG
2020-09-23,44613,87992,51%,ACTG
2020-09-22,66898,174739,38%,ACTG
2020-09-21,52395,102863,51%,ACTG
2020-10-02,355,2465,14%,ACU
2020-10-01,6389,9021,71%,ACU
2020-09-30,1302,3619,36%,ACU
2020-09-29,1518,3107,49%,ACU
2020-09-28,4001,6498,62%,ACU
2020-09-25,572,734,78%,ACU
2020-09-24,2783,7845,35%,ACU
2020-09-23,803,1548,52%,ACU
2020-09-22,1187,1987,60%,ACU
2020-09-21,1474,2872,51%,ACU
2020-10-02,26384,45231,58%,ACV
2020-10-01,16821,46464,36%,ACV
2020-09-30,13985,32511,43%,ACV
2020-09-29,22067,40991,54%,ACV
2020-09-28,10808,29889,36%,ACV
2020-09-25,17799,32568,55%,ACV
2020-09-24,21990,59234,37%,ACV
2020-09-23,12585,21277,59%,ACV
2020-09-22,15514,25261,61%,ACV
2020-09-21,20610,47896,43%,ACV
2020-10-02,79147,156402,51%,ADAP
2020-10-01,156200,232806,67%,ADAP
2020-09-30,143837,257234,56%,ADAP
2020-09-29,50149,166730,30%,ADAP
2020-09-28,107619,236883,45%,ADAP
2020-09-25,263361,468235,56%,ADAP
2020-09-24,201797,336224,60%,ADAP
2020-09-23,76389,232728,33%,ADAP
2020-09-22,111971,258976,43%,ADAP
2020-09-21,273266,572947,48%,ADAP
2020-10-02,581107,1209397,48%,ADBE
2020-10-01,337390,833876,40%,ADBE
2020-09-30,568042,1369065,41%,ADBE
2020-09-29,375795,840142,45%,ADBE
2020-09-28,410407,1055917,39%,ADBE
2020-09-25,427053,1106952,39%,ADBE
2020-09-24,452020,1143044,40%,ADBE
2020-09-23,430829,882350,49%,ADBE
2020-09-22,452665,1082692,42%,ADBE
2020-09-21,620752,1569153,40%,ADBE
2020-10-02,25109,59332,42%,ADC
2020-10-01,28412,68787,41%,ADC
2020-09-30,77048,205225,38%,ADC
2020-09-29,47240,108553,44%,ADC
2020-09-28,49628,145704,34%,ADC
2020-09-25,62420,193174,32%,ADC
2020-09-24,57334,93097,62%,ADC
2020-09-23,87785,138847,63%,ADC
2020-09-22,59897,114817,52%,ADC
2020-09-21,96094,151465,63%,ADC
2020-10-02,84896,109784,77%,ADCT
2020-10-01,66473,116088,57%,ADCT
2020-09-30,36929,66021,56%,ADCT
2020-09-29,51161,131344,39%,ADCT
2020-09-28,74263,131687,56%,ADCT
2020-09-25,60885,145550,42%,ADCT
2020-09-24,302642,779149,39%,ADCT
2020-09-23,268678,448344,60%,ADCT
2020-09-22,227884,356968,64%,ADCT
2020-09-21,28959,54188,53%,ADCT
2020-10-02,121653,285201,43%,ADES
2020-10-01,5960816,9321438,64%,ADES
2020-09-30,250215,615421,41%,ADES
2020-09-29,8382,39879,21%,ADES
2020-09-28,12586,40762,31%,ADES
2020-09-25,12823,63891,20%,ADES
2020-09-24,32029,111733,29%,ADES
2020-09-23,99699,194887,51%,ADES
2020-09-22,63336,77263,82%,ADES
2020-09-21,53341,101233,53%,ADES
2020-10-02,790528,1559836,51%,ADI
2020-10-01,879830,1241917,71%,ADI
2020-09-30,760331,1172050,65%,ADI
2020-09-29,659101,951189,69%,ADI
2020-09-28,367285,642189,57%,ADI
2020-09-25,594131,787736,75%,ADI
2020-09-24,480757,880630,55%,ADI
2020-09-23,682430,1005793,68%,ADI
2020-09-22,565156,737824,77%,ADI
2020-09-21,763855,1031223,74%,ADI
2020-10-02,360791,659309,55%,ADM
2020-10-01,421606,654157,64%,ADM
2020-09-30,467916,787267,59%,ADM
2020-09-29,337907,632287,53%,ADM
2020-09-28,613232,972223,63%,ADM
2020-09-25,377036,586763,64%,ADM
2020-09-24,346267,544212,64%,ADM
2020-09-23,667391,1253427,53%,ADM
2020-09-22,709640,906308,78%,ADM
2020-09-21,793240,1508282,53%,ADM
2020-10-02,3102021,5883619,53%,ADMA
2020-10-01,2422688,3532669,69%,ADMA
2020-09-30,5889438,10169587,58%,ADMA
2020-09-29,426081,725652,59%,ADMA
2020-09-28,448978,894716,50%,ADMA
2020-09-25,546249,1258063,43%,ADMA
2020-09-24,895720,1800203,50%,ADMA
2020-09-23,864851,1332440,65%,ADMA
2020-09-22,825407,1687903,49%,ADMA
2020-09-21,927023,1561819,59%,ADMA
2020-10-02,896772,1813877,49%,ADMP
2020-10-01,693266,1214000,57%,ADMP
2020-09-30,700162,1393306,50%,ADMP
2020-09-29,934288,1661032,56%,ADMP
2020-09-28,2706853,4926571,55%,ADMP
2020-09-25,928606,1883497,49%,ADMP
2020-09-24,962026,1813356,53%,ADMP
2020-09-23,937209,1702515,55%,ADMP
2020-09-22,747056,1578061,47%,ADMP
2020-09-21,1555849,3444273,45%,ADMP
2020-10-02,22620,48325,47%,ADMS
2020-10-01,46151,117547,39%,ADMS
