Date,Short Volume,Total Volume,Percent,Ticker
2020-10-02,112278,239746,47%,A
2020-10-01,87710,198309,44%,A
2020-09-30,224088,432837,52%,A
2020-09-29,107237,226356,47%,A
2020-09-28,145946,417917,35%,A
2020-09-25,120093,248340,48%,A
2020-09-24,104807,275084,38%,A
2020-09-23,113023,290098,39%,A
2020-09-22,112528,237615,47%,A
2020-09-21,118592,257991,46%,A
2020-10-02,1196412,3263638,37%,AA
2020-10-01,1589100,3226350,49%,AA
2020-09-30,1552327,3021616,51%,AA
2020-09-29,1709175,2820351,61%,AA
2020-09-28,1095215,2705177,40%,AA
2020-09-25,1640274,4005935,41%,AA
2020-09-24,967399,2077112,47%,AA
2020-09-23,1064858,3043759,35%,AA
2020-09-22,1542443,3102848,50%,AA
2020-09-21,2491619,4301355,58%,AA
2020-10-02,22626,45179,50%,AACQ
2020-10-01,266896,473116,56%,AACQ
2020-09-30,12786,40925,31%,AACQ
2020-09-29,31237,81122,39%,AACQ
2020-09-28,16969,34127,50%,AACQ
2020-09-25,2930,359545,1%,AACQ
2020-09-24,6030,14308,42%,AACQ
2020-09-23,4789,19868,24%,AACQ
2020-09-22,6119,27828,22%,AACQ
2020-09-21,8934,553506,2%,AACQ
2020-10-02,33971500,76958928,44%,AAL
2020-10-01,14892966,33602927,44%,AAL
2020-09-30,18476927,45904911,40%,AAL
2020-09-29,14824803,31885303,46%,AAL
2020-09-28,18694242,45023220,42%,AAL
2020-09-25,13616906,30005398,45%,AAL
2020-09-24,13253389,31478659,42%,AAL
2020-09-23,13793650,29596843,47%,AAL
2020-09-22,9932814,20689151,48%,AAL
2020-09-21,19508344,37176118,52%,AAL
2020-10-02,62257,136802,46%,AAN
2020-10-01,104499,222792,47%,AAN
2020-09-30,135927,242567,56%,AAN
2020-09-29,68909,126090,55%,AAN
2020-09-28,64984,101842,64%,AAN
2020-09-25,59858,133730,45%,AAN
2020-09-24,79695,139554,57%,AAN
2020-09-23,140774,220102,64%,AAN
2020-09-22,60608,142143,43%,AAN
2020-09-21,275333,485177,57%,AAN
2020-10-02,96632,149758,65%,AAOI
2020-10-01,96318,145384,66%,AAOI
2020-09-30,135067,209519,64%,AAOI
2020-09-29,118653,221856,53%,AAOI
2020-09-28,124516,228267,55%,AAOI
2020-09-25,76334,126533,60%,AAOI
2020-09-24,129334,219033,59%,AAOI
2020-09-23,179689,342976,52%,AAOI
2020-09-22,268031,475235,56%,AAOI
2020-09-21,220272,403862,55%,AAOI
2020-10-02,21629,32294,67%,AAON
2020-10-01,48991,73000,67%,AAON
2020-09-30,56021,83716,67%,AAON
2020-09-29,38516,56912,68%,AAON
2020-09-28,26433,50540,52%,AAON
2020-09-25,28990,42469,68%,AAON
2020-09-24,33930,45150,75%,AAON
2020-09-23,43482,62903,69%,AAON
2020-09-22,29780,42018,71%,AAON
2020-09-21,44081,63116,70%,AAON
2020-10-02,106038,186403,57%,AAP
2020-10-01,107403,196161,55%,AAP
2020-09-30,68705,185318,37%,AAP
2020-09-29,79307,165536,48%,AAP
2020-09-28,134853,219404,61%,AAP
2020-09-25,108355,183987,59%,AAP
2020-09-24,156653,337006,46%,AAP
2020-09-23,83386,204888,41%,AAP
2020-09-22,223660,498318,45%,AAP
2020-09-21,182391,288880,63%,AAP
2020-10-02,56563393,92099927,61%,AAPL
2020-10-01,47455550,76018285,62%,AAPL
2020-09-30,39152186,92244903,42%,AAPL
2020-09-29,30869491,70945526,44%,AAPL
2020-09-28,39283034,92501929,42%,AAPL
