Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-09-09,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,31.07B,44.25,97.93,2.93%,953556,26.70,4.71,5.95,6.08,22.88,59.97,26.10%,14.05%,37.50%,9.40%,5.00%,309.00M,307.19M,0.40%,-11.49%,90.40%,0.43%,1.27%,2.71,1.44M,-3.15%,0.81%,9.04%,42.26%,30.97%,14.79%,3.31%,2.16%,2.40,0.66,0.74%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Aug 18/a,1.06,2.26,-0.59%,2.48%,15.36%,-5.53%,60.20%,51.56,1.90%,1.01%
AA,2020-09-09,Alcoa Corporation,Basic Materials,Aluminum,USA,2.59B,-,14.1,-0.91%,3082002,-,-,0.27,0.71,2.68,10.57,-559.70%,69.20%,-34.10%,-,-4.50%,186.00M,184.87M,0.20%,0.27%,75.70%,-3.33%,8.44%,2.27,6.87M,-6.56%,-9.44%,15.86%,53.26%,-32.31%,-34.45%,4.61%,4.39%,2.70,0.45,-,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,Jul 15/a,2.29,0.71,-4.66%,4.28%,7.28%,-39.91%,173.26%,48.1,-1.40%,0.49%
AAL,2020-09-09,American Airlines Group Inc.,Industrials,Airlines,USA,6.51B,-,13.05,-4.26%,78782173,-,-,0.20,-,0.66,-,25.20%,85.50%,-0.70%,-,1.40%,508.11M,502.33M,1.10%,0.00%,57.00%,-3.99%,30.04%,1.79,84.36M,-0.38%,-6.79%,-23.33%,-19.74%,-55.19%,-54.50%,6.74%,6.47%,3.30,0.93,3.07%,-5.70%,240.80%,10.30%,0.80,0.70,-,-,56.90%,-10.50%,-10.40%,Jul 23/b,1.76,0.86,-0.64%,4.45%,-26.21%,-58.79%,58.18%,51.45,-3.26%,-1.03%
AAN,2020-09-09,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.77B,-,55.15,-0.25%,463040,12.29,-,0.92,2.43,12.03,10.94,-83.50%,12.93%,-15.70%,14.80%,7.90%,67.10M,66.39M,1.10%,-38.25%,99.50%,-2.25%,3.51%,3.04,766.55K,-2.48%,-2.99%,20.86%,82.98%,-12.11%,-3.43%,4.82%,3.72%,1.80,0.6,0.29%,-9.00%,-17.00%,2.10%,-,-,0.19,0.19,96.70%,-8.40%,-6.80%,Jul 29/b,1.70,2.16,-3.12%,8.04%,22.52%,-29.88%,324.07%,53.06,-0.65%,0.40%
AAOI,2020-09-09,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,242.79M,-,10.24,3.02%,594903,76.42,-,1.21,0.83,-,-,15.10%,117.80%,-68.80%,13.00%,7.90%,22.77M,20.97M,6.80%,-5.27%,53.20%,-0.75%,23.75%,4.85,1.03M,-12.29%,-25.90%,9.05%,45.45%,-10.49%,-13.80%,9.64%,6.01%,3.00,0.58,-,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,Aug 06/a,2.00,0.9,-15.84%,-18.33%,-3.93%,-41.72%,104.80%,37.22,1.29%,1.71%
AAON,2020-09-09,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.94B,42.15,55.64,0.25%,157163,42.15,3.51,5.88,8.99,-,46.92,27.00%,-5.31%,5.10%,12.00%,5.70%,52.10M,40.85M,19.60%,-1.87%,72.30%,1.87%,8.36%,17.07,200.09K,-2.63%,-6.41%,-1.26%,25.83%,16.38%,12.61%,2.33%,2.15%,3.30,0.79,0.68%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,Aug 06/a,0.66,1.49,-4.38%,-3.07%,5.87%,-8.93%,37.45%,39.47,-0.39%,0.65%
AAP,2020-09-09,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.77B,23.76,154.35,1.73%,715255,16.96,2.61,1.12,2.86,9.44,22.39,21.10%,14.59%,0.40%,9.10%,-0.30%,69.12M,68.89M,0.40%,2.38%,-,0.37%,2.85%,2.22,883.41K,-1.30%,0.67%,9.95%,22.87%,-0.23%,-3.63%,2.68%,2.53%,2.30,0.81,0.65%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,Aug 18/b,1.39,3.89,-1.36%,3.14%,12.37%,-9.96%,116.39%,53.24,1.13%,0.59%
AAPL,2020-09-09,Apple Inc.,Technology,Consumer Electronics,USA,2005.14B,35.67,117.32,3.99%,175632748,30.35,2.86,7.32,28.00,21.55,34.78,-2.60%,19.36%,13.00%,12.46%,7.30%,17.25B,17.09B,0.07%,-3.10%,62.30%,-0.81%,0.55%,0.55,170.55M,-12.57%,4.07%,33.00%,70.38%,116.56%,59.81%,7.22%,3.63%,2.20,1.03,0.70%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,Jul 30/a,1.30,5.52,-2.93%,9.29%,42.41%,-14.97%,122.33%,49.74,0.02%,3.97%
AAT,2020-09-09,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.51B,33.20,25.3,-2.39%,222788,26.08,11.07,4.02,1.16,10.36,-,101.50%,44.78%,10.50%,3.00%,7.10%,59.72M,59.39M,1.30%,9.12%,97.40%,-2.03%,0.97%,1.68,342.56K,-0.63%,-9.06%,-18.10%,-29.01%,-46.66%,-44.88%,3.14%,3.11%,2.80,0.65,3.95%,1.60%,3.50%,4.30%,-,-,1.08,1.08,65.30%,29.80%,12.10%,Jul 28/a,0.92,0.82,-3.07%,-4.53%,-24.95%,-48.64%,25.56%,41.55,-1.94%,-0.46%
AAU,2020-09-09,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,78.52M,-,0.69,1.21%,331528,-,-,-,1.53,56.09,-,-3.20%,-,31.70%,-,-,117.24M,111.67M,7.20%,0.00%,5.90%,50.20%,0.78%,1.36,639.05K,-3.03%,-6.35%,21.93%,124.32%,-0.78%,16.84%,6.26%,7.96%,-,0.52,-,-5.40%,-5.90%,-,6.70,6.70,0.04,0.04,-,-,-,-,1.29,0.06,-2.13%,7.68%,40.00%,-18.07%,224.47%,51.77,2.72%,-1.47%
