Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-12-29,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,35.97B,50.93,117.23,-0.51%,1007362,28.25,5.48,6.74,7.43,24.96,62.01,-31.60%,12.56%,12.00%,9.30%,5.70%,309.00M,304.40M,0.40%,-15.92%,90.10%,-1.02%,1.06%,2.08,1.55M,-0.47%,2.75%,16.97%,32.66%,38.08%,37.42%,1.57%,1.95%,2.20,0.65,0.67%,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,Nov 23/a,1.06,2.52,0.29%,4.93%,24.07%,-2.50%,91.77%,56.78,-1.12%,0.62%
AA,2020-12-29,Alcoa Corporation,Basic Materials,Aluminum,USA,4.15B,-,22.04,-0.90%,3491863,29.58,-,0.44,1.21,2.39,17.13,-559.70%,153.60%,-34.10%,-,-4.50%,186.00M,184.84M,0.20%,-0.13%,76.90%,2.30%,5.37%,1.76,5.64M,-0.32%,7.62%,88.86%,96.09%,3.28%,2.46%,3.91%,5.18%,2.60,0.62,-,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,Oct 14/a,2.56,1.1,-1.15%,20.98%,73.20%,-8.81%,327.13%,57.18,-0.45%,-0.45%
AAIC,2020-12-29,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,127.38M,-,3.8,-0.78%,186762,13.72,-,70.76,0.65,14.31,6.01,109.80%,8.63%,-3.90%,-,8.00%,34.66M,32.47M,2.20%,-2.64%,36.30%,-10.54%,2.56%,3.56,233.63K,0.00%,13.77%,33.33%,27.95%,-32.26%,-31.78%,3.19%,4.33%,2.70,0.8,-,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,Nov 03/a,1.84,0.15,4.10%,20.68%,34.09%,-43.87%,171.43%,68.80,0.00%,-0.78%
AAL,2020-12-29,American Airlines Group Inc.,Industrials,Airlines,USA,9.74B,-,15.86,-1.25%,50918608,-,-,0.40,-,1.18,-,25.20%,72.80%,-0.70%,-,1.40%,509.05M,502.83M,0.93%,0.00%,45.40%,-5.11%,31.98%,2.08,77.22M,-1.49%,5.87%,29.47%,21.35%,-43.96%,-44.70%,4.25%,5.66%,3.50,0.66,-,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,Oct 22/b,1.82,0.85,-2.66%,13.52%,23.78%,-48.47%,92.24%,52.78,-2.82%,1.62%
AAN,2020-12-29,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,570.54M,-,16.92,3.36%,474890,8.46,-,0.33,0.70,1.32,-,-44.50%,-41.70%,-,-,-,33.72M,-,-,-,-,-,-,0.63,1.41M,-6.05%,-24.13%,-,-,-,-36.15%,4.80%,7.38%,2.60,0.34,-,-,-,3.50%,-,-,0.39,0.39,62.40%,-,-,Oct 29/b,-,1.45,-5.32%,-8.36%,-8.36%,-45.42%,4.44%,-,3.17%,0.18%
AAOI,2020-12-29,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,207.50M,-,8.8,-1.46%,1172535,-,-,0.90,0.75,4.43,-,-10.50%,46.30%,-68.80%,13.00%,7.90%,22.74M,21.74M,5.50%,-3.90%,48.70%,-7.29%,19.85%,6.89,626.40K,5.01%,8.11%,-21.71%,-19.04%,-24.20%,-25.93%,5.65%,4.21%,2.90,1.87,-,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,Nov 05/a,1.82,0.4,5.14%,1.81%,-11.67%,-49.91%,76.00%,55.32,-1.35%,-0.11%
AAON,2020-12-29,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.47B,46.33,66.72,0.15%,270700,51.32,3.86,6.67,10.11,-,57.19,27.00%,-8.77%,5.10%,12.00%,5.70%,52.26M,41.32M,16.60%,-0.44%,72.80%,1.05%,9.03%,20.96,178.14K,3.86%,1.21%,11.97%,22.90%,35.12%,35.03%,3.58%,2.92%,3.50,1.52,0.57%,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,Nov 05/a,0.67,1.97,4.71%,5.42%,18.29%,-3.88%,64.82%,63.65,0.00%,0.15%
AAP,2020-12-29,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.54B,22.79,156.69,-1.33%,704278,16.49,1.92,1.07,2.87,9.87,17.06,21.10%,10.68%,0.40%,11.90%,-0.30%,68.97M,67.60M,0.20%,0.00%,-,-0.78%,4.38%,3.28,902.58K,-2.37%,4.51%,3.28%,10.00%,-1.53%,-2.17%,1.80%,2.32%,2.30,0.78,0.64%,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,Nov 10/b,1.27,3.52,0.14%,2.01%,11.41%,-8.10%,119.67%,50.83,-1.53%,0.21%
AAPL,2020-12-29,Apple Inc.,Technology,Consumer Electronics,USA,2275.48B,41.28,134.87,-1.33%,120503067,31.10,3.26,8.29,35.21,25.02,38.38,10.20%,9.27%,7.30%,12.64%,3.30%,17.06B,16.99B,0.07%,-6.93%,59.80%,-,0.56%,0.82,115.37M,5.18%,15.68%,18.21%,47.88%,85.06%,83.72%,2.58%,2.37%,2.00,1.04,0.61%,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,Oct 29/a,1.28,3.25,7.12%,12.34%,35.56%,-2.25%,153.74%,68.52,-2.30%,0.99%
AAT,2020-12-29,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.69B,44.98,28.34,-2.01%,146605,33.54,14.99,4.66,1.32,10.87,-,101.50%,52.25%,10.50%,3.00%,7.10%,59.83M,59.37M,0.90%,-,97.10%,0.14%,1.24%,2.24,327.79K,1.72%,-6.10%,18.18%,1.80%,-37.71%,-38.26%,2.80%,3.00%,2.80,0.45,3.53%,1.30%,2.90%,4.30%,-,-,1.10,1.10,65.10%,28.20%,10.40%,Oct 27/a,1.22,0.96,-2.86%,5.79%,7.20%,-41.14%,40.65%,49.28,-1.77%,-0.24%
