Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-11-18,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,32.45B,47.88,105.95,-3.56%,2047433,28.85,5.09,6.21,6.57,23.89,62.64,26.10%,13.79%,37.50%,9.40%,5.00%,309.00M,307.20M,0.40%,-11.90%,90.20%,-0.56%,1.02%,2.5,1.25M,-3.16%,0.32%,8.36%,31.21%,33.62%,24.19%,2.14%,2.38%,2.40,1.63,0.68%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Nov 23/a,1.02,2.64,-1.43%,2.06%,18.12%,-9.83%,73.32%,47.53,-3.29%,-0.28%
AA,2020-11-18,Alcoa Corporation,Basic Materials,Aluminum,USA,3.21B,-,18.33,0.33%,6250047,-,-,0.34,1.00,1.85,13.28,-559.70%,98.70%,-34.10%,-,-4.50%,186.00M,184.84M,0.20%,0.40%,75.30%,0.13%,5.45%,1.92,5.25M,15.36%,43.20%,20.67%,121.38%,-10.89%,-14.78%,5.28%,4.87%,2.60,1.19,-,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,Oct 14/a,2.30,0.8,26.69%,37.28%,57.45%,-16.38%,255.23%,79.11,-0.16%,0.49%
AACQ,2020-11-18,Artius Acquisition Inc.,Financial,Shell Companies,USA,710.01M,-,9.8,0.20%,24099,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,0.04,337.55K,0.62%,0.00%,-,-,-,-2.00%,0.70%,0.79%,-,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,0.80%,-0.21%,-0.27%,-6.49%,2.35%,54.31,0.20%,0.00%
AAIC,2020-11-18,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,98.81M,-,3.03,0.33%,272448,9.62,-,54.89,0.52,11.10,4.66,109.80%,21.15%,-3.90%,-,8.00%,34.66M,32.45M,2.30%,0.00%,38.80%,-4.49%,2.29%,3.3,225.43K,7.45%,13.48%,7.07%,26.25%,-46.84%,-45.60%,3.98%,4.86%,2.70,1.21,-,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,Nov 03/a,1.71,0.13,12.04%,10.65%,-3.08%,-55.24%,116.43%,64.89,-2.57%,2.98%
AAL,2020-11-18,American Airlines Group Inc.,Industrials,Airlines,USA,6.22B,-,12.74,0.31%,98503891,-,-,0.25,-,0.75,-,25.20%,74.10%,-0.70%,-,1.40%,509.05M,502.98M,0.10%,0.00%,56.20%,-1.42%,34.35%,2.73,63.33M,5.81%,-0.47%,1.92%,28.82%,-56.50%,-55.58%,4.50%,4.89%,3.30,1.56,-,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,Oct 22/b,1.66,0.65,6.83%,2.65%,-7.73%,-58.61%,54.42%,56.03,-1.39%,1.73%
AAN,2020-11-18,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,4.04B,-,61.36,0.77%,865057,11.92,-,0.96,2.52,8.58,9.36,-83.50%,0.29%,-15.70%,16.00%,7.90%,67.40M,66.81M,1.00%,-41.45%,99.20%,0.45%,2.73%,3.4,536.69K,2.51%,4.91%,8.18%,82.08%,5.36%,7.44%,3.78%,4.59%,1.80,1.61,0.26%,-6.90%,-13.20%,2.10%,-,-,0.17,0.17,96.70%,-6.10%,-5.00%,Oct 29/b,1.97,2.5,7.19%,6.74%,37.35%,-4.29%,371.82%,62.83,0.08%,0.69%
AAOI,2020-11-18,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,174.17M,-,7.54,0.80%,1158628,-,-,0.75,0.65,3.72,-,-10.50%,46.30%,-68.80%,13.00%,7.90%,22.74M,21.76M,6.50%,-4.46%,53.30%,1.11%,19.48%,6.73,629.65K,-1.44%,-30.57%,-40.02%,-12.93%,-26.44%,-36.53%,5.07%,5.97%,2.90,1.84,-,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,Nov 05/a,1.87,0.55,-14.56%,-25.12%,-26.12%,-57.09%,50.80%,30.70,0.40%,0.40%
AAON,2020-11-18,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.38B,46.53,67.01,-0.34%,282892,51.55,3.88,6.50,10.15,-,55.76,27.00%,-8.77%,5.10%,12.00%,5.70%,52.26M,40.93M,19.10%,-2.04%,71.40%,-0.80%,9.12%,20.48,182.26K,2.45%,9.15%,14.20%,29.39%,32.20%,35.62%,4.17%,4.08%,3.50,1.55,0.57%,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,Nov 05/a,0.66,2.57,7.96%,10.32%,21.67%,-3.46%,65.53%,65.65,-0.06%,-0.28%
AAP,2020-11-18,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.99B,21.54,148.1,-0.80%,880219,15.73,1.81,1.01,2.71,9.35,16.16,21.10%,10.97%,0.40%,11.90%,-0.30%,68.97M,67.60M,0.40%,2.46%,-,0.12%,3.07%,2.55,811.82K,-5.38%,-3.22%,-5.93%,9.87%,-8.57%,-7.53%,2.74%,2.79%,2.30,1.08,0.68%,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,Nov 10/b,1.35,4.39,-3.09%,-3.53%,7.53%,-13.14%,107.63%,40.40,-0.56%,-0.25%
AAPL,2020-11-18,Apple Inc.,Technology,Consumer Electronics,USA,2005.88B,36.13,118.03,-1.14%,74749286,27.42,2.86,7.31,30.82,22.06,33.84,10.20%,8.99%,7.30%,12.64%,3.30%,17.06B,16.99B,0.07%,-6.88%,61.70%,-,0.47%,0.52,156.19M,-1.22%,0.44%,-0.21%,49.00%,77.30%,60.78%,1.71%,2.75%,2.10,0.48,0.69%,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,Oct 29/a,1.33,3.46,1.90%,2.45%,26.96%,-14.46%,122.06%,53.30,-0.49%,-0.65%
