Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-09-22,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.47B,44.56,98.62,0.50%,845269,26.89,4.74,5.83,6.12,22.44,58.83,26.10%,14.05%,37.50%,9.40%,5.00%,309.00M,307.19M,0.40%,-11.76%,90.40%,0.45%,1.20%,2.61,1.41M,-1.74%,0.33%,10.46%,47.19%,26.34%,15.60%,2.25%,2.13%,2.40,0.6,0.73%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Aug 18/a,1.04,2.2,-0.52%,1.25%,15.02%,-4.86%,61.33%,50.70,0.82%,-0.32%
AA,2020-09-22,Alcoa Corporation,Basic Materials,Aluminum,USA,2.29B,-,12.21,-0.73%,4909060,-,-,0.24,0.61,2.38,9.36,-559.70%,76.30%,-34.10%,-,-4.50%,186.00M,184.87M,0.20%,0.32%,75.60%,-3.41%,7.05%,2.03,6.42M,-11.39%,-16.37%,0.08%,67.95%,-42.68%,-43.24%,4.69%,4.21%,2.50,0.76,-,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,Jul 15/a,2.28,0.64,-14.35%,-12.65%,-4.95%,-47.97%,136.63%,30.98,-1.37%,0.65%
AACQ,2020-09-22,Artius Acquisition Inc.,Financial,Shell Companies,USA,718.70M,-,9.92,-0.30%,69736,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,-,445.02K,-0.50%,-,-,-,-,-0.80%,1.99%,-,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,-0.47%,-0.47%,-0.47%,-5.34%,0.85%,-,-1.00%,0.70%
AAL,2020-09-22,American Airlines Group Inc.,Industrials,Airlines,USA,6.49B,-,12.34,1.06%,32558493,-,-,0.19,-,0.66,-,25.20%,85.40%,-0.70%,-,1.40%,508.11M,502.33M,1.10%,0.00%,57.00%,-3.76%,30.18%,2.00,75.88M,-6.09%,1.48%,-11.86%,-11.35%,-55.13%,-56.97%,5.46%,5.96%,3.30,0.43,3.24%,-5.70%,240.80%,10.30%,0.80,0.70,-,-,56.90%,-10.50%,-10.40%,Jul 23/b,1.71,0.73,-6.67%,-2.28%,-27.42%,-61.04%,49.58%,43.94,0.65%,0.41%
AAN,2020-09-22,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.86B,-,56.94,2.43%,448176,11.64,-,0.94,2.51,12.33,11.21,-83.50%,5.25%,-15.70%,18.10%,7.90%,67.10M,66.39M,1.00%,-40.71%,99.40%,-2.31%,3.11%,2.79,740.42K,-2.45%,0.39%,28.30%,173.62%,-6.29%,-0.30%,3.23%,3.92%,1.80,0.61,0.28%,-9.00%,-17.00%,2.10%,-,-,0.19,0.19,96.70%,-8.40%,-6.80%,Jul 29/b,1.66,2.17,0.28%,6.83%,26.57%,-27.60%,337.83%,56.52,1.41%,1.01%
AAOI,2020-09-22,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,256.42M,-,11.11,0.63%,812918,82.91,-,1.28,0.90,-,-,15.10%,117.80%,-68.80%,13.00%,7.90%,22.77M,20.98M,6.70%,-5.48%,53.20%,-0.78%,21.30%,4.42,1.01M,6.72%,-4.64%,13.37%,44.29%,-0.98%,-6.48%,5.98%,6.04%,3.00,0.8,-,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,Aug 06/a,2.01,0.66,1.64%,-10.51%,4.30%,-36.77%,122.20%,48.15,-0.71%,1.36%
AAON,2020-09-22,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.01B,43.27,56.99,1.68%,178255,43.17,3.61,6.02,9.21,-,48.02,27.00%,-5.31%,5.10%,12.00%,5.70%,52.10M,40.85M,19.50%,-1.88%,72.20%,1.76%,9.20%,18.42,204.02K,-0.71%,-2.71%,5.13%,25.28%,18.04%,15.34%,2.90%,2.25%,3.30,0.87,0.67%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,Aug 06/a,0.65,1.39,-0.23%,-1.58%,7.69%,-6.72%,40.78%,48.43,1.44%,0.23%
AAP,2020-09-22,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.44B,23.11,150.11,1.13%,1237446,16.26,2.54,1.08,2.78,9.14,21.70,21.10%,12.65%,0.40%,9.10%,-0.30%,69.12M,68.89M,0.40%,2.38%,-,0.36%,2.82%,2.31,841.41K,-4.32%,-3.84%,0.09%,73.78%,-6.89%,-6.27%,2.59%,2.30%,2.30,1.47,0.67%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,Aug 18/b,1.37,3.98,-3.12%,-1.52%,9.37%,-12.44%,110.45%,42.07,0.75%,0.38%
AAPL,2020-09-22,Apple Inc.,Technology,Consumer Electronics,USA,1974.88B,34.00,111.81,1.57%,181763068,28.90,2.73,7.21,26.68,21.23,34.25,-2.60%,19.56%,13.00%,12.46%,7.30%,17.25B,17.09B,0.07%,-3.00%,62.40%,-0.79%,0.47%,0.46,173.43M,-3.23%,-10.10%,22.02%,81.16%,104.48%,52.30%,4.31%,4.56%,2.20,1.05,0.73%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,Jul 30/a,1.33,5.13,-6.41%,0.85%,32.35%,-18.97%,110.36%,47.91,-0.76%,2.35%
AAT,2020-09-22,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.48B,31.23,23.8,1.19%,424872,24.54,10.41,3.93,1.09,10.12,-,101.50%,44.78%,10.50%,3.00%,7.10%,59.72M,59.39M,1.30%,8.80%,97.30%,-2.01%,1.20%,2.16,330.07K,-7.21%,-4.76%,-16.34%,-0.29%,-49.15%,-48.15%,3.66%,3.10%,2.80,1.29,4.20%,1.60%,3.50%,4.30%,-,-,1.08,1.08,65.30%,29.80%,12.10%,Jul 28/a,0.89,0.86,-6.74%,-8.92%,-27.31%,-51.68%,18.11%,37.64,1.23%,-0.04%
