Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-09-08,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.18B,42.99,95.14,-1.76%,1177750,25.94,4.57,5.78,5.90,22.22,58.26,26.10%,14.05%,37.50%,9.40%,5.00%,309.00M,307.19M,0.40%,-11.49%,90.40%,0.43%,1.27%,2.65,1.47M,-5.26%,-2.70%,5.98%,30.49%,28.26%,11.52%,2.98%,2.08%,2.40,0.8,0.76%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Aug 18/a,1.06,2.16,-3.52%,-0.25%,12.18%,-8.22%,55.64%,43.01,-1.01%,-0.75%
AA,2020-09-08,Alcoa Corporation,Basic Materials,Aluminum,USA,2.61B,-,14.23,-1.18%,4896328,-,-,0.27,0.71,2.71,10.67,-559.70%,69.20%,-34.10%,-,-4.50%,186.00M,184.87M,0.20%,0.27%,75.70%,-3.33%,8.44%,2.18,7.15M,-2.67%,-3.00%,13.03%,53.67%,-29.90%,-33.84%,5.43%,4.66%,2.70,0.69,-,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,Jul 15/a,2.29,0.73,-4.21%,5.75%,8.02%,-39.36%,175.78%,49.5,1.07%,-2.22%
AAL,2020-09-08,American Airlines Group Inc.,Industrials,Airlines,USA,6.80B,-,13.63,0.15%,70788740,-,-,0.20,-,0.69,-,25.20%,85.50%,-0.70%,-,1.40%,508.11M,502.33M,1.10%,0.00%,57.00%,-3.99%,30.04%,1.65,91.23M,4.44%,4.60%,-26.52%,-19.82%,-52.07%,-52.48%,7.38%,6.58%,3.30,0.78,2.93%,-5.70%,240.80%,10.30%,0.80,0.70,-,-,56.90%,-10.50%,-10.40%,Jul 23/b,1.76,0.85,3.63%,9.31%,-23.25%,-56.96%,65.21%,58.28,2.02%,-1.84%
AAN,2020-09-08,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.78B,-,55.29,1.13%,640038,12.32,-,0.92,2.44,12.06,10.97,-83.50%,12.93%,-15.70%,14.80%,7.90%,67.10M,66.39M,1.10%,-38.25%,99.50%,-2.25%,3.51%,2.95,789.44K,-1.07%,1.23%,14.07%,64.60%,-9.38%,-3.19%,4.97%,3.78%,1.80,0.81,0.29%,-9.00%,-17.00%,2.10%,-,-,0.19,0.19,96.70%,-8.40%,-6.80%,Jul 29/b,1.70,2.24,-3.01%,8.78%,22.80%,-29.70%,325.14%,52.37,3.15%,-1.96%
AAOI,2020-09-08,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,235.68M,-,9.94,-5.51%,607107,74.18,-,1.18,0.81,-,-,15.10%,117.80%,-68.80%,13.00%,7.90%,22.77M,20.97M,6.80%,-5.27%,53.20%,-0.75%,23.75%,4.85,1.03M,-14.53%,-37.09%,2.53%,22.41%,-6.05%,-16.33%,9.48%,6.56%,3.00,0.59,-,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,Aug 06/a,2.00,0.93,-19.59%,-20.64%,-6.76%,-43.43%,98.80%,33.47,-2.26%,-3.33%
AAON,2020-09-08,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.93B,42.05,55.5,-1.65%,152356,42.05,3.50,5.87,8.97,-,46.80,27.00%,-5.31%,5.10%,12.00%,5.70%,52.10M,40.85M,19.60%,-1.87%,72.30%,1.87%,8.36%,16.79,203.45K,-2.51%,-5.27%,-3.12%,6.81%,17.04%,12.33%,2.51%,2.25%,3.30,0.75,0.68%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,Aug 06/a,0.66,1.52,-4.94%,-3.15%,5.66%,-9.16%,37.10%,38.37,-0.70%,-0.96%
AAP,2020-09-08,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.59B,23.36,151.73,-1.31%,1195067,16.67,2.57,1.10,2.81,9.28,22.01,21.10%,14.59%,0.40%,9.10%,-0.30%,69.12M,68.89M,0.40%,2.38%,-,0.37%,2.85%,2.23,879.84K,-2.93%,-0.16%,5.21%,12.23%,2.92%,-5.26%,2.71%,2.50%,2.30,1.36,0.66%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,Aug 18/b,1.39,3.94,-3.09%,1.55%,10.43%,-11.49%,112.72%,47.06,-0.60%,-0.72%
AAPL,2020-09-08,Apple Inc.,Technology,Consumer Electronics,USA,1928.23B,34.30,112.82,-6.73%,227675557,29.18,2.75,7.04,26.93,20.73,33.44,-2.60%,19.36%,13.00%,12.46%,7.30%,17.25B,17.09B,0.07%,-3.10%,62.30%,-0.81%,0.55%,0.56,167.95M,-12.57%,1.54%,31.19%,58.16%,110.71%,53.68%,7.20%,3.64%,2.20,1.36,0.73%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,Jul 30/a,1.30,5.56,-6.65%,5.57%,37.34%,-18.23%,113.81%,43.92,-0.81%,-5.97%
AAT,2020-09-08,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.55B,34.02,25.92,-0.88%,252651,26.72,11.34,4.12,1.19,10.61,-,101.50%,44.78%,10.50%,3.00%,7.10%,59.72M,59.39M,1.30%,9.12%,97.40%,-2.03%,0.97%,1.66,347.30K,1.45%,-5.16%,-22.14%,-33.14%,-45.95%,-43.53%,2.82%,3.13%,2.80,0.73,3.86%,1.60%,3.50%,4.30%,-,-,1.08,1.08,65.30%,29.80%,12.10%,Jul 28/a,0.92,0.81,-1.06%,-2.33%,-23.35%,-47.38%,28.64%,46.65,-0.27%,-0.61%
AAU,2020-09-08,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,77.59M,-,0.68,-0.15%,280405,-,-,-,1.51,55.42,-,-3.20%,-,31.70%,-,-,117.24M,111.67M,7.20%,0.00%,5.90%,50.20%,0.78%,1.37,634.09K,-3.59%,-5.33%,31.02%,127.05%,7.04%,15.45%,6.20%,8.21%,-,0.44,-,-5.40%,-5.90%,-,6.70,6.70,0.04,0.04,-,-,-,-,1.29,0.06,-3.68%,7.10%,38.59%,-19.05%,220.60%,50.28,0.00%,-0.15%
