Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-11-19,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,33.29B,49.11,108.68,2.58%,1885173,29.60,5.22,6.37,6.74,24.51,64.26,26.10%,13.79%,37.50%,9.40%,5.00%,309.00M,307.20M,0.40%,-11.90%,90.20%,-0.56%,1.02%,2.5,1.25M,-0.69%,3.67%,10.56%,27.89%,38.41%,27.39%,2.47%,2.43%,2.40,1.5,0.66%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Nov 23/a,1.02,2.73,1.06%,4.53%,21.03%,-7.51%,77.79%,55.59,1.82%,0.75%
AA,2020-11-19,Alcoa Corporation,Basic Materials,Aluminum,USA,3.32B,-,18.93,3.27%,5010502,-,-,0.36,1.04,1.91,13.71,-559.70%,98.70%,-34.10%,-,-4.50%,186.00M,184.84M,0.20%,0.40%,75.30%,0.13%,5.45%,1.91,5.27M,21.19%,42.12%,29.66%,130.57%,-7.07%,-11.99%,4.92%,4.78%,2.60,0.95,-,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,Oct 14/a,2.30,0.81,28.61%,40.88%,62.43%,-13.64%,266.86%,81.75,3.44%,-0.16%
AACQ,2020-11-19,Artius Acquisition Inc.,Financial,Shell Companies,USA,715.08M,-,9.87,0.71%,125932,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,0.04,331.64K,1.75%,1.23%,-,-,-,-1.30%,0.74%,0.81%,-,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,1.50%,0.54%,0.45%,-5.82%,3.08%,60.72,0.71%,0.00%
AAIC,2020-11-19,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,97.83M,-,3.0,-0.99%,101048,9.52,-,54.35,0.52,10.99,4.61,109.80%,21.15%,-3.90%,-,8.00%,34.66M,32.45M,2.30%,0.00%,38.80%,-4.49%,2.29%,3.29,226.45K,7.14%,13.64%,10.29%,28.76%,-47.09%,-46.14%,3.71%,4.87%,2.70,0.45,-,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,Nov 03/a,1.71,0.12,10.13%,9.28%,-3.62%,-55.69%,114.29%,64.53,-0.66%,-0.33%
AAL,2020-11-19,American Airlines Group Inc.,Industrials,Airlines,USA,6.24B,-,12.79,0.39%,57766369,-,-,0.25,-,0.75,-,25.20%,74.10%,-0.70%,-,1.40%,509.05M,502.98M,0.10%,0.00%,56.20%,-1.42%,34.35%,2.68,64.35M,8.94%,0.35%,5.18%,31.86%,-54.69%,-55.40%,4.15%,4.92%,3.30,0.9,-,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,Oct 22/b,1.66,0.64,7.25%,3.10%,-6.82%,-58.45%,55.03%,57.10,0.71%,-0.31%
AAN,2020-11-19,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,4.12B,-,62.7,2.18%,570206,12.18,-,0.98,2.58,8.77,9.57,-83.50%,0.29%,-15.70%,16.00%,7.90%,67.40M,66.81M,1.00%,-41.45%,99.20%,0.45%,2.73%,3.37,541.50K,7.25%,9.71%,10.54%,84.52%,8.82%,9.79%,3.91%,4.69%,1.80,1.05,0.26%,-6.90%,-13.20%,2.10%,-,-,0.17,0.17,96.70%,-6.10%,-5.00%,Oct 29/b,1.97,2.59,9.13%,8.84%,40.28%,-2.20%,382.12%,66.74,2.10%,0.08%
AAOI,2020-11-19,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,179.49M,-,7.77,3.05%,918626,-,-,0.78,0.67,3.84,-,-10.50%,46.30%,-68.80%,13.00%,7.90%,22.74M,21.76M,6.50%,-4.46%,53.30%,1.11%,19.48%,6.65,636.99K,1.83%,-27.01%,-33.30%,-9.76%,-24.42%,-34.60%,5.29%,6.07%,2.90,1.44,-,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,Nov 05/a,1.87,0.53,-10.38%,-22.42%,-23.69%,-55.78%,55.40%,35.88,2.78%,0.27%
AAON,2020-11-19,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.32B,45.67,65.76,-1.87%,155279,50.58,3.81,6.38,9.96,-,54.72,27.00%,-8.77%,5.10%,12.00%,5.70%,52.26M,40.93M,19.10%,-2.04%,71.40%,-0.80%,9.12%,20.25,184.38K,4.50%,7.82%,12.26%,27.20%,32.74%,33.09%,3.82%,4.19%,3.50,0.84,0.58%,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,Nov 05/a,0.66,2.55,5.43%,7.86%,19.26%,-5.26%,62.45%,60.91,-1.73%,-0.13%
AAP,2020-11-19,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.85B,21.25,146.08,-1.36%,1704258,15.51,1.79,1.00,2.68,9.22,15.94,21.10%,10.97%,0.40%,11.90%,-0.30%,68.97M,67.60M,0.40%,2.46%,-,0.12%,3.07%,2.64,785.94K,-4.56%,-5.38%,-6.42%,9.44%,-9.68%,-8.79%,2.53%,2.79%,2.30,2.17,0.68%,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,Nov 10/b,1.35,4.38,-4.22%,-4.77%,6.02%,-14.32%,104.80%,38.12,-0.99%,-0.38%
AAPL,2020-11-19,Apple Inc.,Technology,Consumer Electronics,USA,2016.25B,36.31,118.64,0.52%,73578519,27.56,2.87,7.34,30.98,22.17,34.01,10.20%,8.99%,7.30%,12.64%,3.30%,17.06B,16.99B,0.07%,-6.88%,61.70%,-,0.47%,0.52,155.74M,-0.48%,1.51%,-4.61%,48.82%,80.31%,61.61%,1.77%,2.75%,2.10,0.47,0.69%,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,Oct 29/a,1.33,3.32,2.38%,2.97%,27.36%,-14.02%,123.21%,56.00,1.06%,-0.54%
