Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-11-09,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,34.01B,50.84,112.5,-0.04%,2177130,30.66,5.41,6.51,6.98,25.04,65.65,26.10%,13.66%,37.50%,9.40%,5.00%,309.00M,307.20M,0.40%,-13.03%,90.50%,-0.17%,0.95%,2.43,1.20M,6.90%,6.37%,16.82%,40.89%,46.79%,31.87%,2.72%,2.11%,2.40,1.81,0.64%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Nov 23/a,1.03,2.64,6.29%,9.96%,26.69%,-0.75%,84.03%,70.59,-3.15%,3.22%
AA,2020-11-09,Alcoa Corporation,Basic Materials,Aluminum,USA,2.85B,-,15.73,8.93%,8367633,-,-,0.31,0.86,1.64,11.76,-559.70%,96.20%,-34.10%,-,-4.50%,186.00M,184.84M,0.20%,0.33%,74.40%,-1.01%,6.02%,2.15,5.17M,15.58%,25.64%,5.64%,115.78%,-30.18%,-26.87%,5.55%,4.71%,2.50,1.62,-,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,Oct 14/a,2.23,0.75,19.94%,20.21%,35.96%,-31.80%,204.84%,69.32,-1.07%,10.11%
AACQ,2020-11-09,Artius Acquisition Inc.,Financial,Shell Companies,USA,705.66M,-,9.74,0.21%,144660,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,0.03,374.93K,0.52%,-0.31%,-,-,-,-2.60%,0.93%,0.95%,-,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.04%,-0.99%,-0.99%,-7.06%,1.72%,47.00,0.00%,0.21%
AAIC,2020-11-09,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,98.47M,-,2.77,5.32%,397736,9.30,-,7.63,0.40,11.06,4.64,109.80%,19.20%,-3.90%,-,8.00%,34.66M,34.04M,2.10%,0.00%,38.70%,-0.30%,2.84%,4.43,218.54K,7.36%,-2.12%,-1.42%,15.90%,-52.08%,-50.27%,5.32%,4.34%,2.70,1.82,-,-,-,0.30%,-,-,0.31,2.46,-,-,-,Nov 03/a,1.68,0.12,3.76%,1.88%,-14.12%,-59.08%,97.86%,55.16,4.92%,0.38%
AAL,2020-11-09,American Airlines Group Inc.,Industrials,Airlines,USA,6.80B,-,13.2,15.18%,229839378,-,-,0.28,-,0.82,-,25.20%,74.70%,-0.70%,-,1.40%,509.05M,502.98M,0.10%,0.00%,56.60%,-0.56%,31.40%,2.62,60.23M,17.96%,0.00%,-3.86%,36.79%,-57.09%,-53.97%,5.30%,4.31%,3.40,3.82,-,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,Oct 22/b,1.66,0.72,10.47%,5.25%,-7.83%,-58.02%,60.00%,60.55,-8.08%,25.31%
AAN,2020-11-09,"Aaron's Holdings Company, Inc.",Industrials,Rental & Leasing Services,USA,3.90B,-,57.6,0.75%,650003,11.27,-,0.93,2.37,8.30,9.05,-83.50%,1.09%,-15.70%,16.00%,7.90%,67.40M,66.81M,1.00%,-40.73%,99.90%,1.09%,2.90%,3.31,585.13K,8.45%,-1.82%,0.59%,75.08%,-1.06%,0.86%,5.55%,4.36%,1.80,1.11,0.28%,-6.90%,-13.20%,2.10%,-,-,0.17,0.17,96.70%,-6.10%,-5.00%,Oct 29/b,1.97,2.66,1.05%,1.07%,28.81%,-10.15%,342.91%,52.76,-6.72%,8.01%
AAOI,2020-11-09,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,228.90M,-,7.72,0.33%,882355,-,-,1.14,0.66,4.89,-,14.00%,117.60%,-68.80%,13.00%,7.90%,22.74M,21.55M,6.60%,-3.45%,52.60%,-0.88%,20.47%,6.17,714.83K,-11.47%,-34.78%,-43.15%,-16.86%,-29.09%,-35.06%,8.91%,5.47%,2.90,1.23,-,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.60%,-23.80%,-40.10%,Nov 05/a,2.06,0.67,-23.45%,-27.14%,-25.58%,-56.09%,54.30%,30.56,-2.34%,2.73%
AAON,2020-11-09,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.21B,48.08,63.32,-0.35%,428796,52.77,4.01,6.43,10.23,-,51.81,27.00%,-17.24%,5.10%,12.00%,5.70%,52.10M,40.85M,19.50%,-1.96%,72.00%,-0.02%,9.73%,22.36,177.74K,6.42%,-0.38%,5.50%,33.21%,26.31%,28.15%,5.61%,3.29%,3.50,2.41,0.60%,16.80%,21.70%,18.10%,2.90,1.80,0.02,0.02,29.00%,16.20%,13.00%,Nov 05/a,0.66,2.32,3.17%,6.28%,15.84%,-3.61%,56.42%,60.46,-4.88%,4.77%
AAP,2020-11-09,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.83B,24.12,156.63,0.16%,1874457,17.07,2.03,1.13,2.90,9.49,22.52,21.10%,10.33%,0.40%,11.90%,-0.30%,69.12M,68.89M,0.40%,2.40%,-,1.00%,3.45%,3.04,781.90K,3.47%,0.84%,3.09%,25.81%,-6.43%,-2.20%,3.19%,2.44%,2.30,2.4,0.64%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,Nov 10/b,1.38,4.17,2.06%,1.89%,14.26%,-8.63%,119.59%,55.95,-2.65%,2.89%
AAPL,2020-11-09,Apple Inc.,Technology,Consumer Electronics,USA,1983.32B,35.60,116.32,-2.00%,153500979,27.02,2.82,7.22,30.37,21.81,33.45,10.20%,8.99%,7.30%,12.64%,3.30%,17.06B,16.99B,0.08%,-6.04%,62.30%,-0.49%,0.49%,0.51,163.95M,6.94%,-0.56%,6.35%,49.41%,78.86%,58.45%,3.11%,3.23%,2.10,0.94,0.70%,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,Oct 29/a,1.34,4.1,0.00%,0.20%,27.01%,-15.70%,118.84%,51.98,-3.28%,1.32%
AAT,2020-11-09,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.57B,39.89,25.13,19.90%,1211732,25.91,13.30,4.34,1.17,10.13,-,101.50%,44.78%,10.50%,3.00%,7.10%,59.83M,59.59M,1.14%,107.94%,97.10%,0.02%,1.30%,2.56,303.27K,18.15%,-3.97%,-9.73%,0.40%,-46.26%,-45.25%,5.35%,3.71%,2.80,4.0,3.98%,1.30%,2.90%,4.30%,-,-,1.10,1.10,65.10%,28.20%,10.40%,Oct 27/a,0.97,1.14,8.99%,3.60%,-13.22%,-47.81%,24.71%,59.29,9.17%,9.83%
AAU,2020-11-09,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,131.82M,-,1.16,-4.13%,1107013,-,-,-,2.52,48.82,-,-3.20%,-,31.70%,-,-,119.16M,111.73M,7.20%,0.00%,5.90%,50.51%,0.52%,0.81,722.73K,0.87%,37.28%,69.34%,177.84%,153.28%,96.94%,11.91%,11.08%,-,1.53,-,-4.20%,-4.60%,-,9.50,9.50,0.04,0.04,-,-,-,Nov 19/a,1.26,0.1,18.05%,32.20%,102.13%,-6.45%,446.91%,61.93,-2.52%,-1.65%
AAWW,2020-11-09,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.40B,-,52.01,-14.17%,1433455,6.14,-,0.49,0.70,1.93,6.77,-218.60%,-29.61%,-36.10%,10.00%,8.80%,26.13M,25.66M,1.20%,-26.82%,-,-0.07%,11.07%,5.78,491.18K,-15.91%,-23.20%,-13.05%,40.35%,94.89%,88.67%,6.49%,4.59%,1.70,2.92,-,-4.30%,-12.40%,-5.00%,1.00,1.00,1.16,1.30,56.00%,-11.30%,-8.40%,Nov 05/b,1.51,3.08,-17.93%,-15.40%,21.41%,-24.70%,247.46%,28.42,-12.61%,-1.78%
AAXN,2020-11-09,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,6.98B,-,124.26,1.36%,942809,93.43,-,11.81,8.62,12.53,87.04,-97.10%,28.50%,-47.40%,18.80%,26.40%,63.48M,62.51M,1.70%,-19.43%,85.50%,0.30%,8.33%,8.43,617.80K,26.86%,25.53%,56.83%,48.85%,90.33%,69.57%,5.77%,4.24%,2.10,1.53,-,-0.20%,-0.20%,-1.40%,3.60,3.30,0.00,0.00,59.10%,-1.70%,-0.20%,Nov 05/a,0.52,5.18,19.26%,31.93%,47.27%,-2.53%,148.27%,79.44,-1.78%,3.20%
AB,2020-11-09,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.04B,11.21,30.85,2.39%,755635,10.21,1.02,10.30,1.99,-,-,-0.70%,12.22%,6.40%,11.01%,5.80%,96.35M,90.15M,0.20%,-29.51%,21.10%,1.94%,0.57%,1.18,430.74K,5.65%,1.95%,8.09%,43.89%,5.11%,1.95%,2.91%,3.09%,2.10,1.75,8.95%,17.60%,17.60%,15.40%,-,-,0.00,0.00,-,100.00%,90.30%,Oct 22/b,1.56,1.04,-1.29%,5.85%,14.49%,-14.45%,133.01%,55.26,-0.55%,2.95%
ABB,2020-11-09,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,56.61B,119.87,26.73,-0.07%,2634821,-,8.21,2.18,3.38,6.56,32.24,-27.90%,-,-15.30%,14.60%,-6.80%,2.12B,1.95B,-,-,4.30%,9.28%,0.20%,2.53,1.53M,7.22%,-0.45%,2.93%,48.01%,22.78%,10.96%,1.95%,1.46%,2.50,1.73,3.11%,12.00%,41.10%,5.20%,1.40,1.10,0.38,0.52,30.70%,6.40%,21.30%,Oct 23/b,1.13,0.55,2.77%,3.28%,18.33%,-1.15%,81.71%,58.79,-3.57%,3.63%
ABBV,2020-11-09,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,169.45B,20.80,95.12,2.44%,11023407,7.76,2.24,4.17,11.02,21.31,20.88,42.30%,16.79%,36.80%,9.27%,10.80%,1.77B,1.76B,0.11%,-8.20%,70.80%,-0.02%,0.60%,1.37,7.77M,7.78%,8.46%,2.64%,5.15%,11.63%,7.43%,2.93%,2.28%,2.00,1.42,5.47%,6.10%,203.50%,21.20%,1.00,0.80,5.39,5.70,68.60%,28.50%,18.00%,Oct 30/b,0.71,2.68,10.35%,8.00%,7.03%,-6.08%,52.07%,67.62,-0.65%,3.11%
ABC,2020-11-09,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,22.00B,14.04,106.26,2.22%,1079790,11.60,1.76,0.12,5.61,6.43,13.71,-18.60%,8.71%,26.40%,7.97%,8.50%,203.65M,146.95M,0.10%,-40.93%,67.80%,0.22%,1.99%,3.23,905.73K,7.40%,9.70%,4.81%,19.96%,23.46%,24.98%,4.12%,2.77%,2.40,1.19,1.66%,3.90%,47.70%,13.00%,1.00,0.60,0.94,1.07,2.60%,0.60%,0.80%,Nov 05/b,0.58,3.11,7.29%,9.25%,12.62%,-3.07%,47.46%,69.59,-1.99%,4.30%
ABCB,2020-11-09,Ameris Bancorp,Financial,Banks - Regional,USA,2.41B,10.31,33.97,15.50%,839818,9.71,1.29,3.25,0.96,3.02,-,-1.60%,-0.88%,13.50%,8.00%,31.10%,69.19M,65.72M,1.00%,0.21%,85.70%,0.45%,2.39%,4.36,359.81K,13.80%,31.26%,26.85%,68.50%,-23.56%,-20.15%,6.77%,5.14%,1.60,2.33,1.77%,0.80%,5.80%,15.20%,-,-,0.16,0.16,-,67.50%,19.00%,Oct 22/a,1.39,1.75,21.21%,33.43%,29.48%,-24.34%,98.42%,72.92,6.52%,8.43%
ABCM,2020-11-09,Abcam plc,Healthcare,Biotechnology,United Kingdom,4.33B,-,19.13,-4.78%,563546,-,-,-,-,-,-,-,-,-,-,-,226.55M,182.87M,-,-,-,-,-,-,472.49K,-4.11%,-,-,-,-,-3.14%,5.06%,-,-,1.19,0.78%,-,-,-,-,-,-,-,-,-,-,-,-,1.14,-2.26%,-2.26%,-2.26%,-8.34%,8.02%,-,5.57%,-9.81%
ABEO,2020-11-09,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,91.62M,-,1.07,3.88%,1430830,-,-,-,0.82,0.85,-,-27.10%,27.80%,37.00%,-,-,93.18M,68.88M,3.80%,-6.45%,53.50%,0.56%,3.82%,1.42,1.85M,3.88%,-22.46%,-63.23%,-64.69%,-59.32%,-67.28%,5.53%,7.33%,2.00,0.77,-,-53.80%,-72.00%,-,2.90,2.90,0.00,0.01,-,-,-,-,1.37,0.09,-10.83%,-29.85%,-56.38%,-79.38%,8.14%,36.56,-0.93%,4.85%
ABEV,2020-11-09,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,41.85B,15.11,2.66,7.26%,57769619,22.17,-,-,2.70,-,-,-47.40%,20.00%,39.83%,-,-,15.73B,4.39B,-,-,9.03%,-,0.60%,1.18,22.22M,22.02%,7.69%,7.26%,31.68%,-33.79%,-42.92%,3.28%,3.32%,3.00,2.6,4.51%,-,-,-,-,-,-,-,-,-,-,-,-,0.1,11.37%,12.48%,1.35%,-43.95%,40.00%,64.66,0.38%,6.85%
