Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-09-25,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.19B,44.14,97.69,1.40%,1027091,26.63,4.70,5.78,6.06,22.23,58.27,26.10%,14.05%,37.50%,9.40%,5.00%,309.00M,307.19M,0.40%,-11.76%,90.40%,0.45%,1.20%,2.64,1.40M,-1.70%,-1.65%,13.73%,37.77%,27.67%,14.51%,2.03%,2.20%,2.40,0.74,0.74%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,Aug 18/a,1.04,2.18,-1.29%,-0.09%,13.62%,-5.76%,59.81%,47.46,1.80%,-0.39%
AA,2020-09-25,Alcoa Corporation,Basic Materials,Aluminum,USA,2.17B,-,11.55,-1.28%,6183861,-,-,0.23,0.58,2.25,8.85,-559.70%,76.30%,-34.10%,-,-4.50%,186.00M,184.87M,0.20%,0.32%,75.60%,-3.41%,7.05%,2.07,6.29M,-13.29%,-23.36%,5.67%,76.34%,-44.97%,-46.30%,5.88%,4.55%,2.50,0.98,-,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,Jul 15/a,2.28,0.63,-16.13%,-17.22%,-9.19%,-50.78%,123.84%,27.10,0.70%,-1.97%
AACQ,2020-09-25,Artius Acquisition Inc.,Financial,Shell Companies,USA,715.81M,-,9.88,0.10%,367137,-,-,-,-,-,-,-,-,-,-,-,72.45M,-,-,-,-,-,-,-,363.83K,-0.70%,-,-,-,-,-1.20%,0.96%,-,-,1.01,-,-,-,-,-,-,-,-,-,-,-,-,-,0.15,-0.76%,-0.76%,-0.76%,-5.73%,0.45%,-,-0.70%,0.81%
AAL,2020-09-25,American Airlines Group Inc.,Industrials,Airlines,USA,6.46B,-,12.29,4.42%,41129129,-,-,0.19,-,0.66,-,25.20%,85.40%,-0.70%,-,1.40%,508.11M,502.33M,1.10%,0.00%,57.00%,-3.76%,30.18%,2.15,70.62M,-6.82%,-3.87%,-0.73%,-12.46%,-54.80%,-57.15%,5.82%,5.76%,3.30,0.58,3.25%,-5.70%,240.80%,10.30%,0.80,0.70,-,-,56.90%,-10.50%,-10.40%,Jul 23/b,1.71,0.74,-5.87%,-2.59%,-26.71%,-61.19%,48.97%,45.91,4.77%,-0.34%
AAN,2020-09-25,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.78B,-,55.68,2.35%,479498,11.38,-,0.92,2.46,12.06,10.96,-83.50%,5.25%,-15.70%,18.10%,7.90%,67.10M,66.39M,1.00%,-40.71%,99.40%,-2.31%,3.11%,2.80,738.88K,-0.89%,-1.35%,25.63%,135.43%,-11.58%,-2.50%,3.99%,4.14%,1.80,0.65,0.29%,-9.00%,-17.00%,2.10%,-,-,0.19,0.19,96.70%,-8.40%,-6.80%,Jul 29/b,1.66,2.22,-1.59%,3.02%,23.89%,-29.21%,328.14%,47.82,3.42%,-1.03%
AAOI,2020-09-25,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,247.65M,-,10.73,2.98%,273974,80.07,-,1.24,0.87,-,-,15.10%,117.80%,-68.80%,13.00%,7.90%,22.77M,20.98M,6.70%,-5.54%,53.20%,-0.78%,21.30%,4.39,1.02M,4.28%,-8.99%,15.25%,43.45%,-4.15%,-9.68%,7.76%,6.32%,3.00,0.27,-,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,Aug 06/a,2.01,0.66,-0.26%,-13.48%,0.70%,-38.93%,114.60%,45.75,3.37%,-0.38%
AAON,2020-09-25,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.03B,43.61,57.43,0.16%,121267,43.51,3.63,6.07,9.28,-,48.39,27.00%,-5.31%,5.10%,12.00%,5.70%,52.10M,40.85M,19.50%,-1.88%,72.20%,1.76%,9.20%,18.22,206.21K,0.28%,-0.97%,13.21%,24.15%,25.20%,16.23%,2.99%,2.46%,3.30,0.59,0.66%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,Aug 06/a,0.65,1.45,0.93%,-0.89%,8.30%,-6.00%,41.87%,50.47,0.72%,-0.56%
AAP,2020-09-25,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.39B,23.00,149.41,1.84%,777811,16.18,2.53,1.08,2.77,9.10,21.60,21.10%,12.65%,0.40%,9.10%,-0.30%,69.12M,68.89M,0.40%,2.38%,-,0.36%,2.82%,2.35,824.31K,-2.90%,-4.52%,6.73%,56.29%,-6.84%,-6.71%,3.48%,2.53%,2.30,0.94,0.67%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,Aug 18/b,1.37,4.24,-2.75%,-2.31%,8.92%,-12.84%,109.47%,43.96,2.10%,-0.26%
AAPL,2020-09-25,Apple Inc.,Technology,Consumer Electronics,USA,1983.18B,34.14,112.28,3.75%,149181693,29.02,2.74,7.24,26.80,21.32,34.40,-2.60%,19.56%,13.00%,12.46%,7.30%,17.25B,17.09B,0.07%,-3.00%,62.40%,-0.79%,0.47%,0.46,172.83M,5.09%,-11.26%,27.00%,81.29%,104.25%,52.94%,4.94%,4.90%,2.20,0.86,0.73%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,Jul 30/a,1.33,5.26,-4.01%,0.60%,31.92%,-18.63%,111.24%,49.94,3.49%,0.25%
AAT,2020-09-25,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.45B,30.70,23.39,1.17%,310802,24.11,10.23,3.86,1.07,9.95,-,101.50%,44.78%,10.50%,3.00%,7.10%,59.72M,59.39M,1.30%,8.80%,97.30%,-2.01%,1.20%,2.16,329.62K,-7.03%,-7.59%,-16.13%,-5.27%,-50.02%,-49.04%,3.62%,3.02%,2.80,0.94,4.28%,1.60%,3.50%,4.30%,-,-,1.08,1.08,65.30%,29.80%,12.10%,Jul 28/a,0.89,0.84,-7.12%,-9.81%,-27.76%,-52.52%,16.08%,35.93,1.65%,-0.48%
