Ticker,Date,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
A,2020-12-30,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,36.02B,50.99,117.39,0.14%,1105070,28.29,5.48,6.75,7.44,24.99,62.10,-31.60%,12.56%,12.00%,9.30%,5.70%,309.00M,304.40M,0.40%,-15.92%,90.10%,-1.02%,1.06%,2.07,1.55M,0.02%,0.42%,16.30%,33.23%,37.60%,37.60%,1.57%,1.87%,2.20,0.71,0.66%,7.50%,14.80%,10.00%,2.30,1.80,0.47,0.48,53.10%,15.80%,13.50%,Nov 23/a,1.06,2.43,0.41%,4.87%,23.89%,-2.37%,92.03%,57.32,-0.40%,0.54%
AA,2020-12-30,Alcoa Corporation,Basic Materials,Aluminum,USA,4.32B,-,22.95,4.13%,3419191,30.81,-,0.46,1.26,2.49,17.84,-559.70%,153.60%,-34.10%,-,-4.50%,186.00M,184.84M,0.20%,-0.13%,76.90%,2.30%,5.37%,1.77,5.61M,6.20%,15.33%,97.33%,109.59%,6.69%,6.69%,4.33%,5.25%,2.60,0.61,-,-3.40%,-12.10%,-9.60%,1.80,1.20,0.75,0.75,13.80%,-0.20%,-5.00%,Oct 14/a,2.56,1.12,2.43%,24.68%,79.28%,-5.05%,344.77%,62.21,3.99%,0.14%
AAIC,2020-12-30,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,126.04M,-,3.76,-1.05%,311419,13.57,-,70.02,0.65,14.16,5.95,109.80%,8.63%,-3.90%,-,8.00%,34.66M,32.47M,2.20%,-2.64%,36.30%,-10.54%,2.56%,3.57,232.89K,-1.05%,17.13%,32.39%,29.21%,-32.50%,-32.50%,3.33%,4.31%,2.70,1.34,-,-2.70%,-24.60%,0.30%,-,-,0.97,3.50,-,-,-,Nov 03/a,1.84,0.15,2.17%,18.63%,32.51%,-44.46%,168.57%,64.85,0.00%,-1.05%
AAL,2020-12-30,American Airlines Group Inc.,Industrials,Airlines,USA,9.91B,-,16.15,1.83%,49250935,-,-,0.40,-,1.20,-,25.20%,72.80%,-0.70%,-,1.40%,509.05M,502.83M,0.93%,0.00%,45.40%,-5.11%,31.98%,2.08,77.29M,4.33%,14.30%,31.41%,26.07%,-43.69%,-43.69%,3.66%,5.45%,3.50,0.64,-,-10.20%,219.80%,10.30%,0.70,0.60,-,-,51.80%,-29.10%,-25.60%,Oct 22/b,1.82,0.83,-1.40%,15.04%,26.04%,-47.53%,95.76%,55.18,1.83%,0.00%
AAN,2020-12-30,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,611.01M,-,18.12,7.09%,412725,9.06,-,0.35,0.75,1.41,-,-44.50%,-41.70%,-,-,-,33.72M,-,-,-,-,-,-,0.64,1.37M,5.78%,-5.58%,-,-,-,-31.62%,5.19%,6.67%,2.60,0.3,-,-,-,3.50%,-,-,0.39,0.39,62.40%,-,-,Oct 29/b,-,1.44,2.04%,-1.51%,-1.51%,-41.55%,11.85%,-,6.09%,0.95%
AAOI,2020-12-30,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,202.79M,-,8.6,-2.27%,533394,-,-,0.88,0.74,4.33,-,-10.50%,46.30%,-68.80%,13.00%,7.90%,22.74M,21.74M,5.50%,-3.90%,48.70%,-7.29%,19.85%,6.75,638.89K,-3.26%,3.49%,-23.56%,-15.60%,-27.61%,-27.61%,4.33%,4.24%,2.90,0.83,-,-17.00%,-30.50%,-15.60%,1.70,0.90,0.35,0.57,21.90%,-20.60%,-34.80%,Nov 05/a,1.82,0.39,2.45%,0.00%,-13.81%,-51.05%,72.00%,51.41,-2.82%,0.57%
AAON,2020-12-30,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.46B,46.17,66.49,-0.34%,183163,51.15,3.85,6.65,10.07,-,56.99,27.00%,-8.77%,5.10%,12.00%,5.70%,52.26M,41.32M,16.60%,-0.44%,72.80%,1.05%,9.03%,20.78,179.68K,3.37%,2.09%,10.36%,26.19%,34.57%,34.57%,3.79%,2.97%,3.50,1.02,0.57%,18.60%,24.10%,18.10%,3.70,2.40,0.02,0.02,30.40%,18.80%,14.60%,Nov 05/a,0.67,1.97,4.21%,4.94%,17.72%,-4.21%,64.25%,62.08,-0.92%,0.58%
AAP,2020-12-30,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.61B,22.94,157.66,0.62%,595536,16.59,1.93,1.08,2.89,9.93,17.16,21.10%,10.68%,0.40%,11.90%,-0.30%,68.97M,67.60M,0.20%,0.00%,-,-0.78%,4.38%,3.27,904.07K,-1.09%,6.74%,2.71%,11.07%,-1.56%,-1.56%,1.87%,2.32%,2.30,0.66,0.63%,4.00%,13.10%,12.30%,1.40,0.40,0.27,0.00,43.90%,6.90%,4.80%,Nov 10/b,1.27,3.47,0.47%,2.62%,11.85%,-7.53%,121.03%,53.14,0.65%,-0.03%
AAPL,2020-12-30,Apple Inc.,Technology,Consumer Electronics,USA,2256.08B,40.93,133.72,-0.85%,94873726,30.83,3.24,8.22,34.91,24.81,38.06,10.20%,9.27%,7.30%,12.64%,3.30%,17.06B,16.99B,0.07%,-6.93%,59.80%,-,0.56%,0.82,115.70M,1.40%,12.32%,15.46%,46.90%,82.15%,82.15%,2.24%,2.29%,2.00,0.82,0.61%,17.60%,75.20%,31.70%,1.40,1.30,1.52,1.73,38.20%,24.10%,20.90%,Oct 29/a,1.28,3.22,5.54%,11.09%,33.90%,-3.65%,151.58%,65.45,-1.34%,0.50%
AAT,2020-12-30,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.69B,45.02,28.36,0.07%,132835,33.56,15.01,4.66,1.32,10.88,-,101.50%,52.25%,10.50%,3.00%,7.10%,59.83M,59.37M,0.90%,-,97.10%,0.14%,1.24%,2.25,326.48K,0.93%,-1.15%,17.73%,0.82%,-38.21%,-38.21%,2.84%,2.87%,2.80,0.41,3.53%,1.30%,2.90%,4.30%,-,-,1.10,1.10,65.10%,28.20%,10.40%,Oct 27/a,1.22,0.94,-2.73%,5.54%,7.20%,-41.10%,40.74%,49.41,0.07%,0.00%
AAU,2020-12-30,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,58.98M,-,0.47,1.94%,1154497,-,-,-,1.01,21.85,-,-3.20%,-,31.70%,-,-,119.16M,114.95M,7.20%,0.00%,5.90%,44.19%,0.46%,0.44,1.19M,-2.49%,-53.53%,-42.56%,-4.93%,-19.52%,-19.52%,6.30%,11.47%,-,0.97,-,-4.20%,-4.60%,-,9.50,9.50,0.04,0.04,-,-,-,-,1.14,0.07,-29.68%,-46.79%,-26.97%,-61.77%,123.48%,30.20,3.04%,-1.08%
AAWW,2020-12-30,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.49B,-,54.61,1.13%,268055,6.32,-,0.49,0.71,2.08,1.82,-218.60%,-28.91%,-36.10%,10.00%,8.80%,26.14M,25.57M,1.40%,-29.17%,-,-0.78%,11.32%,6.01,481.71K,-2.67%,-2.15%,-10.33%,24.45%,98.08%,98.08%,2.57%,3.23%,1.70,0.56,-,-4.20%,-12.40%,-5.00%,1.00,1.00,1.03,1.17,57.70%,-9.70%,-7.70%,Nov 05/b,1.36,1.72,-1.47%,-4.42%,13.44%,-20.95%,264.80%,44.65,1.13%,0.00%
AAXN,2020-12-30,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,7.94B,-,123.88,0.45%,384105,96.03,-,12.66,8.79,15.66,-,-97.10%,16.22%,-47.40%,18.80%,26.40%,63.50M,62.72M,1.10%,-31.76%,88.40%,3.73%,4.97%,5.71,545.32K,-3.60%,-1.44%,36.58%,24.67%,69.05%,69.05%,4.12%,3.65%,2.20,0.7,-,-3.80%,-5.60%,-1.40%,3.40,3.00,0.00,0.00,58.70%,-5.50%,-6.40%,Nov 05/a,0.63,4.74,-1.17%,4.75%,34.04%,-8.05%,147.51%,50.37,-0.06%,0.50%
AB,2020-12-30,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,3.20B,12.07,33.23,1.10%,190381,10.86,1.10,10.84,2.14,-,-,-0.70%,13.41%,6.40%,11.01%,5.80%,96.35M,90.15M,6.37%,-0.15%,19.40%,-5.09%,0.26%,0.51,460.43K,-0.42%,4.27%,22.89%,24.83%,9.81%,9.81%,1.61%,2.44%,2.10,0.41,8.31%,17.60%,17.60%,15.40%,-,-,0.00,0.00,-,100.00%,90.30%,Oct 22/b,1.53,0.73,0.87%,4.11%,22.98%,-7.85%,150.98%,56.33,0.54%,0.55%
ABB,2020-12-30,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,60.05B,125.25,27.93,0.14%,940379,-,8.58,2.31,3.54,6.96,34.19,-27.90%,-,-15.30%,14.60%,-6.80%,2.12B,1.95B,-,-,4.80%,20.03%,0.28%,3.24,1.66M,3.14%,6.04%,9.74%,20.08%,15.94%,15.94%,1.01%,1.18%,2.50,0.57,2.97%,12.00%,41.10%,5.20%,1.40,1.10,0.38,0.52,30.70%,6.40%,21.30%,Oct 23/b,1.09,0.38,2.91%,4.79%,19.37%,-0.64%,89.87%,64.32,0.29%,-0.14%
ABBV,2020-12-30,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,185.89B,23.01,105.27,0.54%,5240598,8.64,2.10,4.57,12.20,23.38,22.90,42.30%,16.25%,36.80%,10.98%,10.80%,1.77B,1.76B,0.10%,-24.98%,70.10%,-0.99%,0.79%,1.7,8.15M,2.40%,0.66%,20.18%,6.18%,18.90%,18.90%,1.06%,1.93%,2.00,0.64,4.94%,6.10%,203.50%,21.20%,1.00,0.80,5.39,5.70,68.60%,28.50%,18.00%,Oct 30/b,0.82,1.97,0.29%,7.53%,15.10%,-3.55%,68.30%,59.38,0.10%,0.45%
ABC,2020-12-30,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,19.86B,-,96.96,-0.16%,641062,10.66,-,0.10,-,4.32,13.30,-530.90%,8.28%,8.70%,8.04%,6.90%,204.08M,146.95M,0.10%,-42.01%,67.20%,-0.62%,1.82%,2.73,978.73K,0.25%,-5.96%,0.04%,-2.50%,14.04%,14.04%,1.63%,2.03%,2.40,0.65,1.82%,-8.20%,-145.30%,-105.20%,1.00,0.60,-,-,2.70%,-2.70%,-1.80%,Nov 05/b,0.58,2.0,-2.19%,-3.86%,0.56%,-12.84%,34.56%,40.54,-0.08%,-0.08%
ABCB,2020-12-30,Ameris Bancorp,Financial,Banks - Regional,USA,2.64B,11.52,37.96,1.50%,319991,10.43,1.44,3.56,1.02,3.30,-,-1.60%,1.87%,13.50%,8.00%,31.10%,69.23M,65.72M,0.30%,-3.02%,85.30%,0.07%,2.76%,4.55,397.99K,5.56%,11.61%,66.64%,69.54%,-10.77%,-10.77%,3.16%,3.59%,1.60,0.8,1.58%,1.20%,9.20%,15.20%,-,-,0.19,0.19,-,66.10%,30.90%,Oct 22/a,1.46,1.36,2.03%,12.20%,45.40%,-13.31%,121.73%,59.33,1.82%,-0.32%
ABCL,2020-12-30,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,11.13B,2283.33,41.1,5.38%,848182,-,-,545.64,-,122.19,-,-857.50%,-,-,-,-,270.83M,191.87M,23.40%,0.00%,-,-,0.50%,0.47,2.01M,-12.78%,-,-,-,-,-30.22%,9.26%,-,-,0.42,-,-,-,-61.40%,5.70,5.60,0.27,0.31,-,-,-,-,-,6.39,-11.76%,-11.76%,-11.76%,-42.85%,8.16%,-,6.50%,-1.05%
ABCM,2020-12-30,Abcam plc,Healthcare,Biotechnology,United Kingdom,5.09B,-,22.45,10.59%,372574,-,-,-,-,-,-,-,-,-,-,-,226.55M,183.67M,-,-,0.59%,-,0.16%,1.21,235.74K,12.70%,17.79%,-,-,-,13.67%,4.61%,3.15%,1.70,1.58,0.67%,-,-,-,-,-,-,-,-,-,-,-,-,0.73,14.88%,16.29%,16.29%,7.42%,26.76%,75.81,9.41%,1.08%
ABEO,2020-12-30,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,165.01M,-,1.61,4.55%,2231048,-,-,23.57,1.31,1.70,-,-27.10%,25.30%,37.00%,-,-,93.77M,82.55M,2.20%,-12.56%,38.40%,-15.69%,2.73%,0.94,2.39M,0.63%,-0.62%,57.84%,-43.51%,-50.76%,-50.76%,12.12%,8.47%,1.80,0.93,-,-47.00%,-62.00%,-,2.70,2.70,0.00,0.02,-,-,-,-,1.70,0.14,2.29%,16.73%,-27.10%,-62.90%,62.71%,54.12,3.87%,0.65%
ABEV,2020-12-30,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,47.99B,17.33,3.05,-2.24%,9659438,23.46,-,-,3.09,-,-,-47.40%,30.00%,39.83%,-,-,15.74B,4.39B,-,-,8.61%,-,1.55%,2.85,23.85M,0.66%,17.68%,38.51%,14.66%,-32.83%,-32.83%,1.98%,2.95%,3.20,0.41,3.28%,-,-,-,-,-,-,-,-,-,-,-,-,0.09,2.34%,13.26%,24.67%,-33.96%,64.75%,59.07,-1.61%,-0.64%
ABG,2020-12-30,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,2.81B,13.50,145.94,4.77%,148876,10.25,0.73,0.41,3.45,686.27,4.50,15.00%,14.42%,20.80%,18.50%,4.20%,19.20M,19.09M,0.20%,-4.69%,-,-0.27%,12.18%,11.03,210.77K,6.05%,29.41%,49.76%,93.68%,30.55%,30.55%,5.05%,4.51%,2.10,0.71,-,6.70%,29.50%,11.30%,1.10,0.40,1.45,2.36,17.00%,5.20%,3.10%,Oct 27/b,1.71,6.43,4.94%,15.76%,54.30%,-2.71%,270.78%,60.18,5.00%,-0.22%
ABM,2020-12-30,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,2.55B,-,37.74,0.05%,207225,14.28,-,0.43,1.68,6.47,6.89,-99.80%,10.54%,-68.40%,16.00%,4.10%,66.90M,65.96M,1.00%,-4.73%,95.10%,-1.64%,1.31%,2.49,347.77K,-1.82%,-1.97%,2.95%,5.01%,0.08%,0.08%,2.22%,3.08%,2.00,0.6,2.01%,0.00%,0.00%,1.90%,1.50,1.50,0.40,0.48,15.10%,1.60%,0.00%,Dec 16/a,1.25,1.23,-4.30%,-1.13%,8.03%,-9.69%,90.70%,42.71,-0.26%,0.32%
ABMD,2020-12-30,"Abiomed, Inc.",Healthcare,Medical Devices,USA,14.67B,71.10,323.92,0.93%,274470,63.94,4.16,18.27,12.35,27.52,59.64,-21.00%,12.90%,10.80%,17.10%,29.60%,45.10M,44.12M,1.10%,-19.37%,98.20%,-0.82%,4.38%,6.66,290.17K,7.14%,18.18%,16.91%,26.92%,89.88%,89.88%,2.92%,3.52%,2.30,0.95,-,16.70%,18.90%,17.90%,6.80,6.00,0.00,0.00,80.80%,27.30%,25.90%,Oct 29/b,1.39,9.81,14.81%,17.56%,30.31%,-1.22%,172.18%,77.84,-0.21%,1.14%
ABNB,2020-12-30,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,91.05B,-,148.43,-1.05%,3443169,-,-,25.11,-,20.26,-,-,89.30%,-,-,-,613.43M,101.58M,13.50%,0.00%,4.69%,-,1.66%,0.1,17.35M,-9.04%,-,-,-,-,2.57%,7.13%,-,2.60,0.2,-,-,-,95.80%,1.60,1.60,-,-,52.50%,-22.80%,-28.90%,-,-,14.32,0.54%,0.54%,0.54%,-15.17%,22.16%,-,-1.92%,0.89%
ABR,2020-12-30,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1.75B,18.81,14.13,0.14%,559783,9.04,2.35,3.22,1.46,9.11,-,-14.30%,35.09%,-5.50%,8.00%,30.60%,113.77M,109.10M,1.30%,0.00%,41.50%,1.51%,4.66%,3.61,1.41M,1.36%,6.08%,23.19%,56.48%,-1.53%,-1.53%,2.13%,2.74%,2.00,0.4,9.06%,1.60%,9.70%,2.50%,-,-,4.63,4.63,67.40%,16.80%,18.80%,Oct 30/b,1.86,0.38,0.60%,6.91%,40.28%,-7.77%,299.15%,55.41,0.00%,0.14%
