,Name,Allocation
169,"Chipotle Mexican Grill, Inc.",0.11%
170,MSCI Inc. Class A,0.11%
171,"Ross Stores, Inc.",0.11%
172,"Cadence Design Systems, Inc.",0.11%
173,Monster Beverage Corporation,0.11%
174,T. Rowe Price Group,0.11%
175,Cummins Inc.,0.11%
176,"Twitter, Inc.",0.11%
177,Public Storage,0.11%
178,TE Connectivity Ltd.,0.11%
179,PACCAR Inc,0.11%
180,"Agilent Technologies, Inc.",0.11%
181,Verisk Analytics Inc,0.11%
182,Allstate Corporation,0.11%
183,"Constellation Brands, Inc. Class A",0.11%
184,Johnson Controls International plc,0.11%
185,Sysco Corporation,0.10%
186,Walgreens Boots Alliance Inc,0.10%
187,Capital One Financial Corporation,0.10%
188,Bank of New York Mellon Corporation,0.10%
189,"MetLife, Inc.",0.10%
190,Eversource Energy,0.10%
191,WEC Energy Group Inc,0.10%
192,"Yum! Brands, Inc.",0.10%
193,"Travelers Companies, Inc.",0.10%
194,"ANSYS, Inc.",0.10%
195,Clorox Company,0.10%
196,"Zimmer Biomet Holdings, Inc.",0.10%
197,Kroger Co.,0.10%
198,"AutoZone, Inc.",0.10%
199,"PPG Industries, Inc.",0.10%
200,Trane Technologies plc,0.10%
201,IQVIA Holdings Inc,0.10%
202,Fastenal Company,0.10%
203,Kinder Morgan Inc Class P,0.10%
204,Public Service Enterprise Group Inc,0.10%
205,Cintas Corporation,0.10%
206,"Prudential Financial, Inc.",0.10%
207,Ford Motor Company,0.10%
208,Phillips 66,0.09%
209,Parker-Hannifin Corporation,0.09%
210,Aflac Incorporated,0.09%
211,"American Water Works Company, Inc.",0.09%
212,"Rockwell Automation, Inc.",0.09%
213,ResMed Inc.,0.09%
214,Schlumberger NV,0.09%
215,Willis Towers Watson Public Limited Company,0.09%
216,"Williams Companies, Inc.",0.09%
217,HP Inc.,0.09%
218,Microchip Technology Incorporated,0.09%
219,"EOG Resources, Inc.",0.09%
220,Otis Worldwide Corporation,0.09%
221,"Motorola Solutions, Inc.",0.09%
222,"Best Buy Co., Inc.",0.09%
223,"McCormick & Company, Incorporated",0.09%
224,"Marriott International, Inc. Class A",0.09%
225,"American International Group, Inc.",0.09%
226,"Xilinx, Inc.",0.09%
227,McKesson Corporation,0.09%
228,Ball Corporation,0.09%
229,"D.R. Horton, Inc.",0.09%
230,"Stanley Black & Decker, Inc.",0.09%
231,Archer-Daniels-Midland Company,0.09%
232,TransDigm Group Incorporated,0.09%
233,"Consolidated Edison, Inc.",0.09%
234,Corning Inc,0.09%
235,State Street Corporation,0.09%
236,Carrier Global Corp.,0.08%
237,"Church & Dwight Co., Inc.",0.08%
238,"Paychex, Inc.",0.08%
239,Hilton Worldwide Holdings Inc,0.08%
240,"Dollar Tree, Inc.",0.08%
241,"Skyworks Solutions, Inc.",0.08%
242,Marathon Petroleum Corporation,0.08%
243,"Welltower, Inc.",0.08%
244,"AMETEK, Inc.",0.08%
245,Mettler-Toledo International Inc.,0.08%
246,Aptiv PLC,0.08%
247,DTE Energy Company,0.08%
248,"Alexion Pharmaceuticals, Inc.",0.08%
249,Cerner Corporation,0.08%
250,Hershey Company,0.08%
251,Weyerhaeuser Company,0.08%
252,"AvalonBay Communities, Inc.",0.08%
253,Kraft Heinz Company,0.08%
254,"Alexandria Real Estate Equities, Inc.",0.08%
255,Corteva Inc,0.08%
256,PPL Corporation,0.08%
257,Valero Energy Corporation,0.08%
258,Fortive Corp.,0.08%
259,"Freeport-McMoRan, Inc.",0.08%
260,"Align Technology, Inc.",0.08%
261,"VeriSign, Inc.",0.08%
262,Lennar Corporation Class A,0.08%
263,Realty Income Corporation,0.07%
264,"Copart, Inc.",0.07%
265,"West Pharmaceutical Services, Inc.",0.07%
266,Arthur J. Gallagher & Co.,0.07%
267,"FLEETCOR Technologies, Inc.",0.07%
268,"Take-Two Interactive Software, Inc.",0.07%
269,Ameren Corporation,0.07%
270,"Simon Property Group, Inc.",0.07%
271,Equifax Inc.,0.07%
272,Entergy Corporation,0.07%
273,Equity Residential,0.07%
274,V.F. Corporation,0.07%
275,Edison International,0.07%
276,First Republic Bank,0.07%
277,MarketAxess Holdings Inc.,0.07%
278,Keysight Technologies Inc,0.07%
279,"Ameriprise Financial, Inc.",0.07%
280,"Republic Services, Inc.",0.07%
281,"Conagra Brands, Inc.",0.07%
282,Southwest Airlines Co.,0.07%
283,"Tyson Foods, Inc. Class A",0.07%
284,"Old Dominion Freight Line, Inc.",0.07%
285,"Maxim Integrated Products, Inc.",0.07%
286,"Akamai Technologies, Inc.",0.06%
287,"Fortinet, Inc.",0.06%
288,Amcor PLC,0.06%
289,Laboratory Corporation of America Holdings,0.06%
290,Tractor Supply Company,0.06%
291,Teleflex Incorporated,0.06%
292,CMS Energy Corporation,0.06%
293,"Hologic, Inc.",0.06%
294,Incyte Corporation,0.06%
295,Kellogg Company,0.06%
296,"CarMax, Inc.",0.06%
297,Kansas City Southern,0.06%
298,LyondellBasell Industries NV,0.06%
299,Northern Trust Corporation,0.06%
300,Pioneer Natural Resources Company,0.06%
301,Vulcan Materials Company,0.06%
302,"Citrix Systems, Inc.",0.06%
303,"Domino's Pizza, Inc.",0.06%
304,CDW Corp.,0.06%
305,Dover Corporation,0.06%
306,Las Vegas Sands Corp.,0.06%
307,"Broadridge Financial Solutions, Inc.",0.06%
308,"Varian Medical Systems, Inc.",0.06%
309,Quest Diagnostics Incorporated,0.06%
310,"Delta Air Lines, Inc.",0.06%
311,FirstEnergy Corp.,0.05%
312,"Ventas, Inc.",0.05%
313,Masco Corporation,0.05%
314,Discover Financial Services,0.05%
315,"W.W. Grainger, Inc.",0.05%
316,Garmin Ltd.,0.05%
317,"Nasdaq, Inc.",0.05%
318,"Qorvo, Inc.",0.05%
319,"CBRE Group, Inc. Class A",0.05%
320,"Healthpeak Properties, Inc.",0.05%
321,Hormel Foods Corporation,0.05%
322,Zebra Technologies Corporation Class A,0.05%
323,"Cardinal Health, Inc.",0.05%
324,ViacomCBS Inc. Class B,0.05%
325,"NVR, Inc.",0.05%
326,AmerisourceBergen Corporation,0.05%
327,"Cooper Companies, Inc.",0.05%
328,Xylem Inc.,0.05%
329,"Expeditors International of Washington, Inc.",0.05%
330,Fifth Third Bancorp,0.05%
331,"Hartford Financial Services Group, Inc.",0.05%
332,Halliburton Company,0.05%
333,International Paper Company,0.05%
334,"Paycom Software, Inc.",0.05%
335,Duke Realty Corporation,0.05%
336,"ABIOMED, Inc.",0.05%
337,Tiffany & Co.,0.05%
338,Nucor Corporation,0.05%
339,FMC Corporation,0.05%
340,"Essex Property Trust, Inc.",0.05%
341,"Tyler Technologies, Inc.",0.05%
342,Genuine Parts Company,0.05%
343,Alliant Energy Corp,0.05%
344,IDEX Corporation,0.05%
345,Waters Corporation,0.05%
346,Extra Space Storage Inc.,0.05%
347,Brown-Forman Corporation Class B,0.05%
348,STERIS Plc,0.05%
349,"PerkinElmer, Inc.",0.05%
350,"Mid-America Apartment Communities, Inc.",0.05%
351,M&T Bank Corporation,0.05%
352,"C.H. Robinson Worldwide, Inc.",0.05%
353,Synchrony Financial,0.05%
354,International Flavors & Fragrances Inc.,0.05%
355,"Jack Henry & Associates, Inc.",0.05%
356,"Martin Marietta Materials, Inc.",0.05%
357,J.M. Smucker Company,0.05%
358,Hess Corporation,0.05%
359,"United Rentals, Inc.",0.04%
360,SVB Financial Group,0.04%
361,Atmos Energy Corporation,0.04%
362,"Boston Properties, Inc.",0.04%
363,NortonLifeLock Inc.,0.04%
364,"Leidos Holdings, Inc.",0.04%
365,Occidental Petroleum Corporation,0.04%
366,"ONEOK, Inc.",0.04%
367,Westinghouse Air Brake Technologies Corporation,0.04%
368,Ingersoll Rand Inc.,0.04%
369,"Expedia Group, Inc.",0.04%
370,AES Corporation,0.04%
371,"Arista Networks, Inc.",0.04%
372,Celanese Corporation,0.04%
373,"J.B. Hunt Transport Services, Inc.",0.04%
374,Cincinnati Financial Corporation,0.04%
375,Hewlett Packard Enterprise Co.,0.04%
376,E*TRADE Financial Corporation,0.04%
377,"Fortune Brands Home & Security, Inc.",0.04%
378,Jacobs Engineering Group Inc.,0.04%
379,KeyCorp,0.04%
380,Teledyne Technologies Incorporated,0.04%
381,Ulta Beauty Inc,0.04%
382,"PulteGroup, Inc.",0.04%
383,"Evergy, Inc.",0.04%
384,Whirlpool Corporation,0.04%
385,"Gartner, Inc.",0.04%
386,Omnicom Group Inc,0.04%
387,"Bio-Rad Laboratories, Inc. Class A",0.04%
388,"Principal Financial Group, Inc.",0.04%
389,"CenturyLink, Inc.",0.04%
390,"Advance Auto Parts, Inc.",0.04%
391,"CenterPoint Energy, Inc.",0.04%
392,Royal Caribbean Group,0.04%
393,"Darden Restaurants, Inc.",0.04%
394,Regions Financial Corporation,0.04%
395,Western Digital Corporation,0.04%
396,"Citizens Financial Group, Inc.",0.04%
397,MGM Resorts International,0.04%
398,"UDR, Inc.",0.04%
399,Baker Hughes Company Class A,0.04%
400,Seagate Technology PLC,0.04%
401,"Hasbro, Inc.",0.04%
402,Eastman Chemical Company,0.03%
403,Albemarle Corporation,0.03%
404,Cboe Global Markets Inc,0.03%
405,LKQ Corporation,0.03%
406,Western Union Company,0.03%
407,Concho Resources Inc.,0.03%
408,Packaging Corporation of America,0.03%
409,Avery Dennison Corporation,0.03%
410,"Lamb Weston Holdings, Inc.",0.03%
411,"DENTSPLY SIRONA, Inc.",0.03%
412,"NetApp, Inc.",0.03%
413,"Henry Schein, Inc.",0.03%
