,Name,Allocation
0,Linde plc,10.68%
1,SAP SE,10.61%
2,Siemens AG,8.79%
3,Allianz SE,7.59%
4,Bayer AG,5.36%
5,Deutsche Telekom AG,4.99%
6,BASF SE,4.67%
7,adidas AG,4.49%
8,Deutsche Post AG,3.72%
9,Daimler AG,3.66%
10,Munich Reinsurance Company,3.40%
11,Vonovia SE,3.10%
12,Infineon Technologies AG,3.00%
13,Deutsche Boerse AG,2.86%
14,Volkswagen AG Pref,2.53%
15,E.ON SE,2.20%
16,RWE AG,2.08%
17,Bayerische Motoren Werke AG,1.91%
18,Deutsche Bank AG,1.69%
19,Fresenius SE & Co. KGaA,1.60%
20,Henkel AG & Co. KGaA Pref,1.48%
21,Merck KGaA,1.44%
22,Deutsche Wohnen SE,1.42%
23,Fresenius Medical Care AG & Co. KGaA,1.40%
24,Delivery Hero SE,1.27%
25,Continental AG,1.03%
26,Beiersdorf AG,0.93%
27,MTU Aero Engines AG,0.85%
28,HeidelbergCement AG,0.79%
29,Covestro AG,0.70%
30,U.S. Dollar,-0.24%
