,Name,Allocation
0,Linde plc,6.56%
1,"PPG Industries, Inc.",5.16%
2,Newmont Corporation,4.84%
3,"Air Products and Chemicals, Inc.",4.68%
4,Sherwin-Williams Company,4.37%
5,LyondellBasell Industries NV,3.59%
6,Ball Corporation,3.58%
7,Ecolab Inc.,3.39%
8,"Freeport-McMoRan, Inc.",3.31%
9,International Paper Company,3.15%
10,Nucor Corporation,3.12%
11,"Dow, Inc.",3.02%
12,Amcor PLC,2.65%
13,Vulcan Materials Company,2.46%
14,FMC Corporation,2.43%
15,Celanese Corporation,2.14%
16,Packaging Corporation of America,2.10%
17,Eastman Chemical Company,2.10%
18,International Flavors & Fragrances Inc.,2.04%
19,"Martin Marietta Materials, Inc.",1.97%
20,"Crown Holdings, Inc.",1.97%
21,RPM International Inc.,1.72%
22,"DuPont de Nemours, Inc.",1.64%
23,Owens Corning,1.60%
24,Berry Global Group Inc,1.60%
25,Avery Dennison Corporation,1.58%
26,Albemarle Corporation,1.52%
27,"Steel Dynamics, Inc.",1.50%
28,WestRock Company,1.48%
29,Reliance Steel & Aluminum Co.,1.36%
30,"CF Industries Holdings, Inc.",1.29%
31,"Royal Gold, Inc.",1.27%
32,Howmet Aerospace Inc.,1.26%
33,"Aptargroup, Inc.",1.24%
34,Sonoco Products Company,1.12%
35,Mosaic Company,1.09%
36,Scotts Miracle-Gro Company Class A,1.04%
37,Axalta Coating Systems Ltd.,0.95%
38,Huntsman Corporation,0.94%
39,Graphic Packaging Holding Company,0.88%
40,Sealed Air Corporation,0.86%
41,"Ashland Global Holdings, Inc.",0.82%
42,MDU Resources Group Inc,0.77%
43,Southern Copper Corporation,0.67%
44,NewMarket Corporation,0.59%
45,Valvoline Inc.,0.58%
46,W R Grace & Co,0.49%
47,Westlake Chemical Corporation,0.49%
48,RBC Bearings Incorporated,0.45%
49,Arconic Corp.,0.41%
50,ChampionX Corporation,0.08%
51,State Street Institutional Investment Trust US Government Money Market Fund Institutional,0.06%
52,Ardagh Group S.A. Class A,0.03%
53,U.S. Dollar,-0.00%
