,Name,Allocation
0,Vonovia SE,3.83%
1,Goodman Group,2.32%
2,"Mitsubishi Estate Company, Limited",2.32%
3,Sun Hung Kai Properties Limited,2.11%
4,Deutsche Wohnen SE,1.89%
5,"Mitsui Fudosan Co., Ltd.",1.82%
6,Link Real Estate Investment Trust,1.72%
7,CK Asset Holdings Limited,1.52%
8,SEGRO plc,1.49%
9,"Sumitomo Realty & Development Co., Ltd.",1.49%
10,China Resources Land Limited,1.35%
11,China Overseas Land & Investment Limited,1.19%
12,LEG Immobilien AG,1.07%
13,"SM Prime Holdings, Inc.",0.99%
14,"Nippon Building Fund, Inc.",0.86%
15,Scentre Group,0.79%
16,FUTURES,0.79%
17,Aroundtown SA,0.79%
18,Ascendas Real Estate Investment Trust,0.78%
19,Swiss Prime Site AG,0.77%
20,Japan Real Estate Investment Corp.,0.77%
21,New World Development Co. Ltd.,0.76%
22,Wharf Real Estate Investment Co. Ltd.,0.75%
23,Dexus,0.72%
24,"Nippon Prologis REIT, Inc.",0.72%
25,Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,0.70%
26,Gecina SA,0.69%
27,GLP-J REIT,0.67%
28,Canadian Apartment Properties Real Estate Investment Trust,0.65%
29,Stockland,0.65%
30,Mirvac Group,0.65%
31,"Nomura Real Estate Master Fund, Inc.",0.64%
32,"Daito Trust Construction Co., Ltd.",0.63%
33,Land Securities Group PLC,0.56%
34,CapitaLand Limited,0.54%
35,Ayala Land Inc.,0.54%
36,Central Pattana Public Co. Ltd. NVDR,0.53%
37,Henderson Land Development Co. Ltd.,0.53%
38,Hang Lung Properties Limited,0.53%
39,PSP Swiss Property AG,0.53%
40,Daiwa House REIT Investment Corporation,0.53%
41,"Hulic Co., Ltd.",0.52%
42,Castellum AB,0.52%
43,Kojamo Oyj,0.52%
44,"China Vanke Co., Ltd Class H",0.51%
45,Warehouses De Pauw SCA,0.49%
46,GPT Group,0.48%
47,TAG Immobilien AG,0.47%
48,Ayala Corp.,0.47%
49,Hongkong Land Holdings Limited,0.46%
50,REA Group Ltd,0.45%
51,FirstService Corp,0.45%
52,British Land Company PLC,0.44%
53,Advance Residence Investment Corporation,0.44%
54,Covivio SA,0.44%
55,Fastighets AB Balder Class B,0.43%
56,Derwent London plc,0.43%
57,Charter Hall Group,0.43%
58,ORIX JREIT Inc.,0.42%
59,Mapletree Logistics Trust,0.42%
60,China Jinmao Holdings Group Limited,0.41%
61,UNITE Group plc,0.40%
62,Sino Land Co. Ltd.,0.40%
63,Cofinimmo SA,0.40%
64,L E Lundbergforetagen AB Class B,0.39%
65,RioCan Real Estate Investment Trust,0.39%
66,Allied Properties Real Estate Investment Trust,0.39%
67,Japan Retail Fund Investment Corporation,0.38%
68,Tritax Big Box REIT Plc,0.38%
69,Fabege AB,0.38%
70,Mapletree Industrial Trust,0.38%
71,CapitaLand Mall Trust,0.37%
72,Vicinity Centres,0.37%
73,Klepierre SA,0.36%
74,Granite Real Estate Investment Trust Stapled Units - 1 Granite RE Inc + 1 TU Granite REIT,0.35%
75,United Urban Investment Corporation,0.35%
76,Industrial & Infrastructure Fund Investment Corporation,0.35%
77,Aedifica SA,0.35%
78,Fibra Uno Administracion SA de CV,0.35%
79,ESR Cayman Ltd.,0.35%
80,"MERLIN Properties SOCIMI, S.A.",0.35%
81,CapitaLand Commercial Trust,0.33%
82,Nippon Accommodations Fund Inc.,0.33%
83,Mapletree Commercial Trust,0.33%
84,Allreal Holding AG,0.32%
85,Frasers Logistics & Commercial Trust,0.31%
86,Assura PLC,0.30%
87,LondonMetric Property Plc,0.30%
88,U.S. Dollar,0.30%
89,Sekisui House Reit. Inc.,0.30%
90,Swire Properties Limited,0.30%
91,Grainger plc,0.30%
92,Wallenstam AB Class B,0.29%
93,alstria office REIT-AG,0.29%
94,Keppel DC REIT,0.29%
95,City Developments Limited,0.29%
96,Grand City Properties SA,0.28%
97,Samhallsbyggnadsbolaget I Norden AB Class B,0.28%
98,"Activia Properties, Inc.",0.27%
99,Japan Prime Realty Investment Corporation,0.27%
100,Tokyu Fudosan Holdings Corp.,0.27%
101,Kenedix Office Investment Corporation,0.26%
102,"Tokyo Tatemono Co., Ltd.",0.26%
103,Primary Health Properties PLC,0.26%
104,Colliers International Group Inc.,0.26%
105,Entra ASA,0.26%
106,LaSalle LOGIPORT REIT,0.26%
107,A-Living Services Co. Ltd. Class H,0.26%
108,"Nomura Real Estate Holdings, Inc.",0.26%
109,Inmobiliaria Colonial SOCIMI SA,0.26%
110,Big Yellow Group PLC,0.26%
111,"Japan Logistics Fund, Inc.",0.25%
112,AB Sagax Class B,0.25%
113,Wihlborgs Fastigheter AB,0.25%
114,"Open House Co., Ltd.",0.24%
115,ADO Properties S.A.,0.24%
116,Choice Properties Real Estate Investment Trust,0.24%
117,UOL Group Limited,0.23%
118,H&R Real Estate Investment Trust,0.23%
119,"Relo Group, Inc.",0.23%
