,Name,Allocation
163,Oil company LUKOIL PJSC,0.11%
164,Investor AB Class B,0.11%
165,Anglo American plc,0.11%
166,Transurban Group Ltd.,0.11%
167,Tata Consultancy Services Limited,0.11%
168,"M3, Inc.",0.11%
169,"Mitsui & Co.,Ltd",0.11%
170,Orsted,0.11%
171,Volvo AB Class B,0.11%
172,Koninklijke DSM N.V.,0.11%
173,Rio Tinto Limited,0.11%
174,Compass Group PLC,0.11%
175,SoftBank Corp.,0.11%
176,DBS Group Holdings Ltd,0.11%
177,Hermes International SCA,0.11%
178,Bank of China Limited Class H,0.11%
179,Credit Suisse Group AG,0.11%
180,E.ON SE,0.10%
181,"Oriental Land Co., Ltd.",0.10%
182,Fujitsu Limited,0.10%
183,Sun Life Financial Inc.,0.10%
184,Terumo Corporation,0.10%
185,Lloyds Banking Group plc,0.10%
186,Nordea Bank Abp,0.10%
187,Genmab A/S,0.10%
188,Xiaomi Corp. Class B,0.10%
189,Ferrari NV,0.10%
190,ICICI Bank Limited,0.10%
191,Suncor Energy Inc.,0.10%
192,Mitsubishi Electric Corp.,0.10%
193,LafargeHolcim Ltd.,0.10%
194,Hindustan Unilever Limited,0.10%
195,"Celltrion, Inc.",0.10%
196,Barclays PLC,0.10%
197,ENGIE SA,0.10%
198,Dassault Systemes SA,0.10%
199,"Seven & I Holdings Co., Ltd.",0.10%
200,Swiss Re AG,0.10%
201,Qatar National Bank QPSC,0.10%
202,Vivendi SA,0.10%
203,Wheaton Precious Metals Corp,0.09%
204,Constellation Software Inc.,0.09%
205,Olympus Corp.,0.09%
206,Eni S.p.A.,0.09%
207,Heineken NV,0.09%
208,Canadian Natural Resources Limited,0.09%
209,ASSA ABLOY AB Class B,0.09%
210,"B3 SA - Brasil, Bolsa, Balcao",0.09%
211,Orange SA,0.09%
212,Amadeus IT Group SA Class A,0.09%
213,RWE AG,0.09%
214,Wolters Kluwer NV,0.09%
215,Legrand SA,0.09%
216,Japan Tobacco Inc.,0.09%
217,Al Rajhi Bank,0.09%
218,BAE Systems plc,0.09%
219,"Eisai Co., Ltd.",0.09%
220,U.S. Dollar,0.09%
221,Ferguson Plc,0.09%
222,Capgemini SE,0.09%
223,"Pinduoduo, Inc. Sponsored ADR Class A",0.09%
224,Bayerische Motoren Werke AG,0.09%
225,Fortescue Metals Group Ltd,0.09%
226,Neste Corporation,0.09%
227,America Movil SAB de CV Class L,0.09%
228,Goodman Group,0.09%
229,Geberit AG,0.09%
230,Cellnex Telecom S.A.,0.09%
231,Glencore plc,0.09%
232,Nutrien Ltd.,0.09%
233,Wuxi Biologics (Cayman) Inc.,0.09%
234,"Shiseido Company,Limited",0.09%
235,PT Bank Central Asia Tbk,0.09%
236,Sandvik AB,0.09%
237,CNOOC Limited,0.08%
238,Kerry Group Plc Class A,0.08%
239,Itau Unibanco Holding SA Pfd,0.08%
240,Saudi Basic Industries Corp.,0.08%
241,Essity AB Class B,0.08%
242,"New Oriental Education & Technology Group, Inc. Sponsored ADR",0.08%
243,"Yum China Holdings, Inc.",0.08%
244,Hyundai Motor Company,0.08%
245,Compagnie de Saint-Gobain SA,0.08%
246,"Samsung SDI Co., Ltd",0.08%
247,Telefonica SA,0.08%
248,Panasonic Corporation,0.08%
249,UniCredit S.p.A.,0.08%
250,Oversea-Chinese Banking Corporation Limited,0.08%
251,"Secom Co., Ltd.",0.08%
252,Coloplast A/S Class B,0.08%
253,Gazprom PJSC Sponsored ADR,0.08%
254,"China Merchants Bank Co., Ltd. Class H",0.08%
255,Central Japan Railway Company,0.08%
256,Agnico Eagle Mines Limited,0.08%
257,Akzo Nobel N.V.,0.08%
258,Petroleo Brasileiro SA Pfd,0.08%
259,Fresenius SE & Co. KGaA,0.08%
260,"Kweichow Moutai Co., Ltd. Class A",0.08%
261,Partners Group Holding AG,0.08%
262,Hexagon AB Class B,0.08%
263,"Banco Bilbao Vizcaya Argentaria, S.A.",0.08%
264,Compagnie Generale des Etablissements Michelin SCA,0.08%
265,Newcrest Mining Limited,0.07%
266,Fortis Inc.,0.07%
267,East Japan Railway Company,0.07%
268,STMicroelectronics NV,0.07%
269,Fresenius Medical Care AG & Co. KGaA,0.07%
270,"Mitsubishi Estate Company, Limited",0.07%
271,Henkel AG & Co. KGaA Pref,0.07%
272,Teleperformance SE,0.07%
273,Komatsu Ltd.,0.07%
274,Deutsche Bank AG,0.07%
275,Symrise AG,0.07%
276,Deutsche Wohnen SE,0.07%
277,Sampo Oyj Class A,0.07%
278,Kakao Corp.,0.07%
279,Coles Group Ltd.,0.07%
280,Kyocera Corporation,0.07%
281,Unicharm Corporation,0.07%
282,MMC Norilsk Nickel PJSC,0.07%
283,Legal & General Group Plc,0.07%
284,SSE plc,0.07%
285,"Nitori Holdings Co., Ltd.",0.07%
286,China Life Insurance Co. Ltd. Class H,0.07%
287,National Bank of Canada,0.07%
288,"Otsuka Holdings Co., Ltd.",0.07%
289,CK Hutchison Holdings Ltd,0.07%
290,"Techtronic Industries Co., Ltd.",0.07%
291,Merck KGaA,0.07%
292,Smith & Nephew plc,0.07%
293,Bharti Airtel Limited,0.07%
294,Z Holdings Corporation,0.07%
295,Galaxy Entertainment Group Limited,0.07%
296,CGI Inc. Class A,0.07%
297,United Overseas Bank Ltd. (Singapore),0.07%
298,FUJIFILM Holdings Corp,0.07%
299,Kubota Corporation,0.07%
300,"AEON Co., Ltd.",0.07%
301,Canon Inc.,0.07%
302,Link Real Estate Investment Trust,0.07%
303,Bridgestone Corporation,0.07%
304,DENSO CORPORATION,0.07%
305,Banco Bradesco SA Pfd,0.07%
306,ORIX Corporation,0.07%
307,Ashtead Group plc,0.07%
308,Flutter Entertainment Plc,0.06%
309,Assicurazioni Generali S.p.A.,0.06%
310,"Nomura Holdings, Inc.",0.06%
311,"Kirin Holdings Company, Limited",0.06%
312,Shimano Inc.,0.06%
313,Sun Hung Kai Properties Limited,0.06%
314,Equinor ASA,0.06%
315,Intact Financial Corporation,0.06%
316,"Shionogi & Co., Ltd.",0.06%
317,"Mitsui Fudosan Co., Ltd.",0.06%
318,Skandinaviska Enskilda Banken AB Class A,0.06%
319,CLP Holdings Limited,0.06%
320,Hong Kong & China Gas Co. Ltd.,0.06%
321,Petroleo Brasileiro SA,0.06%
322,Imperial Brands PLC,0.06%
323,Rogers Communications Inc. Class B,0.06%
324,Atlas Copco AB Class B,0.06%
325,Svenska Handelsbanken AB Class A,0.06%
326,SGS SA,0.06%
327,Sartorius AG Pref,0.06%
328,Check Point Software Technologies Ltd.,0.06%
329,Restaurant Brands International Inc,0.06%
330,DNB ASA,0.06%
331,Magna International Inc.,0.06%
332,Carlsberg A/S Class B,0.06%
333,Saudi Telecom Co.,0.06%
334,UPM-Kymmene Oyj,0.06%
335,UCB S.A.,0.06%
336,Kirkland Lake Gold Ltd.,0.06%
337,Swedbank AB Class A,0.06%
338,Ocado Group PLC,0.06%
339,Wix.com Ltd.,0.06%
340,Pembina Pipeline Corporation,0.06%
341,SEGRO plc,0.06%
342,"Dai-ichi Life Holdings,Inc.",0.06%
343,"Daiwa House Industry Co., Ltd.",0.06%
344,NICE Ltd,0.06%
345,Delivery Hero SE,0.06%
346,Suzuki Motor Corp.,0.06%
347,National Commercial Bank CJSC,0.06%
348,Aviva plc,0.06%
349,Swisscom AG,0.06%
350,EDP-Energias de Portugal SA,0.06%
351,Thomson Reuters Corporation,0.06%
352,CK Asset Holdings Limited,0.06%
353,NOVATEK JSC Sponsored GDR RegS,0.06%
354,"PTT Public Co., Ltd. NVDR",0.06%
355,TDK Corporation,0.06%
356,Standard Chartered PLC,0.06%
357,Wal-Mart de Mexico SAB de CV,0.06%
358,Swedish Match AB,0.06%
359,China Resources Land Limited,0.05%
360,PT Bank Rakyat Indonesia (Persero) Tbk Class B,0.05%
361,Trip.com Group Ltd. Sponsored ADR,0.05%
362,KBC Group N.V.,0.05%
363,OMRON Corporation,0.05%
364,Sumitomo Corporation,0.05%
365,Kingspan Group Plc,0.05%
366,"Ferrovial, S.A.",0.05%
367,Fisher & Paykel Healthcare Corporation Limited,0.05%
368,Woodside Petroleum Ltd,0.05%
369,"Japan Exchange Group, Inc.",0.05%
370,Sysmex Corporation,0.05%
371,NEC Corp.,0.05%
372,Swiss Life Holding AG,0.05%
373,Singapore Telecommunications Limited,0.05%
374,Rentokil Initial plc,0.05%
375,Sonova Holding AG,0.05%
376,"Asahi Group Holdings,Ltd.",0.05%
377,NIO Inc. Sponsored ADR Class A,0.05%
378,POSCO,0.05%
379,Logitech International S.A.,0.05%
380,Public Bank Bhd,0.05%
381,Societe Generale S.A. Class A,0.05%
382,H&M Hennes & Mauritz AB Class B,0.05%
383,Afterpay Limited,0.05%
384,EQUITY OTHER,0.05%
385,Sino Biopharmaceutical Limited,0.05%
386,KB Financial Group Inc.,0.05%
387,Open Text Corporation,0.05%
388,"Hyundai Mobis Co., Ltd",0.05%
389,Zalando SE,0.05%
390,Axis Bank Limited,0.05%
391,Edenred SA,0.05%
392,"Delta Electronics, Inc.",0.05%
393,Novozymes A/S Class B,0.05%
394,SUBARU CORP,0.05%
395,Aristocrat Leisure Limited,0.05%
396,LG Household & Health Care Ltd,0.05%
397,"Sompo Holdings,Inc.",0.05%
398,"China Mengniu Dairy Co., Ltd.",0.05%
399,"Shinhan Financial Group Co., Ltd.",0.05%
400,Metro Inc.,0.05%
401,"Chunghwa Telecom Co., Ltd",0.05%
402,Intertek Group plc,0.05%
403,CP All Public Co. Ltd. NVDR,0.05%
404,"Sekisui House, Ltd.",0.05%
405,Fiat Chrysler Automobiles N.V.,0.05%
406,ASX Limited,0.05%
407,Veolia Environnement SA,0.05%
408,Dollarama Inc.,0.05%
409,3i Group plc,0.05%
410,"OBIC Co., Ltd.",0.05%
411,ZTO Express (Cayman) Inc. Sponsored ADR Class A,0.05%
412,AngloGold Ashanti Limited,0.05%
413,"MS&AD Insurance Group Holdings, Inc.",0.05%
414,Worldline SA,0.05%
