,Name,Allocation
0,Morgan Stanley Institutional Liquidity Funds treasury Portfolio Institutional,15.19%
1,NextEra Energy Partners LP,8.40%
2,"NextEra Energy, Inc.",5.79%
3,"TC PipeLines, LP",5.35%
4,Sempra Energy,5.22%
5,Alliant Energy Corp,4.75%
6,Xcel Energy Inc.,4.63%
7,Public Service Enterprise Group Inc,3.50%
8,"American Water Works Company, Inc.",3.46%
9,CMS Energy Corporation,3.45%
10,WEC Energy Group Inc,3.23%
11,Fortis Inc.,3.14%
12,Eversource Energy,2.68%
13,Orsted,2.64%
14,PPL Corporation,2.44%
15,"IDACORP, Inc.",2.31%
16,EDP Renovaveis SA,2.19%
17,Iberdrola SA Sponsored ADR,2.18%
18,Atmos Energy Corporation,2.17%
19,"American Electric Power Company, Inc.",1.97%
20,Brookfield Renewable Partners LP,1.78%
21,Dominion Energy Inc,1.75%
22,New Jersey Resources Corporation,1.74%
23,Enel SpA Unsponsored ADR,1.24%
24,"Cheniere Energy, Inc.",1.23%
25,"Cheniere Energy Partners, L.P.",1.21%
26,"ONE Gas, Inc.",0.95%
27,DTE Energy Company,0.93%
28,Northland Power Inc.,0.93%
29,"Williams Companies, Inc.",0.91%
30,Chesapeake Utilities Corporation,0.79%
31,National Grid plc Sponsored ADR,0.52%
32,Brookfield Renewable Corporation Class A,0.49%
33,Emera Incorporated,0.43%
34,Edison International,0.40%
35,U.S. Dollar,-0.00%
