,Name,Allocation
167,"O'Reilly Automotive, Inc.",0.10%
168,"Zoom Video Communications, Inc. Class A",0.10%
169,"DocuSign, Inc.",0.10%
170,"Dow, Inc.",0.10%
171,SBA Communications Corp. Class A,0.10%
172,"Workday, Inc. Class A",0.10%
173,"Synopsys, Inc.",0.10%
174,Public Storage,0.09%
175,"IDEXX Laboratories, Inc.",0.09%
176,Johnson Controls International plc,0.09%
177,Amphenol Corporation Class A,0.09%
178,TE Connectivity Ltd.,0.09%
179,KLA Corporation,0.09%
180,Cummins Inc.,0.09%
181,Monster Beverage Corporation,0.09%
182,T. Rowe Price Group,0.09%
183,"Ross Stores, Inc.",0.09%
184,"Twitter, Inc.",0.09%
185,Splunk Inc.,0.09%
186,PACCAR Inc,0.09%
187,IHS Markit Ltd.,0.09%
188,"Cadence Design Systems, Inc.",0.09%
189,"Agilent Technologies, Inc.",0.09%
190,Sysco Corporation,0.09%
191,Allstate Corporation,0.09%
192,Capital One Financial Corporation,0.09%
193,Walgreens Boots Alliance Inc,0.09%
194,Verisk Analytics Inc,0.09%
195,Bank of New York Mellon Corporation,0.09%
196,Trane Technologies plc,0.09%
197,WEC Energy Group Inc,0.09%
198,"Yum! Brands, Inc.",0.09%
199,Otis Worldwide Corporation,0.09%
200,Eversource Energy,0.09%
201,"CoStar Group, Inc.",0.09%
202,MSCI Inc. Class A,0.09%
203,IQVIA Holdings Inc,0.09%
204,"Travelers Companies, Inc.",0.09%
205,"AutoZone, Inc.",0.09%
206,"Constellation Brands, Inc. Class A",0.09%
207,Clorox Company,0.08%
208,"PPG Industries, Inc.",0.08%
209,Cintas Corporation,0.08%
210,Fastenal Company,0.08%
211,Kinder Morgan Inc Class P,0.08%
212,"Zimmer Biomet Holdings, Inc.",0.08%
213,"Prudential Financial, Inc.",0.08%
214,Kroger Co.,0.08%
215,Parker-Hannifin Corporation,0.08%
216,Public Service Enterprise Group Inc,0.08%
217,"ANSYS, Inc.",0.08%
218,"MetLife, Inc.",0.08%
219,HP Inc.,0.08%
220,"Williams Companies, Inc.",0.08%
221,Phillips 66,0.08%
222,"Motorola Solutions, Inc.",0.08%
223,Schlumberger NV,0.08%
224,"Best Buy Co., Inc.",0.08%
225,Ford Motor Company,0.08%
226,TransDigm Group Incorporated,0.08%
227,"D.R. Horton, Inc.",0.08%
228,"American Water Works Company, Inc.",0.08%
229,"EOG Resources, Inc.",0.08%
230,"Palo Alto Networks, Inc.",0.08%
231,"Rockwell Automation, Inc.",0.08%
