,Name,Allocation
0,AGENCY BOND,6.18%
1,MORTGAGE-BACKED SECURITIES,4.64%
2,United States Treasury Bills 0.0% 18-FEB-2021,4.09%
3,U.S. Dollar,4.03%
4,Fannie Mae REMIC Trust 2019-74 BF 0.72163% 25-DEC-2059,3.88%
5,CORPORATE BOND,3.69%
6,"Freddie Mac Multiclass Certificates, Series 4936 PF 0.67163% 25-DEC-2049",3.27%
7,"Freddie Mac Gold MACS, Series 339 F5 0.61188% 15-NOV-2044",2.21%
8,SHORT POSITIONS,2.12%
9,Fannie Mae REMIC Trust 2019-62 FQ 0.67163% 25-NOV-2059,1.42%
10,ASSET-BACKED SECURITIES,1.41%
11,Fannie Mae REMIC Trust 2019-66 FA 0.62163% 25-NOV-2059,1.40%
12,Fannie Mae REMIC Trust 2014-47 AF 0.50563% 25-AUG-2044,1.36%
13,Fannie Mae REMIC Trust 2019-62 FA 0.67163% 25-NOV-2059,1.31%
14,"Fresenius Medical Care US Finance, Inc. 5.75% 15-FEB-2021",1.19%
15,Compass Bank 3.5% 11-JUN-2021,1.18%
16,NTT Finance Corp. 1.9% 21-JUL-2021,1.18%
17,Landeskreditbank Baden-Wurttemberg-Forderbank FRN 27-SEP-2021,1.16%
18,Boston Properties LP 4.125% 15-MAY-2021,1.10%
19,"Becton, Dickinson and Company 1.181% 29-DEC-2020",1.08%
20,Telefonica Emisiones SA 5.462% 16-FEB-2021,1.03%
21,"Hyundai Capital Services, Inc. 2.875% 16-MAR-2021",1.01%
22,JPMorgan Chase & Co. FRN 24-OCT-2023,0.99%
23,"Mizuho Financial Group, Inc. FRN 05-MAR-2023",0.93%
24,International Flavors & Fragrances Inc. 3.4% 25-SEP-2020,0.93%
25,WEA Finance LLC 3.25% 05-OCT-2020,0.93%
26,"General Mills, Inc. FRN 16-APR-2021",0.93%
27,Bureau Veritas SA 3.125% 21-JAN-2021,0.92%
28,Campbell Soup Company FRN 15-MAR-2021,0.92%
29,Danone SA 2.077% 02-NOV-2021,0.91%
30,ORIX Corporation 2.65% 13-APR-2021,0.86%
31,CNH Industrial Capital LLC 4.375% 06-NOV-2020,0.85%
32,Ally Financial Inc. 7.5% 15-SEP-2020,0.85%
33,"Delta Air Lines, Inc. 2.6% 04-DEC-2020",0.85%
34,Celgene Corporation 3.55% 15-AUG-2022,0.81%
35,"Marsh & McLennan Companies, Inc. FRN 29-DEC-2021",0.81%
36,Keurig Dr Pepper Inc. 3.551% 25-MAY-2021,0.79%
