Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201007|ANSS|56989|0|86584|B,Q,N
20201007|ANTE|7824|0|18980|Q,N
20201007|ANTM|142415|100|269896|B,Q,N
20201007|ANVS|5288|0|8996|Q,N
20201007|ANY|79463|3000|160948|Q,N
20201007|AOA|4134|0|23439|Q,N
20201007|AOD|49417|0|109141|Q,N
20201007|AOK|24046|0|49018|B,Q,N
20201007|AOM|17669|638|61190|Q,N
20201007|AON|114200|3000|180767|B,Q,N
20201007|AONE/U|1480|0|13350|Q,N
20201007|AOR|5612|0|32219|Q,N
20201007|AOS|133551|0|353987|B,Q,N
20201007|AOSL|50380|0|108461|B,Q,N
20201007|AOUT|9628|250|45583|Q,N
20201007|AP|97479|1100|139237|B,Q,N
20201007|AP/WS|100|0|5600|N
20201007|APA|1215169|1234|3069684|B,Q,N
20201007|APAM|63275|0|184557|B,Q,N
20201007|APD|53249|138|135701|B,Q,N
20201007|APDN|18883|0|36225|Q,N
20201007|APEI|10100|0|26575|B,Q,N
20201007|APEN|3490|0|12555|Q,N
20201007|APEX|2345|0|5601|Q,N
20201007|APG|40924|492|312153|B,Q,N
20201007|APH|68921|0|227817|Q,N
20201007|APHA|804206|12141|2725148|B,Q,N
20201007|API|86927|875|291536|B,Q,N
20201007|APLE|328632|513|506327|Q,N
20201007|APLS|171384|0|266551|B,Q,N
20201007|APLT|6472|0|21385|B,Q,N
20201007|APM|810854|5773|1551161|Q,N
20201007|APO|133714|411|300377|B,Q,N
20201007|APOG|33575|50|69721|B,Q,N
20201007|APOP|10330|0|16693|Q,N
20201007|APOpA|696|0|3077|B,Q
20201007|APPF|11269|0|19371|Q,N
20201007|APPN|168139|200|272670|B,Q,N
20201007|APPS|1107259|6391|1897427|B,Q,N
20201007|APRE|18116|0|45319|B,Q,N
20201007|APRN|174300|2000|262355|Q,N
20201007|APSG/U|13020|0|35164|Q,N
20201007|APT|74665|572|219767|B,Q,N
20201007|APTO|84727|0|264294|Q,N
20201007|APTS|87312|2728|161321|B,Q,N
20201007|APTV|162538|0|538392|B,Q,N
20201007|APTVpA|1144|270|1145|Q
20201007|APTX|34632|0|53986|Q,N
20201007|APVO|4421|0|15008|Q,N
20201007|APWC|468973|46353|1498823|Q,N
