Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201216|A|140752|3400|568618|B,Q,N
20201216|AA|724274|17700|2824904|B,Q,N
20201216|AAAU|13073|0|138911|Q,N
20201216|AACG|7393|100|19498|B,Q,N
20201216|AACQ|132344|0|518223|B,Q,N
20201216|AACQU|409|0|101678|Q,N
20201216|AACQW|49431|7804|68826|Q,N
20201216|AADR|153|0|1422|Q
20201216|AAIC|60956|863|145528|Q,N
20201216|AAICpB|24|0|24|Q
20201216|AAICpC|131|0|227|Q
20201216|AAL|11001873|240660|32777728|B,Q,N
20201216|AAMC|76|0|116|Q,N
20201216|AAME|299|0|1649|Q,N
20201216|AAN|54427|0|185597|B,Q,N
20201216|AAOI|65565|50|153147|B,Q,N
20201216|AAON|9282|0|21147|Q,N
20201216|AAP|171750|0|419126|B,Q,N
20201216|AAPL|26225815|174779|44530649|B,Q,N
20201216|AAT|13928|0|41444|Q,N
20201216|AAU|130304|300|349539|Q,N
20201216|AAWW|32216|0|90796|B,Q,N
20201216|AAXJ|199145|0|375659|B,Q,N
20201216|AAXN|143245|161|327473|B,Q,N
20201216|AB|80972|0|174607|Q,N
20201216|ABB|102181|0|184907|B,Q,N
20201216|ABBV|980335|26507|2951700|B,Q,N
20201216|ABC|50075|100|171568|B,Q,N
20201216|ABCB|40760|0|84909|B,Q,N
20201216|ABCL|437714|17006|956344|B,Q,N
20201216|ABCM|8761|0|15955|B,Q,N
20201216|ABEO|532661|1950|1127796|B,Q,N
20201216|ABEQ|19115|0|19117|Q,N
20201216|ABEV|3057083|19563|5319401|B,Q,N
20201216|ABG|9247|0|18547|Q,N
20201216|ABIO|20645|0|128549|B,Q,N
20201216|ABM|46525|0|75461|B,Q,N
20201216|ABMD|42611|11814|69243|B,Q,N
20201216|ABNB|4621479|45870|9762796|B,Q,N
20201216|ABR|165493|3414|371472|B,Q,N
20201216|ABRpA|745|0|1915|Q
20201216|ABRpB|875|0|1375|Q,N
20201216|ABRpC|428|228|928|Q
20201216|ABST|6447|0|9696|Q,N
20201216|ABT|334702|8307|1306343|B,Q,N
20201216|ABTX|3070|0|25415|B,Q,N
20201216|ABUS|1011340|98559|3681042|B,Q,N
20201216|AC|790|0|2491|Q,N
20201216|ACA|39860|0|58892|Q,N
20201216|ACACU|36|0|2362|Q
20201216|ACAD|74522|54|329105|B,Q,N
20201216|ACAM|160346|0|489181|B,Q,N
20201216|ACAMW|8827|0|79388|Q,N
20201216|ACB|3498089|52537|8885895|B,Q,N
20201216|ACBI|4121|0|20897|B,Q,N
20201216|ACC|106555|0|155603|B,Q,N
20201216|ACCD|81418|300|121489|Q,N
20201216|ACCO|78662|0|151011|B,Q,N
20201216|ACEL|24370|0|80705|Q,N
20201216|ACER|34389|25|63870|B,Q,N
20201216|ACES|46713|0|70807|Q,N
20201216|ACET|30310|0|38729|Q,N
20201216|ACEV|1340|0|3443|Q,N
20201216|ACEVW|21900|0|22700|Q,N
20201216|ACGL|163592|2147|555524|B,Q,N
20201216|ACGLO|3425|0|11509|Q,N
20201216|ACGLP|3846|0|11001|Q,N
20201216|ACH|11643|0|48492|B,Q,N
20201216|ACHC|53638|0|156124|Q,N
20201216|ACHV|29039|0|70906|Q,N
20201216|ACI|347453|2400|666743|B,Q,N
20201216|ACIA|70559|0|252438|Q,N
20201216|ACIC/U|1309|0|62075|Q
20201216|ACIO|1008|0|47814|Q
20201216|ACIU|19199|1169|57330|B,Q,N
20201216|ACIW|33028|300|88781|Q,N
20201216|ACLS|29373|0|56471|B,Q,N
20201216|ACM|102342|12050|296517|Q,N
20201216|ACMR|16601|0|29744|B,Q,N
20201216|ACN|188673|112|504446|B,Q,N
20201216|ACNB|364|0|657|Q,N
20201216|ACND|643|0|53776|Q,N
20201216|ACND/U|3|0|105|N
20201216|ACND/WS|3188|0|6330|Q,N
20201216|ACOR|651463|38650|1253051|B,Q,N
20201216|ACP|16372|4217|31829|Q,N
20201216|ACRE|44360|24|111626|B,Q,N
20201216|ACRS|3726299|59323|6454881|B,Q,N
20201216|ACRX|152410|3555|615414|B,Q,N
20201216|ACST|867565|27420|1815987|Q,N
20201216|ACTC|18775|0|51917|B,Q,N
20201216|ACTCU|4828|0|59437|Q,N
20201216|ACTCW|18892|872|80926|Q,N
20201216|ACTG|8222|500|62963|B,Q,N
20201216|ACTV|377|0|1568|Q
20201216|ACU|3837|0|11422|B,Q,N
20201216|ACV|8949|0|18087|Q,N
20201216|ACVF|16|0|543|Q
20201216|ACWF|667|0|6072|Q,N
20201216|ACWI|732377|0|946412|B,Q,N
20201216|ACWV|42200|0|221269|Q,N
20201216|ACWX|102084|2388|164473|Q,N
20201216|ACY|8430|685|15868|B,Q,N
20201216|ADAP|211119|17761|1124837|B,Q,N
20201216|ADBE|197380|4447|576056|B,Q,N
20201216|ADC|96942|0|139615|Q,N
20201216|ADCT|29022|500|48069|B,Q,N
20201216|ADES|17495|0|28224|B,Q,N
20201216|ADFI|300|0|427|Q
20201216|ADI|185452|1300|397374|B,Q,N
20201216|ADIL|109200|700|217769|B,Q,N
