Date,PCRatio,VolumeCall,VolumePut,VolumeTotal
2019-10-08,1.23,856,1050,1906,3808,4752,8560
2019-10-09,1.04,730,756,1486,4048,5136,9184
2019-10-10,2.89,427,1234,1661,4265,5493,9758
2019-10-11,1.93,751,1450,2201,4243,5655,9898
2019-10-14,0.88,545,481,1026,3896,4785,8681
2019-10-15,1.47,500,733,1233,4094,4971,9065
2019-10-16,2.27,516,1171,1687,4136,5458,9594
2019-10-17,2.36,320,755,1075,4332,5791,10123
2019-10-18,0.98,1206,1185,2391,4438,5953,10391
2019-10-21,3.53,246,869,1115,2565,3452,6017
2019-10-22,3.15,127,400,527,2721,4036,6757
2019-10-23,0.78,326,254,580,2758,4102,6860
2019-10-24,0.92,323,297,620,2883,4207,7090
2019-10-25,1.32,459,607,1066,3065,4406,7471
2019-10-28,0.97,294,284,578,3083,3932,7015
2019-10-29,5.9,62,366,428,3169,4159,7328
2019-10-30,1.27,294,372,666,3180,4243,7423
2019-10-31,1.52,336,510,846,3227,4358,7585
2019-11-01,1.11,692,768,1460,3292,4575,7867
2019-11-04,1.24,628,776,1404,3066,4277,7343
2019-11-05,1.29,188,242,430,3472,4664,8136
2019-11-06,3.43,186,638,824,3483,4749,8232
2019-11-07,1.35,726,983,1709,3595,5352,8947
2019-11-08,2.96,175,518,693,3675,5536,9211
2019-11-11,2.26,117,264,381,3485,5346,8831
2019-11-12,1.85,252,467,719,3555,5507,9062
2019-11-13,1.01,191,192,383,3625,5723,9348
2019-11-14,8.37,102,854,956,3739,5811,9550
2019-11-15,0.57,946,541,1487,3801,5941,9742
2019-11-18,2.2,153,337,490,2414,3194,5608
2019-11-19,3.59,83,298,381,2548,3426,5974
2019-11-20,9.73,169,1645,1814,2623,3550,6173
2019-11-21,2.95,153,452,605,2618,3943,6561
2019-11-22,3.98,256,1018,1274,2672,4076,6748
2019-11-25,1.3,294,382,676,2341,3577,5918
2019-11-26,1.96,184,360,544,2439,3828,6267
2019-11-27,0.74,437,324,761,2493,4082,6575
2019-11-29,2.62,93,244,337,2812,4295,7107
2019-12-02,2.83,319,903,1222,2655,4064,6719
2019-12-03,1.3,306,399,705,2775,4633,7408
2019-12-04,0.56,330,185,515,3009,4826,7835
2019-12-05,2.54,117,297,414,2961,4921,7882
2019-12-06,0.9,338,305,643,3055,5149,8204
2019-12-09,3.75,192,720,912,2938,4457,7395
2019-12-10,9.57,98,938,1036,3097,5071,8168
2019-12-11,2.04,47,96,143,3130,5357,8487
2019-12-12,3.31,289,958,1247,3158,5436,8594
2019-12-13,1.4,279,390,669,3251,5333,8584
2019-12-16,3.25,186,605,791,2903,4918,7821
2019-12-17,0.6,541,325,866,2889,5238,8127
2019-12-18,0.84,266,223,489,3148,5373,8521
2019-12-19,2.15,158,340,498,3109,5485,8594
2019-12-20,0.67,860,577,1437,3134,5733,8867
2019-12-23,2.14,118,253,371,1816,2393,4209
2019-12-24,4.3,66,284,350,1902,2639,4541
2019-12-26,1.88,141,265,406,1958,2880,4838
2019-12-27,2.8,194,543,737,2067,3111,5178
2019-12-30,0.53,420,222,642,1976,2946,4922
2019-12-31,1.27,211,267,478,2043,3081,5124
2020-01-02,0.82,491,401,892,2215,3241,5456
2020-01-03,1.85,287,530,817,2104,3547,5651
2020-01-06,0.97,316,307,623,1853,3267,5120
2020-01-07,2.84,146,415,561,2017,3449,5466
2020-01-08,1.57,258,406,664,2110,3641,5751
2020-01-09,1.47,290,426,716,2218,3876,6094
2020-01-10,2.61,392,1023,1415,2193,4171,6364
2020-01-13,2.14,103,220,323,2101,4189,6290
2020-01-14,7.84,92,721,813,2178,4220,6398
2020-01-15,7.77,114,886,1000,2211,4678,6889
2020-01-16,2.12,483,1022,1505,2226,5274,7500
2020-01-17,0.85,705,602,1307,2249,5112,7361
2020-01-21,10.3,132,1359,1491,1289,2625,3914
2020-01-22,3.02,403,1219,1622,1372,3926,5298
2020-01-23,3.85,271,1044,1315,1565,5092,6657
2020-01-24,5.58,439,2449,2888,1730,5905,7635
2020-01-27,2.29,539,1235,1774,1513,3799,5312
