Symbol,Date,Open,High,Low,Close,Volume
ADDA,28-Aug-2020,56,60,19,60,0
ADDC,28-Aug-2020,17,52,2,44,0
ADDE,28-Aug-2020,867,1451,595,1449,0
ADDN,28-Aug-2020,860,933,73,928,0
ADDQ,28-Aug-2020,578,838,175,833,0
ADDS,28-Aug-2020,90,250,50,250,0
ADDT,28-Aug-2020,1494,1829,349,1821,0
ADDU,28-Aug-2020,327,746,326,746,0
ADDV,28-Aug-2020,133,224,133,224,0
ADDX,28-Aug-2020,240,526,228,518,0
ADRA,28-Aug-2020,2.05,2.05,1.23,1.9,0
ADRC,28-Aug-2020,1.29,1.44,1.02,1.34,0
ADRE,28-Aug-2020,4.53,6.33,2.15,6.32,0
ADRN,28-Aug-2020,2.76,2.97,1.08,2.96,0
ADRQ,28-Aug-2020,1.63,1.94,1.14,1.93,0
ADRS,28-Aug-2020,1.25,1.36,1.08,1.35,0
ADRT,28-Aug-2020,2.03,2.28,1.16,2.27,0
ADRU,28-Aug-2020,1.36,1.4,1.26,1.4,0
ADRV,28-Aug-2020,2,2.06,1.63,1.76,0
ADRX,28-Aug-2020,1.43,1.46,1.24,1.45,0
ADVA,28-Aug-2020,109,126,98,126,139896200
ADVC,28-Aug-2020,75,173,75,173,38945300
ADVE,28-Aug-2020,1112,1723,1085,1721,918749100
ADVN,28-Aug-2020,1347,1406,967,1401,2971373000
ADVQ,28-Aug-2020,1484,1725,1359,1720,2015304000
ADVS,28-Aug-2020,446,964,446,964,237966000
ADVT,28-Aug-2020,2940,3256,2464,3247,5126574000
ADVU,28-Aug-2020,1232,2597,1195,2587,6849470000
ADVV,28-Aug-2020,265,518,265,518,125913500
ADVX,28-Aug-2020,786,1655,786,1655,402824800
ASHD,28-Aug-2020,48,545,48,338,0
ASHF,28-Aug-2020,145,1128,145,1128,0
ASHR,28-Aug-2020,4.02,4.52,1.92,4.33,0
ASHU,28-Aug-2020,193,1466,193,1466,0
AVDA,28-Aug-2020,13.31,60.23,-64.85,57.4,0
AVDC,28-Aug-2020,0.64,18.18,-0.46,18.03,0
AVDE,28-Aug-2020,50.47,50.61,50.32,50.58,12800
AVDN,28-Aug-2020,182.54,2279.11,166.72,2246.22,0
AVDQ,28-Aug-2020,95.71,1312.23,74.28,1312.23,0
AVDS,28-Aug-2020,-1.39,123.4,-1.39,123.4,0
AVDT,28-Aug-2020,291.57,3639.24,254.9,3615.85,0
AVDU,28-Aug-2020,121.18,4217.35,-29.68,4217.35,0
AVDV,28-Aug-2020,48.24,48.5,48.1,48.47,22000
AVDX,28-Aug-2020,5.03,219.46,5.03,219.3,0
AVLD,28-Aug-2020,1.15,332.27,1.15,318.57,0
AVLF,28-Aug-2020,0.97,533.82,0.97,533.82,0
AVLR,28-Aug-2020,1.84,4.81,1.81,2.67,0
AVLU,28-Aug-2020,2.12,852.4,2.12,852.4,0
AVRA,28-Aug-2020,2.36,2.36,0.47,1.69,0
AVRC,28-Aug-2020,1.37,2.12,0.86,1.86,0
AVRE,28-Aug-2020,5.11,5.11,2.37,3.05,0
AVRN,28-Aug-2020,4.15,4.55,1.85,4.09,0
AVRQ,28-Aug-2020,2.41,2.93,1.86,2.86,0
AVRS,28-Aug-2020,0.87,3.5,0.87,2.07,0
AVRT,28-Aug-2020,3.15,3.44,2.09,3.39,0
AVRU,28-Aug-2020,1.28,2.6,0.96,2.6,0
AVRV,28-Aug-2020,2.51,2.94,1.82,2.62,0
AVRX,28-Aug-2020,1.3,2.87,1.3,2.19,0
AVVA,28-Aug-2020,23.07,139.89,23.07,139.89,0
AVVC,28-Aug-2020,2.35,38.94,2.35,38.94,0
AVVE,28-Aug-2020,93.36,918.74,82.3,918.74,0
AVVN,28-Aug-2020,240.41,2999.54,240.41,2971.37,0
AVVQ,28-Aug-2020,163.16,2015.3,159.82,2015.3,0
AVVS,28-Aug-2020,9.36,237.96,9.36,237.96,0
AVVT,28-Aug-2020,426.66,5139.86,426.66,5126.57,0
AVVU,28-Aug-2020,547.84,6849.46,547.84,6849.46,0
AVVV,28-Aug-2020,9.59,125.91,9.59,125.91,0
AVVX,28-Aug-2020,21.31,402.82,21.31,402.82,0
BANK,28-Aug-2020,2773.54,2773.54,2727.73,2746.54,0
BCMA,28-Aug-2020,2567,2804,2093,2802,0
BCMC,28-Aug-2020,100.41,100.98,100.41,100.97,0
BCMD,28-Aug-2020,1166,1796,1159,1165,0
BCME,28-Aug-2020,235,312,235,300,0
BCMF,28-Aug-2020,191,241,182,227,0
BCMG,28-Aug-2020,39,39,17,33,0
BCMM,28-Aug-2020,100.54,101.23,100.36,101.22,0
BCMU,28-Aug-2020,93,107,54,86,0
