Symbol,Date,Open,High,Low,Close,Volume
AACG,18-Aug-2020,1.16,1.27,1.1193,1.1899,176200
AACQU,18-Aug-2020,10.22,10.22,10.07,10.1249,488800
AAL,18-Aug-2020,12.6,12.88,12.51,12.6,33322200
AAME,18-Aug-2020,2.079,2.2315,2.05,2.1437,6300
AAOI,18-Aug-2020,13.24,13.3,12.64,13.02,682100
AAON,18-Aug-2020,59.52,60.06,59.27,59.76,145100
AAPL,18-Aug-2020,457.41,464,456.03,462.25,26408300
AAWW,18-Aug-2020,59.09,59.09,57.02,58.55,519600
AAXJ,18-Aug-2020,77.61,77.74,77.08,77.62,560900
AAXN,18-Aug-2020,79.89,80,78.3601,79.35,404500
ABCB,18-Aug-2020,25.71,25.73,24.77,24.86,240400
ABEO,18-Aug-2020,2.9,2.9,2.69,2.73,871600
ABIO,18-Aug-2020,6,6.1,5.95,6.01,534300
ABMD,18-Aug-2020,311.99,314.56,306.5,313.2,207400
ABTX,18-Aug-2020,25.78,26,24.96,25.16,25400
ABUS,18-Aug-2020,3.47,3.5,3.37,3.45,1755400
ACAD,18-Aug-2020,39.75,40,38.66,39.66,1078000
ACAM,18-Aug-2020,10.0844,10.105,10.0601,10.07,4800
ACAMW,18-Aug-2020,0.93,0.93,0.9199,0.9199,9300
ACBI,18-Aug-2020,11.28,11.28,10.93,11.02,59700
ACCD,18-Aug-2020,38.09,39.64,37.44,37.48,397000
ACER,18-Aug-2020,3.5,3.5,2.82,3.11,2023300
ACEVU,18-Aug-2020,10.04,10.04,9.995,10,148200
ACGL,18-Aug-2020,31.81,32,31.42,31.58,875600
ACGLO,18-Aug-2020,26.28,26.3,26.205,26.3,13100
ACGLP,18-Aug-2020,25.59,25.68,25.56,25.68,43000
ACHC,18-Aug-2020,30.37,30.55,29.785,30.01,332000
ACHV,18-Aug-2020,9.13,9.175,8.8,9.03,265000
ACIA,18-Aug-2020,68,68.1417,67.86,67.97,237300
ACIU,18-Aug-2020,7.14,7.14,6.84,7,180500
ACIW,18-Aug-2020,30.85,31.1,30.71,30.84,743000
ACLS,18-Aug-2020,27.11,27.11,25.73,25.84,305800
ACMR,18-Aug-2020,106.9,107,102.5,104.84,244800
ACNB,18-Aug-2020,23.26,23.26,22.18,22.18,11300
ACOR,18-Aug-2020,0.63,0.63,0.6,0.6083,1543800
ACRS,18-Aug-2020,2.4,2.4372,2.28,2.4,257200
ACRX,18-Aug-2020,1.27,1.28,1.22,1.24,396200
ACST,18-Aug-2020,0.72,0.7948,0.715,0.7799,4061500
ACT,18-Aug-2020,25.7,25.7312,25.5771,25.5771,3500
ACTG,18-Aug-2020,3.99,4.03,3.83,3.97,478200
ACWI,18-Aug-2020,80.92,81.07,80.45,80.85,930600
ACWX,18-Aug-2020,47.14,47.22,46.835,47.03,858900
ADAP,18-Aug-2020,8.84,9.12,8.5,8.68,778800
ADBE,18-Aug-2020,454.79,464.5,452.84,463.51,2097600
ADES,18-Aug-2020,4.42,4.44,4.325,4.36,165800
ADI,18-Aug-2020,118.01,118.69,117.19,117.88,5718000
ADIL,18-Aug-2020,1.53,1.56,1.505,1.51,155900
ADMA,18-Aug-2020,3.14,3.15,3.04,3.13,2053400
ADMP,18-Aug-2020,0.87,1.03,0.85,0.9762,7718000
ADMS,18-Aug-2020,5.09,5.2,4.7701,4.91,488800
ADP,18-Aug-2020,140.5,140.79,138.94,139.95,2078000
ADPT,18-Aug-2020,41.3,41.86,40.24,41.49,901000
ADRE,18-Aug-2020,46.43,46.75,46.34,46.46,5400
ADRO,18-Aug-2020,2.6,3.44,2.6,2.86,6163400
ADSK,18-Aug-2020,241.94,246.3269,240.26,242.69,1482400
ADTN,18-Aug-2020,12.11,12.23,11.94,12.11,230900
ADTX,18-Aug-2020,4.46,4.6,4.3501,4.48,303000
ADUS,18-Aug-2020,95.86,96.99,95.54,96.69,90600
ADVM,18-Aug-2020,13.79,13.79,13.01,13.53,1042000
ADXN,18-Aug-2020,13.52,14.01,13.52,14.01,500
ADXS,18-Aug-2020,0.505,0.525,0.5006,0.507,959800
AEGN,18-Aug-2020,17.03,17.05,16.695,16.93,89600
AEHR,18-Aug-2020,2.06,2.06,1.93,1.94,95400
AEIS,18-Aug-2020,81.44,81.47,79.06,79.46,256100
AEMD,18-Aug-2020,1.56,1.59,1.54,1.57,179100
AERI,18-Aug-2020,12.69,12.78,12.28,12.42,584900
AESE,18-Aug-2020,1.55,1.55,1.31,1.35,847200
AEY,18-Aug-2020,2.28,2.28,2.16,2.21,102800
AEYE,18-Aug-2020,14.15,16.4153,14.15,16.17,222300
AEZS,18-Aug-2020,0.498,0.5098,0.48,0.505,2528700
AFH,18-Aug-2020,0.46,0.4685,0.442,0.4495,193900
AFIB,18-Aug-2020,26,26.7007,25.8001,26.38,61700
AFIN,18-Aug-2020,7.42,7.46,7.01,7.21,414500
AFINP,18-Aug-2020,24,24.125,23.885,24.07,44500
AFMD,18-Aug-2020,3.79,3.799,3.525,3.73,2269000
AFYA,18-Aug-2020,24.82,25.1898,24.645,24.96,84300
AGBAR,18-Aug-2020,0.2301,0.24,0.2202,0.2202,7700
AGBAW,18-Aug-2020,0.24,0.255,0.24,0.255,1000
AGEN,18-Aug-2020,4.01,4.37,3.975,4.295,7651100
AGFS,18-Aug-2020,2.45,2.55,2.44,2.49,52400
AGIO,18-Aug-2020,41.48,41.7,40,40.22,360100
AGLE,18-Aug-2020,6.92,7.01,6.795,6.85,498500
AGMH,18-Aug-2020,14.7,14.7,14.4011,14.62,2900
AGNC,18-Aug-2020,13.83,13.98,13.79,13.88,6523100
AGNCM,18-Aug-2020,23.25,23.43,23.23,23.24,33600
AGNCN,18-Aug-2020,24.42,24.55,24.36,24.43,37700
AGNCO,18-Aug-2020,23.41,23.5,23.27,23.4,73300
AGNCP,18-Aug-2020,22.79,22.79,22.6662,22.69,47400
AGRX,18-Aug-2020,2.86,2.92,2.76,2.84,1434800
AGTC,18-Aug-2020,5.87,5.87,5.64,5.76,91400
AGYS,18-Aug-2020,24.24,24.55,23.42,24.31,298600
AGZD,18-Aug-2020,47.1227,47.23,47.04,47.125,190100
AHCO,18-Aug-2020,21.84,22,21.12,21.37,325700
AHPI,18-Aug-2020,7.91,8.165,7.82,8.13,142500
AIA,18-Aug-2020,72.24,72.24,71.78,72.12,44100
AIH,18-Aug-2020,4.74,4.74,4.58,4.66,38200
AIHS,18-Aug-2020,0.4702,0.4899,0.4502,0.482,3478200
AIKI,18-Aug-2020,0.7827,0.8036,0.7026,0.725,6071100
AIMC,18-Aug-2020,39.72,39.72,38.61,38.73,137100
AIMT,18-Aug-2020,13.95,14.0242,13.555,13.61,683000
AINV,18-Aug-2020,9.64,9.64,9.305,9.33,511500
AIQ,18-Aug-2020,22.68,22.8,22.605,22.775,25900
AIRG,18-Aug-2020,13.74,13.885,13.61,13.75,66800
AIRR,18-Aug-2020,27.16,27.1825,26.9214,26.9214,1700
AIRT,18-Aug-2020,11.75,12.005,11.75,12.005,1400
AIRTP,18-Aug-2020,22.17,22.17,21.95,21.97,500
AIRTW,18-Aug-2020,0.0499,0.052,0.042,0.0432,29600
AKAM,18-Aug-2020,108.34,109.18,107.64,108.73,950600
AKBA,18-Aug-2020,10.71,10.84,10.53,10.64,774800
AKCA,18-Aug-2020,11.48,11.62,11.11,11.28,128600
AKER,18-Aug-2020,6.11,6.5,5.78,6.46,1319600
AKRO,18-Aug-2020,34.67,36.27,33.91,36.02,303500
AKTS,18-Aug-2020,8,8.0757,7.85,7.95,339500
AKTX,18-Aug-2020,1.86,1.88,1.83,1.84,161300
AKUS,18-Aug-2020,20.27,21.595,20.26,20.48,89600
ALAC,18-Aug-2020,10.65,10.65,10.65,10.65,200
ALACW,18-Aug-2020,0.0989,0.1,0.0902,0.0998,59800
ALBO,18-Aug-2020,27.15,28,26.529,27.01,212500
ALCO,18-Aug-2020,31.34,31.34,30.88,30.88,3600
ALDX,18-Aug-2020,6.89,7.1801,6.81,6.99,724300
ALEC,18-Aug-2020,14.05,14.05,12.78,12.96,1293400
ALGN,18-Aug-2020,310.87,311,304.5807,306.07,431200
ALGT,18-Aug-2020,117.28,117.57,115.75,117.08,116500
ALIM,18-Aug-2020,6.89,7.14,6.66,6.82,73800
ALJJ,18-Aug-2020,1,1.08,0.86,1.06,725900
ALKS,18-Aug-2020,18.84,18.92,18.38,18.55,822400
ALLK,18-Aug-2020,90.53,90.9,88.35,88.56,152700
ALLO,18-Aug-2020,38.99,39.365,36.83,37.07,761200
ALLT,18-Aug-2020,12.07,12.07,11.53,11.61,190200
ALNA,18-Aug-2020,1.47,1.49,1.44,1.44,401800
ALNY,18-Aug-2020,140.35,140.94,138.83,139.92,298800
ALOT,18-Aug-2020,7.29,7.68,7.05,7.61,25900
ALPN,18-Aug-2020,9.68,9.98,9.575,9.91,33600
ALRM,18-Aug-2020,57.65,57.75,56.47,57.34,247800
ALRN,18-Aug-2020,1.34,1.38,1.3,1.34,476300
ALRS,18-Aug-2020,21.67,21.67,21.11,21.36,14000
ALSK,18-Aug-2020,2.3,2.3,2.23,2.26,157600
ALT,18-Aug-2020,26.56,26.5805,24.77,25.76,1316900
ALTA,18-Aug-2020,20.04,20.17,19.49,19.7,17800
ALTM,18-Aug-2020,12.96,13.69,12.96,13.68,26200
ALTR,18-Aug-2020,40.45,41.81,40.26,41.35,290100
ALTY,18-Aug-2020,11.18,11.18,10.99,11.015,10500
ALVR,18-Aug-2020,38.63,39.4452,34.22,35.05,358500
ALXN,18-Aug-2020,103.24,104.29,102.16,103.31,1306300
ALXO,18-Aug-2020,46.35,49.11,40.06,42.85,147700
ALYA,18-Aug-2020,1.76,1.9,1.72,1.72,29200
AMAG,18-Aug-2020,10.37,10.87,10.37,10.63,527600
AMAL,18-Aug-2020,12.32,12.32,11.55,11.62,27800
AMAT,18-Aug-2020,67.39,67.39,66.07,66.43,6166700
AMBA,18-Aug-2020,46.57,46.635,45.55,45.84,226800
AMCI,18-Aug-2020,10.3,10.3,10.25,10.29,2800
AMCIU,18-Aug-2020,10.61,11.373,10.61,11.373,400
