Symbol,Date,Open,High,Low,Close,Volume
DBB,20-Aug-2020,15.38,15.44,15.32,15.4012,110200
DBC,20-Aug-2020,13.32,13.45,13.27,13.43,1992300
DBE,20-Aug-2020,10.04,10.19,10.02,10.1795,64400
DBEF,20-Aug-2020,30.69,30.83,30.68,30.77,473600
DBEH,20-Aug-2020,26.9079,26.9079,26.9079,26.9079,0
DBEM,20-Aug-2020,24.2483,24.44,24.1271,24.3492,5300
DBEU,20-Aug-2020,27.69,27.83,27.69,27.79,55700
DBEZ,20-Aug-2020,29.786,29.786,29.786,29.786,0
DBGR,20-Aug-2020,27.54,27.67,27.54,27.67,100
DBJP,20-Aug-2020,39.855,40.02,39.855,39.97,1600
DBLV,20-Aug-2020,70,70.1881,70,70.1881,600
DBMF,20-Aug-2020,25.18,25.1916,25.165,25.1916,1200
DBO,20-Aug-2020,7.59,7.7154,7.525,7.7,892900
DBP,20-Aug-2020,54.14,55.2299,54.14,55.22,7400
DBS,20-Aug-2020,39,39.49,38.6298,39.3836,4100
DBV,20-Aug-2020,23.641,23.641,23.641,23.641,100
DCHF,20-Aug-2020,20.4121,20.4121,20.4121,20.4121,200
DDG,20-Aug-2020,29.47,29.57,29.4694,29.5636,11100
DDLS,20-Aug-2020,27.616,27.6677,27.61,27.6677,1400
DDM,20-Aug-2020,46.09,46.84,46.0311,46.73,346300
DDWM,20-Aug-2020,26.29,26.3719,26.24,26.33,27400
DEED,20-Aug-2020,25.815,25.815,25.815,25.815,0
DEEF,20-Aug-2020,27.4282,27.4282,27.4282,27.4282,100
DEEP,20-Aug-2020,22.63,22.75,22.62,22.6949,4900
DEF,20-Aug-2020,55.35,55.8,55.35,55.66,22900
DEFA,20-Aug-2020,27.0917,27.1247,27.0917,27.1247,500
DEM,20-Aug-2020,37.82,38.17,37.69,38.17,322000
DES,20-Aug-2020,22.38,22.5945,22.38,22.48,431900
DEUR,20-Aug-2020,27.41,27.41,27.0238,27.03,7400
DEUS,20-Aug-2020,34.3,34.4966,34.28,34.4404,8300
DEW,20-Aug-2020,39.7598,39.932,39.7501,39.8896,7400
DFE,20-Aug-2020,54.12,54.54,54.09,54.53,38100
DFEB,20-Aug-2020,30.86,31.16,30.86,30.992,211800
DFEN,20-Aug-2020,12.07,12.17,11.79,12.07,1979900
DFJ,20-Aug-2020,65.78,66.04,65.72,65.9905,10900
DFND,20-Aug-2020,36.19,36.19,36,36.08,5500
DFVL,20-Aug-2020,68.075,68.075,68.075,68.075,100
DFVS,20-Aug-2020,12.345,12.345,12.345,12.345,0
DGBP,20-Aug-2020,23.74,23.75,23.4935,23.4935,2300
DGL,20-Aug-2020,56.67,57.44,56.6403,57.4374,9000
DGP,20-Aug-2020,47.14,49.3299,47,48.45,36900
DGRO,20-Aug-2020,40.17,40.33,40.08,40.27,1366600
DGS,20-Aug-2020,41.51,42.07,41.44,42,114700
DGT,20-Aug-2020,83.42,84.0748,83.42,84.0748,1400
DGZ,20-Aug-2020,10.42,10.42,9.97,9.99,2800
DHS,20-Aug-2020,64.11,64.35,63.99,64.19,71500
DHY,20-Aug-2020,2.13,2.14,2.11,2.13,1923100
DIA,20-Aug-2020,276.04,278.34,275.87,277.87,2063700
DIAL,20-Aug-2020,21.62,21.73,21.605,21.6583,95200
DIG,20-Aug-2020,70.12,70.97,69.14,69.16,63400
DIM,20-Aug-2020,56.83,57.1881,56.82,57.1881,5700
DIT,20-Aug-2020,76.55,76.55,76.55,76.55,100
DIV,20-Aug-2020,16.09,16.13,16.001,16.02,167800
DIVA,20-Aug-2020,20.455,20.455,20.455,20.455,100
DIVB,20-Aug-2020,29.05,29.0696,29,29.0696,500
DIVC,20-Aug-2020,29.02,29.02,29.02,29.02,100
DIVO,20-Aug-2020,30.45,30.45,30.16,30.35,62400
DIVY,20-Aug-2020,21.8,22,21.8,22,500
DJCB,20-Aug-2020,13.4233,13.4233,13.4233,13.4233,100
DJCI,20-Aug-2020,13.44,13.44,13.44,13.44,800
DJD,20-Aug-2020,34.96,34.9999,34.79,34.96,8500
DJP,20-Aug-2020,19.75,19.92,19.72,19.89,215700
DJPY,20-Aug-2020,20.6,20.6,20.4802,20.4802,100
DJUL,20-Aug-2020,30.7699,30.785,30.7225,30.7632,2500
DJUN,20-Aug-2020,31.4291,31.4291,31.4291,31.4291,100
DLA,20-Aug-2020,13.93,14.4,13.7901,13.8,13400
DLN,20-Aug-2020,98.2,98.63,98.1384,98.53,130800
DLS,20-Aug-2020,59.35,59.8481,59.35,59.76,77600
DMAY,20-Aug-2020,32.03,32.03,31.945,31.9611,3200
DMDV,20-Aug-2020,20.24,20.24,20.2184,20.2184,100
DMF,20-Aug-2020,8.54,8.54,8.5,8.52,57000
DMRE,20-Aug-2020,48.87,49.1784,48.87,49.1784,100
DMRI,20-Aug-2020,45.05,45.05,45.05,45.05,100
DMRL,20-Aug-2020,59.95,60.1398,59.95,60.1398,600
DMRM,20-Aug-2020,48.515,48.515,48.515,48.515,100
DMRS,20-Aug-2020,47.925,47.925,47.925,47.925,100
DNL,20-Aug-2020,66.88,67.4421,66.86,67.4084,8400
DNN,20-Aug-2020,0.4861,0.4941,0.473,0.4933,456400
DNOV,20-Aug-2020,31.91,31.925,31.82,31.895,133300
DOG,20-Aug-2020,44.47,44.485,44.0904,44.14,629500
DOL,20-Aug-2020,42.73,43,42.7,43,15300
DON,20-Aug-2020,29.97,30.15,29.82,29.97,246300
DOO,20-Aug-2020,37.05,37.2359,37,37.2359,5800
DPST,20-Aug-2020,56.5,57.17,54.23,55.12,642800
DPW,20-Aug-2020,2.02,2.05,1.9,2.02,643700
DRIP,20-Aug-2020,4.78,4.94,4.7192,4.93,5794300
DRN,20-Aug-2020,10.34,10.92,10.2,10.73,456400
DRSK,20-Aug-2020,30.64,30.64,30.4906,30.53,71600
DRV,20-Aug-2020,14.81,14.9262,13.9201,14.21,216300
DRW,20-Aug-2020,24.6,24.89,24.6,24.865,4200
DSI,20-Aug-2020,127.36,128.9866,127.2649,128.81,32400
DSS,20-Aug-2020,7.14,7.27,7.04,7.18,264300
DSTL,20-Aug-2020,32.805,32.92,32.775,32.87,52600
DTD,20-Aug-2020,95.17,95.58,94.976,95.4628,23900
DTEC,20-Aug-2020,37.85,38.1999,37.79,38.05,16600
DTH,20-Aug-2020,34.39,34.68,34.38,34.68,28000
