,Issuer Name,Symbol,Callable,Sub-Product Type,Coupon,Maturity,Moody's®,S&P,Price,Yield
0,ACORDA THERAPEUTICS INC,ACOR4135801,No,Corporate Bond,1.750,06/15/2021,,,55.000,135.134
1,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,60.250,
2,ASSURED GTY U S HLDGS INC,AGO.GB,Yes,Corporate Bond,2.630,12/15/2066,Baa3,BBB+,62.832,
3,AURORA CANNABIS INC,ACB4951282,,Corporate Bond,5.500,02/28/2024,,,56.000,26.258
4,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4579884,,Corporate Bond,8.496,12/29/2020,,,36.320,
5,CBL & ASSOCS LTD PARTNERSHIP,CBL4171047,Yes,Corporate Bond,4.600,10/15/2024,C,BB,39.775,
6,ENQUEST PLC,ENQUF4432837,,Corporate Bond,,12/31/2022,,,60.000,
7,FRONTIER COMMUNICATIONS CORP,FTR3989356,Yes,Corporate Bond,7.625,04/15/2024,WR,NR,39.813,
8,HERTZ CORP,HTZGQ4861323,,Corporate Bond,7.125,08/01/2026,,,43.570,
9,HERTZ CORP,HTZGQ4402231,,Corporate Bond,,10/15/2024,,,43.960,
10,INTERCEPT PHARMACEUTICALS INC,ICPT4833277,No,Corporate Bond,2.000,05/15/2026,,,65.017,10.536
11,LATAM FIN LTD,LFL4482988,,Corporate Bond,6.875,04/11/2024,,,41.000,
12,MENS WEARHOUSE INC,TLRD4264876,Yes,Corporate Bond,7.000,07/01/2022,WR,D,1.200,
13,NATIONAL CINEMEDIA LLC,NCMI4415021,Yes,Corporate Bond,5.750,08/15/2026,Caa3,CCC-,53.033,19.755
14,PENNEY J C CORP INC,JCPNQ3707368,No,Corporate Bond,7.400,04/01/2037,WR,NR,0.325,
15,PENNEY J C CORP INC,JCPNQ4609176,Yes,Corporate Bond,8.625,03/15/2025,WR,NR,0.250,
16,REVLON CONSUMER PRODS CORP,REV4078799,Yes,Corporate Bond,5.750,02/15/2021,C,C,62.000,238.616
17,REVLON CONSUMER PRODS CORP,REV4433558,Yes,Corporate Bond,6.250,08/01/2024,C,C,22.150,61.812
18,TORONTO DOMINION BK ONT,TD5072781,,Corporate Bond,,10/28/2022,,,9.855,
19,TRANSOCEAN INC,RIG.GX,Yes,Corporate Bond,6.800,03/15/2038,C,CCC-,18.875,18.875
20,ACORDA THERAPEUTICS INC,ACOR4135801,No,Corporate Bond,1.750,06/15/2021,,,55.000,135.134
21,AMERICAN AIRLS GROUP INC,AAL4955091,,Corporate Bond,3.750,03/01/2025,,,60.250,
22,ASSURED GTY U S HLDGS INC,AGO.GB,Yes,Corporate Bond,2.630,12/15/2066,Baa3,BBB+,62.832,
23,AURORA CANNABIS INC,ACB4951282,,Corporate Bond,5.500,02/28/2024,,,56.000,26.258
24,BNP PARIBAS MEDIUM TERM SR NTS BOOK ENTR,BNPQF4579884,,Corporate Bond,8.496,12/29/2020,,,36.320,
25,CBL & ASSOCS LTD PARTNERSHIP,CBL4171047,Yes,Corporate Bond,4.600,10/15/2024,C,BB,39.775,
26,ENQUEST PLC,ENQUF4432837,,Corporate Bond,,12/31/2022,,,60.000,
27,FRONTIER COMMUNICATIONS CORP,FTR3989356,Yes,Corporate Bond,7.625,04/15/2024,WR,NR,39.813,
28,HERTZ CORP,HTZGQ4861323,,Corporate Bond,7.125,08/01/2026,,,43.570,
29,HERTZ CORP,HTZGQ4402231,,Corporate Bond,,10/15/2024,,,43.960,
30,INTERCEPT PHARMACEUTICALS INC,ICPT4833277,No,Corporate Bond,2.000,05/15/2026,,,65.017,10.536
31,LATAM FIN LTD,LFL4482988,,Corporate Bond,6.875,04/11/2024,,,41.000,
32,MENS WEARHOUSE INC,TLRD4264876,Yes,Corporate Bond,7.000,07/01/2022,WR,D,1.200,
33,NATIONAL CINEMEDIA LLC,NCMI4415021,Yes,Corporate Bond,5.750,08/15/2026,Caa3,CCC-,53.033,19.755
34,PENNEY J C CORP INC,JCPNQ3707368,No,Corporate Bond,7.400,04/01/2037,WR,NR,0.325,
35,PENNEY J C CORP INC,JCPNQ4609176,Yes,Corporate Bond,8.625,03/15/2025,WR,NR,0.250,
36,REVLON CONSUMER PRODS CORP,REV4078799,Yes,Corporate Bond,5.750,02/15/2021,C,C,62.000,238.616
37,REVLON CONSUMER PRODS CORP,REV4433558,Yes,Corporate Bond,6.250,08/01/2024,C,C,22.150,61.812
38,TORONTO DOMINION BK ONT,TD5072781,,Corporate Bond,,10/28/2022,,,9.855,
39,TRANSOCEAN INC,RIG.GX,Yes,Corporate Bond,6.800,03/15/2038,C,CCC-,18.875,18.875
